OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,XSP,LSTN_LEG_NAME,LSTN_START_DESCR,LSTN_END_DESCR,LSTN_YEAR,LSTN_ACT,LSTN_SECTION,TOWN_NUMBER,TOWN_NAME,YEAR,GlobalID,Shape__Length
4490,15-N,45.5,45.81,CONT,WILBUR CROSS HIGHWAY,BGN OP HOUSATONIC RV & RR,SB-JCT SB US 5(NORTH BROAD ST),1937,S.A. 394,,167,WOODBRIDGE,2024,eea21ddf-b0f2-4db4-bf80-cce195c618f3,1636.94641496563
4491,15-S,34.62,37.27,CONT,MERRITT PARKWAY,NEW YORK SL,BGN OP HOUSATONIC RV & RR,1933,S.A. 379,,138,STRATFORD,2024,c5cf9810-4fea-4786-99cf-55c660cb4fae,13924.9542404995
4492,15-S,46.77,47.2,CONT,WILBUR CROSS HIGHWAY,BGN OP HOUSATONIC RV & RR,SB-JCT SB US 5(NORTH BROAD ST),1937,S.A. 394,,167,WOODBRIDGE,2024,b547a5b2-d557-458f-9f88-e02af4d6040e,2177.26467258686
4493,15-S,47.2,47.43,CONT,WILBUR CROSS HIGHWAY,BGN OP HOUSATONIC RV & RR,SB-JCT SB US 5(NORTH BROAD ST),1937,S.A. 394,,092,NEW HAVEN,2024,ca78d978-0718-41ac-af32-642b13908ede,1261.59436735917
4494,159-S,1.46,1.9,CONT,KASMIR PULASKI MEMORIAL HIGHWAY,HARTFORD - WINDSOR TL,WINDSOR - WINDSOR LOCKS TL,2000,P.A.  148,38,164,WINDSOR,2024,8033b436-a57a-4a4b-9239-cf9a4f612a98,2441.08826962468
4495,160-E,1.05,3.21,CONT,ROCKY HILL FIRE DEPARTMENT MEMORIAL HIGHWAY,BERLIN - ROCKY HILL TL,BGN OVLP RTE 3,2013,P.A. 277,48,118,ROCKY HILL,2024,c3d211c9-205d-4e7e-97d9-f33cf3bf2464,11416.0441498764
4496,2-E,31.11,35.2,CONT,VETERANS OF FOREIGN WARS MEMORIAL HIGHWAY,COLUMBUS BLVD,US 1(WEST BROAD ST),1969,S.A. 262,,013,BOZRAH,2024,b9d6453e-d4be-44f7-9817-1b3245febb01,21613.0446323682
4497,2-W,0,0.2,CONT,VETERANS OF FOREIGN WARS MEMORIAL HIGHWAY,COLUMBUS BLVD,US 1(WEST BROAD ST),1969,S.A. 262,,063,HARTFORD,2024,56ea5d40-0ada-4f3b-b005-bd077bed6ad9,1087.44014488923
4498,20-E,31.04,31.22,CONT,82ND AIRBORNE MEMORIAL HIGHWAY,EB-JCT SB SSR 401(BIA CON),EB-JCT NB I-91,1999,P.A. 181,31,165,WINDSOR LOCKS,2024,0db20e3b-b5ef-4f4e-b602-b01b00a7b2ad,914.066286900012
4499,20-E,31.22,31.56,CONT,82ND AIRBORNE MEMORIAL HIGHWAY,EB-JCT SB SSR 401(BIA CON),EB-JCT NB I-91,1999,P.A. 181,31,164,WINDSOR,2024,c1732f60-cb7e-4a8a-9e17-fb8c9e4b00f2,1725.64226938599
4500,20-W,27.72,27.79,CONT,CONNECTICUT AIR NATIONAL GUARD MEMORIAL HIGHWAY,GRANBY - EAST GRANBY TL,EB-JCT SB SSR 401(BIA CON),2001,P.A. 105,24,165,WINDSOR LOCKS,2024,cf3b6df2-3ee9-46fb-a077-7abebbbc891b,393.754202559833
4501,209-N,0,0.02,CONT,RARICK CIRCLE,RTE 109(WEST ST),CON FR RTE 109(ONE-WAY NB),1988,S.A. 72,2,086,MORRIS,2024,2246b8be-0b73-4666-aab5-3c1dc6bdd8da,150.585143439427
4502,287-E,0,0.76,CONT,GENERAL WILLIAM P. KELLY MEMORIAL HIGHWAY,RT3 176(MAIN ST),RTE 15(BERLIN TPKE),2017,P.A. 230,36,093,NEWINGTON,2024,53688ace-8d85-44d3-8420-25a4fc92e96d,4042.03792346229
4503,30-N,7.68,12.22,CONT,CAPTAIN PATRICK REEVES MEMORIAL HIGHWAY,N JCT RTE 83(TALCOTTVILLE RD),VERNON - TOLLAND TL,2009,P.A. 186,26,146,VERNON,2024,b96918a6-d7c4-4693-934d-63fa1f5c5a10,24000.3402890699
4504,32-N,16.21,16.65,CONT,JOSEPH J. BUYAK JR. MEMORIAL HIGHWAY,END OVLP RTE 2,RTE 207 (POND RD),2017,P.A. 230,21,103,NORWICH,2024,50f1f616-5d09-4ff9-b7f3-4f49412e49b4,2307.23864109969
4505,32-N,16.65,22.16,CONT,JOSEPH J. BUYAK JR. MEMORIAL HIGHWAY,END OVLP RTE 2,RTE 207 (POND RD),2017,P.A. 230,21,052,FRANKLIN,2024,064dd348-0ac4-4f56-a2da-d1b0d8e948b0,29084.6824241873
4506,34-E,17.85,20.12,CONT,STAFF SERGEANT THOMAS E. VITAGLIANO MEMORIAL HIGHWAY,RTE 152(ORANGE CENTER RD),WEST HAVEN - NEW HAVEN TL,2005,P.A. 210,41,106,ORANGE,2024,63bac94d-cd90-4ed3-a7cb-742820694dc4,11996.8450332105
4507,6-E,64.52,64.64,CONT,BRIAN A. ASELTON MEMORIAL HIGHWAY,BGN OP CONN RV,EB-JCT NB RTE 15(WILBUR CROSS PKWY),1999,P.A. 181,26,063,HARTFORD,2024,56e4b836-c857-4082-84e2-f06f4e13b195,671.547042064884
4508,6-W,55.82,55.92,CONT,GRAND ARMY OF THE REPUBLIC HIGHWAY,NEW YORK SL,RHODE ISLAND SL,1937,S.A. 285,,051,FARMINGTON,2024,f508fe4c-0d4d-494e-bc61-a34645cb13b2,475.249508182404
4509,6-W,88.09,89.44,CONT,GRAND ARMY OF THE REPUBLIC HIGHWAY,NEW YORK SL,RHODE ISLAND SL,1937,S.A. 285,,032,COVENTRY,2024,bba0cf38-f811-4fe2-8b01-ac70066b552c,7838.71879518443
4510,63-N,19.39,21.36,CONT,ROBERT J. KANE MEMORIAL HIGHWAY,RTE 64(MIDDLEBURY RD),BUNKER HILL RD,2021,P.A. 175,36,080,MIDDLEBURY,2024,40d56aa0-e1a0-4fb7-a389-b2a4f4e4dafb,10403.9618301575
4511,69-N,16.1,16.56,CONT,OFFICER WALTER T. WILLIAMS III MEMORIAL HIGHWAY,WASHINGTON ST,EAST MAIN ST,2003,P.A. 115,14,151,WATERBURY,2024,b3f0c138-9e70-4bbc-b28f-0e242ff655a0,2410.34983490528
4512,69-N,27.82,28.21,CONT,GRAND ARMY OF THE REPUBLIC HIGHWAY,NEW YORK SL,RHODE ISLAND SL,1937,S.A. 285,,017,BRISTOL,2024,bfa42eb0-b8e6-47ab-97a7-17d6e7bed9a3,2054.05725495573
4513,691-W,6.04,8.21,CONT,HENRY D. ALTOBELLO HIGHWAY,WB-BGN OP I-91,WB-JCT I-84 WB(YANKEE EXPWY),1988,S.A. 72,5,025,CHESHIRE,2024,31809ba2-2664-4831-9ee1-d88f97a7912d,11457.9892717607
4514,34-E,20.12,21.72,CONT,STAFF SERGEANT THOMAS E. VITAGLIANO MEMORIAL HIGHWAY,RTE 152(ORANGE CENTER RD),WEST HAVEN - NEW HAVEN TL,2005,P.A. 210,41,156,WEST HAVEN,2024,d54f25a9-7669-45b7-9380-07210ec690c3,8487.11557598161
4515,372-E,3.67,4.6,CONT,LIEUTENANT COLONEL VINCENT J. BRACHA MEMORIAL HIGHWAY,PLAINVILLE - NEW BRITAIN TL,SR 555(WEST MAIN ST),2007,P.A. 232,15,088,NEW BRITAIN,2024,bdb5f9be-256f-4940-9101-57a26bd92e89,4859.4355276133
4516,372-E,6.27,6.32,CONT,CHAMBERLAIN MEMORIAL HIGHWAY,RTE 71(HIGH RD),BERLIN - NEW BRITAIN TL,1937,S.A. 290,,007,BERLIN,2024,c6ab22a1-f531-46a5-8de2-e9bb1d441164,230.82463392162
4517,372-W,6.32,6.34,CONT,CHAMBERLAIN MEMORIAL HIGHWAY,RTE 71(HIGH RD),BERLIN - NEW BRITAIN TL,1937,S.A. 290,,007,BERLIN,2024,a879ba43-c52d-42c0-8de3-b09a0fc590c1,127.208971924653
4518,395-N,4.98,10.44,CONT,GOVERNOR JOHN LODGE TURNPIKE,NB-JCT NB I-95(GOV J D LODGE TPKE),NB-JCT SR 695(GOV J D LODGE TPKE),1986,P.A. 201,,085,MONTVILLE,2024,e5a4d434-2012-4474-a3ec-7a29da6998b6,28895.0133534572
4519,395-N,43.98,47.78,CONT,THE AMERICAN EX-PRISONER OF WAR MEMORIAL HIGHWAY,NB-JCT SR 695(GOV J D LODGE TPKE),MASSACHUSETTS SL,2002,P.A. 123,12,115,PUTNAM,2024,1894116b-111c-4f52-8e39-1b76e52db7ee,19984.4475931287
4520,395-S,35.5,35.59,CONT,THE AMERICAN EX-PRISONER OF WAR MEMORIAL HIGHWAY,NB-JCT SR 695(GOV J D LODGE TPKE),MASSACHUSETTS SL,2002,P.A. 123,12,108,PLAINFIELD,2024,ea6e6b6d-c639-4874-be0c-c5f314a2fc85,622.783093151444
4521,395-S,43.98,47.78,CONT,THE AMERICAN EX-PRISONER OF WAR MEMORIAL HIGHWAY,NB-JCT SR 695(GOV J D LODGE TPKE),MASSACHUSETTS SL,2002,P.A. 123,12,115,PUTNAM,2024,e4470fdb-82d5-4e84-9fcf-3326f04b7257,19984.8450702342
4522,4-W,43.45,43.57,CONT,COLONEL EVERETT H KANDARIAN MEMORIAL HIGHWAY,RTE 10(WATERVILLE RD),JCT SR 508 EB,2009,P.A. 186,27,051,FARMINGTON,2024,eb358b13-3415-4f53-a6f8-08d4fc63f7d5,652.371784872863
4523,44-W,27.44,27.73,CONT,JONATHAN TRUMBULL HIGHWAY,W JCT RTE 272(NORTH ST),BGN OVLP I-84,1923,P.A. 228,,162,WINCHESTER,2024,9c7e41ec-c2a7-4a44-ad4f-473156740377,1448.25009235754
4524,44-W,54.27,54.61,CONT,JONATHAN TRUMBULL HIGHWAY,BGN RMP SRV AS ML,BGN OVLP US 5,1923,P.A. 228,,042,EAST HARTFORD,2024,7c6718d3-2754-441c-ad4c-4fe3ab16436b,1651.42712821984
4525,5-N,5.82,6.48,CONT,OFFICER TIMOTHY W. LAFFIN MEMORIAL HIGHWAY,STATE ST,RTE 103(WASHINGTON AVE),2005,P.A. 210,12,100,NORTH HAVEN,2024,a125f5a1-79fb-499b-adba-4ceb46cdc408,3491.30076356315
4526,5-N,53.95,54.55,CONT,TANGUAY-MAGILL AMERICAN LEGION POST 80 MEMORIAL HIGHWAY,STATE ST,CONNECTICUT AVE,2013,P.A. 277,45,048,ENFIELD,2024,1c432a68-635f-4995-bd3e-dd1c40487e5e,3175.09082778526
4527,505-N,0.37,0.53,CONT,FRANK ZURASKI MEMORIAL HIGHWAY,HOLLY DR/FENN RD,EXIT FR SB RTE 9(070),2021,P.A. 175,34,093,NEWINGTON,2024,b6966a60-4fe0-4172-aca2-a511aba69adf,814.973376647454
4528,598-E,0,0.72,CONT,WHITEHEAD HIGHWAY,EB-PULASKI CIR,EB-I-91 SB,,,,063,HARTFORD,2024,a0451930-fc79-45b3-b0f8-152ed60ef2ca,3820.14288834525
4529,6-E,10.37,15.52,CONT,GRAND ARMY OF THE REPUBLIC HIGHWAY,NEW YORK SL,RHODE ISLAND SL,1937,S.A. 285,,096,NEWTOWN,2024,bf81b669-f06c-4774-93a1-324fd7d2744d,27196.8121802659
4530,6-E,40.85,44.64,CONT,GRAND ARMY OF THE REPUBLIC HIGHWAY,NEW YORK SL,RHODE ISLAND SL,1937,S.A. 285,,110,PLYMOUTH,2024,0fe8bd50-90aa-4a50-9ed1-359c18796803,20024.7044718256
4531,6-E,50.08,56.36,CONT,GRAND ARMY OF THE REPUBLIC HIGHWAY,NEW YORK SL,RHODE ISLAND SL,1937,S.A. 285,,051,FARMINGTON,2024,c10c928d-a2f4-4e79-8c99-c16a54bc151b,33205.4138673377
4532,6-E,56.36,57.93,CONT,YANKEE EXPRESSWAY,NEW YORK SL,BGN OP CONN RV,1961,S.A. 166,,051,FARMINGTON,2024,ded2c638-605e-4f37-b3aa-10e81e7eedab,8154.1513804387
4533,169-N,0,2.88,CONT,GENERAL ISRAEL PUTNAM MEMORIAL HIGHWAY,RTE 2 & RTE 32(WASHINGTON ST),BGN OVLP RTE 97,1931,S.A. 66,,103,NORWICH,2024,f3ed9417-fcb5-4f9d-b14f-3bdcfd2cec91,15179.3671483797
4534,17-N,21.52,22.14,CONT,CATHOLIC WAR VETERANS MEMORIAL HIGHWAY,SOUTH MAIN ST,BGN OVLP RTE 9,2000,P.A. 184,2,082,MIDDLETOWN,2024,ee1d7572-249c-4892-b0f5-6b3106989b9b,3234.60584178996
4535,171-E,10.44,17.17,CONT,FRANCIS J. KRAYNICK MEMORIAL HIGHWAY,E JCT RTE 198(BLACK POND RD),W JCT RTE 169(NRWCH WRCSTR TPK),2021,P.A. 175,32,169,WOODSTOCK,2024,d7ff69f0-f5fe-41d7-be30-22a4310d3164,35661.3618019801
4536,173-N,5.16,5.84,CONT,TROOPER CARL P. MOLLER MEMORIAL HIGHWAY,SR 529(NEW BRITAIN AVE),SOUTH MAIN ST #1,2003,P.A. 115,89,155,WEST HARTFORD,2024,4c198592-ed0e-4c8b-b6e4-e5e4bb800cc4,3621.04737537613
4537,174-E,2.75,3.18,CONT,FRANCIS KOCHANOWICZ MEMORIAL HIGHWAY,RTE 173(WILLARD AVE),RTE 176(MAIN ST),2003,P.A. 115,11,093,NEWINGTON,2024,51afb9bd-8760-40a1-bc79-e170f0aabc33,2344.36521385826
4538,175-E,1.07,2.81,CONT,NEWINGTON POLICE DEPARTMENT MEMORIAL HIGHWAY,EXIT FR NB RTE 9(067),RTE 176(MAIN ST),2011,P.A. 256,24,093,NEWINGTON,2024,57605659-1f20-4692-a5fb-23dba0414794,9218.21809996822
4539,179-N,4,4.06,CONT,HARTS CORNER,.03 MI S OF US 44,.03 MI N OF US 44,2017,P.A. 230,40,023,CANTON,2024,a050f4d5-f459-4ad9-95aa-3014a152e7bb,316.54276499535
4540,183-N,8.21,10.35,CONT,JONATHAN TRUMBULL HIGHWAY,W JCT RTE 272(NORTH ST),BGN OVLP I-84,1923,P.A. 228,,162,WINCHESTER,2024,d02ede87-81a1-4306-a8c1-17199e03e43c,11330.3500904017
4541,185-E,0,1.71,CONT,SIMSBURY VOLUNTEER FIRE COMPNAY MEMORIAL HIGHWAY,ROUTE 10,SIMSBURY - BLOOMFIELD TL,2023,P.A. 135,44,128,SIMSBURY,2024,6daba20f-1a34-414c-9114-4dccf33ba48b,8989.40169502335
4542,195-N,11.83,12.09,CONT,UCONN HUSKY WAY,RTE 275(SO EAGLEVILLE RD),ACC TO EB I-84(268),2005,P.A. 210,13,032,COVENTRY,2024,32a61347-20e7-4733-81a0-e6011f397d1e,1386.38520064573
4543,78-W,0.19,0.43,CONT,VETERANS WAY,EB-RTE 2(LIBERTY ST),RHODE ISLAND SL,2005,P.A. 210,14,137,STONINGTON,2024,6cf8c4d9-fa0d-409d-aea9-51ebe64c05e2,1157.24572181781
4544,796-N,0,2.78,CONT,OFFICER DANIEL S. WASSON MILFORD POLICE DEPARTMENT CONNECTOR,NB-JCT US 1(BOSTON POST RD),NB-JCT SB RTE 15(WILBUR CROSS PKWY),2005,P.A. 210,15,083,MILFORD,2024,969abed2-c087-485a-b80f-16f2feb4f0fc,14668.8388264695
4545,8-N,12.48,14.33,CONT,GENERAL SAMUEL JASKILKA HIGHWAY,STRATFORD - SHELTON TL,BEACON FALLS - NAUGATUCK TL,1979,S.A. 103,,036,DERBY,2024,a3f3de48-b83c-409e-9d21-1dc6021a9501,9801.11400813153
