highway_name,route_no,from_location,to_location,source_url,source_note
Theodore Roosevelt Expressway,US 85 / US 2,US 85: South Dakota border to junction with US 2; US 2: Montana border to junction with US 85,,https://ndlegis.gov/cencode/t24c01.pdf,ND Century Code §24-01-54 (Theodore Roosevelt expressway – US 85/US 2).
Yellowstone Trail,US 12,South Dakota border,Montana border,https://ndlegis.gov/cencode/t24c01.pdf,ND Century Code §24-01-55 (Yellowstone trail – US 12).
Veterans Memorial Highway,ND 22,South Dakota border,Junction of ND 22 and ND 23,https://ndlegis.gov/cencode/t24c01.pdf,ND Century Code §24-01-56 (Veterans memorial highway – ND 22).
Akicita (Veteran) Memorial Highway,ND 57,Junction of US 281 and ND 57,Junction of ND 57 and ND 20,https://ndlegis.gov/cencode/t24c01.pdf,ND Century Code §24-01-57 (Akicita (veteran) memorial highway – ND 57).
Trooper Beryl McLane Memorial Highway,ND 13,Edgeley,LaMoure,https://ndlegis.gov/cencode/t24c01.pdf,ND Century Code §24-01-64 (Trooper Beryl McLane memorial highway – ND 13).
PFC Henry Gurke Memorial Highway,ND 18,Intersection with ND 5,Canadian border,https://ndlegis.gov/cencode/t24c01.pdf,ND Century Code §24-01-70 (PFC Henry Gurke memorial highway – ND 18).
North Dakota Fallen Peace Officers Memorial Highway,ND 200,Minnesota border,Montana border,https://ndlegis.gov/cencode/t24c01.pdf,ND Century Code §24-01-73 (ND fallen peace officers memorial highway – ND 200).
