highway_name,route_no,from_location,to_location,source_url,source_note
DUANE S MICHIE MEMORIAL HIGHWAY,RT D,CRD 321 S,MO 84 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2021-08-28; years_of_sunset=INDEFINITE
DUANE S MICHIE MEMORIAL HIGHWAY,RT D,MO 84 E,CRD 321 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2021-08-28; years_of_sunset=INDEFINITE
TROOPER ROBERT KOLILIS MEMORIAL HIGHWAY,RT M,CST PINE ST E,.001 mile(s) after CST EAST ST S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2006-08-28; years_of_sunset=INDEFINITE
TROOPER ROBERT KOLILIS MEMORIAL HIGHWAY,RT M,.001 mile(s) before CST EAST ST S,CST PINE ST E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2006-08-28; years_of_sunset=INDEFINITE
SGM PATRICK R HURLEY MEMORIAL HIGHWAY,RT U,CRD PROVINCE RD 520 E,RT M E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2014-08-28; years_of_sunset=INDEFINITE
SGM PATRICK R HURLEY MEMORIAL HIGHWAY,RT U,RT M E,CRD PROVINCE RD 520 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2014-08-28; years_of_sunset=INDEFINITE
THOMAS WESLEY BENOIST MEMORIAL HIGHWAY,RT U,MO 8 E,CRD PROVINCE RD 520 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2014-08-28; years_of_sunset=INDEFINITE
THOMAS WESLEY BENOIST MEMORIAL HIGHWAY,RT U,CRD PROVINCE RD 520 E,MO 8 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2014-08-28; years_of_sunset=INDEFINITE
PVT BILLIE G KANELL CONG MEDAL OF HONOR MEMORIAL HIGHWAY,RT PP,.001 mile(s) after US 67 S,BU 60 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEDAL OF HONOR MEMORIAL HIGHWAY; year_established=2016-08-28; years_of_sunset=INDEFINITE
PVT BILLIE G KANELL CONG MEDAL OF HONOR MEMORIAL HIGHWAY,RT PP,BU 60 E,.001 mile(s) before US 67 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEDAL OF HONOR MEMORIAL HIGHWAY; year_established=2016-08-28; years_of_sunset=INDEFINITE
THOMAS G. TUCKER JR. MEMORIAL HIGHWAY,MO 51,.001 mile(s) before US 61 S,.193 mile(s) after RT AC E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2004-08-28; years_of_sunset=INDEFINITE
CHRIS SIFFORD GOV. CHIEF OF STAFF MEMORIAL HIGHWAY,MO 51,.035 mile(s) after CST RAILROAD ST S,.035 mile(s) before CST RAILROAD ST S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-11-19; years_of_sunset=20 YEARS
SPC JAMES BURNETT JR MEMORIAL HIGHWAY,MO 25,.495 mile(s) after CRD MOORE LN E,.501 mile(s) before CRD 214 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2012-08-28; years_of_sunset=INDEFINITE
THOMAS G. TUCKER JR. MEMORIAL HIGHWAY,MO 51,.001 mile(s) after US 61 S,.001 mile(s) after IS 55 N,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2004-08-28; years_of_sunset=INDEFINITE
STARS AND STRIPES HIGHWAY,MO 25,CRD MARY ST E,.006 mile(s) before US 60 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2021-08-28; years_of_sunset=INDEFINITE
CHRIS SIFFORD GOV. CHIEF OF STAFF MEMORIAL HIGHWAY,MO 51,.123 mile(s) before CRD 287 S,.012 mile(s) before CRD BLUFF RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-11-19; years_of_sunset=20 YEARS
SPC JAMES BURNETT JR MEMORIAL HIGHWAY,MO 25,.495 mile(s) before CRD MOORE LN E,.073 mile(s) after CRD CIRCLE DR S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2012-08-28; years_of_sunset=INDEFINITE
REPRESENTATIVE OTTO BEAN MEMORIAL HIGHWAY,MO 25,RT Z E,US 412 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2011-08-28; years_of_sunset=INDEFINITE
REPRESENTATIVE OTTO BEAN MEMORIAL HIGHWAY,MO 25,US 412 E,RT Z E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2011-08-28; years_of_sunset=INDEFINITE
STARS AND STRIPES HIGHWAY,MO 25,US 60 E,CRD MARY ST E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2021-08-28; years_of_sunset=INDEFINITE
E E CRADER HIGHWAY,MO 77,CRD 352 S,CRD 220 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2025-08-28; years_of_sunset=INDEFINITE
E E CRADER HIGHWAY,MO 77,CRD 220 E,CRD 352 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2025-08-28; years_of_sunset=INDEFINITE
CLIVE SHERMAN MCGEE MEMORIAL HIGHWAY,MO 34,.046 mile(s) before CST DECK ST S,.137 mile(s) after MO 51 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2011-11-17; years_of_sunset=20 YEARS
CLIVE SHERMAN MCGEE MEMORIAL HIGHWAY,MO 34,.002 mile(s) after MO 51 S,.045 mile(s) after RT ZZ E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2011-11-17; years_of_sunset=20 YEARS
CHIEF OF POLICE JERRY E HICKS MEMORIAL HIGHWAY,MO 8,.082 mile(s) after CRD MAPLE ST S,.084 mile(s) after CRD MAPLE ST S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2012-08-28; years_of_sunset=INDEFINITE
CHIEF OF POLICE JERRY E HICKS MEMORIAL HIGHWAY,MO 8,.003 mile(s) before CST HUNT ST S,.084 mile(s) before CRD MAPLE ST S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2012-08-28; years_of_sunset=INDEFINITE
CORPORAL JAY PARSLEY MEMORIAL HIGHWAY,RT J,RT WW S,CRD 483 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2013-10-29; years_of_sunset=20 YEARS
CORPORAL JAY PARSLEY MEMORIAL HIGHWAY,RT J,CRD 483 S,RT WW S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2013-10-29; years_of_sunset=20 YEARS
KEN FIEBELMAN OZARK HERITAGE MEMORIAL HIGHWAY,MO 72,.25 mile(s) before CRD 3010 E,.001 mile(s) before RT FF E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2009-11-23; years_of_sunset=20 YEARS
KEN FIEBELMAN OZARK HERITAGE MEMORIAL HIGHWAY,MO 72,.008 mile(s) before RT FF E,.281 mile(s) after CRD 3010 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2009-11-23; years_of_sunset=20 YEARS
FERLIN HUSKEY HIGHWAY,MO 8,RT M E,CST HUNT ST S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2011-08-28; years_of_sunset=INDEFINITE
FERLIN HUSKEY HIGHWAY,MO 8,CST HUNT ST S,RT M E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2011-08-28; years_of_sunset=INDEFINITE
DEPUTY SHERIFF MATTHEW S CHISM MEMORIAL HIGHWAY,MO 32,COE STOCKTON DAM RD E,MO 39 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2016-08-28; years_of_sunset=INDEFINITE
STATE REPRESENTATIVE BOB WARD HIGHWAY,MO 32,PVT LANE CEMETARY RD S,RT O E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2000-05-12; years_of_sunset=INDEFINITE
US NAVY ENS PAUL C PHIFER MEMORIAL HIGHWAY,MO 32,CRD 65TH RD S,MO 123 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2024-09-11; years_of_sunset=20 YEARS
US NAVY ENS PAUL C PHIFER MEMORIAL HIGHWAY,MO 32,MO 123 S,CRD 65TH RD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2024-09-11; years_of_sunset=20 YEARS
DANIEL M PEEK MEMORIAL HIGHWAY,MO 32,RT OO S,CST MAPLE VALLEY DR S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2020-06-30; years_of_sunset=20 YEARS
DANIEL M PEEK MEMORIAL HIGHWAY,MO 32,CST MAPLE VALLEY DR S,RT OO S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2020-06-30; years_of_sunset=20 YEARS
GOVERNOR JOHN M DALTON MEMORIAL HIGHWAY,US 412,CRD 405 S,.374 mile(s) before RT Z S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2005-08-28; years_of_sunset=INDEFINITE
CORPORAL RICKEY L BELL MEMORIAL HIGHWAY,MO 84,.01 mile(s) before RP IS55N TO MO84 E,.027 mile(s) after CRD 346 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2008-08-28; years_of_sunset=INDEFINITE
SERGEANT JEFFRY KOWALSKI MEMORIAL HIGHWAY,MO 32,.004 mile(s) before CRD SCHWARTZ LN E,.002 mile(s) before MO 144 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2013-08-28; years_of_sunset=INDEFINITE
OFFICER EVAN D BURNS MEMORIAL HIGHWAY,MO 84,.027 mile(s) after CRD 346 E,.001 mile(s) before CST SHIPYARD RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2015-09-15; years_of_sunset=20 YEARS
OFFICER EVAN D BURNS MEMORIAL HIGHWAY,MO 84,.002 mile(s) after CST SHIPYARD RD E,.027 mile(s) before CRD 346 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2015-09-15; years_of_sunset=20 YEARS
DEPUTY JOANN BARNES MEMORIAL HIGHWAY,RT H,.002 mile(s) before RT DD E,.002 mile(s) before MO 72 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2006-08-28; years_of_sunset=INDEFINITE
CORPORAL RICKEY L BELL MEMORIAL HIGHWAY,MO 84,.01 mile(s) after RP IS55N TO MO84 E,IS 55 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2008-08-28; years_of_sunset=INDEFINITE
OFFICER WALTER W FARROW MEMORIAL HIGHWAY,RT A,MO 42 E,CRD BOECKMAN BRIDGE RD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2023-08-28; years_of_sunset=INDEFINITE
OFFICER WALTER W FARROW MEMORIAL HIGHWAY,RT A,CRD BOECKMAN BRIDGE RD S,MO 42 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2023-08-28; years_of_sunset=INDEFINITE
LATHAM MEMORIAL HIGHWAY,RT A,MO 32 E,.009 mile(s) before MO 49 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2014-07-23; years_of_sunset=20 YEARS
LATHAM MEMORIAL HIGHWAY,RT A,MO 49 S,.009 mile(s) before MO 32 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2014-07-23; years_of_sunset=20 YEARS
MARY HERSCHEND MEMORIAL HIGHWAY,MO 76,PVT STONEBRIDGE PKWY E,CRD OLD HIGHWAY 76 RD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2019-08-28; years_of_sunset=INDEFINITE
MARY HERSCHEND MEMORIAL HIGHWAY,MO 76,CRD OLD HIGHWAY 76 RD S,PVT STONEBRIDGE PKWY E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2019-08-28; years_of_sunset=INDEFINITE
POLICE OFFICER GARY LEE MICHAEL JR MEMORIAL HIGHWAY,MO 13,.002 mile(s) before PVT S COAL CREEK RD S,MO 52 W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2020-08-28; years_of_sunset=INDEFINITE
SENATOR EMORY MELTON MEMORIAL HIGHWAY,BU 37,CRD 2182 E,CST COUNTY FARM RD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2016-08-28; years_of_sunset=INDEFINITE
SENATOR EMORY MELTON MEMORIAL HIGHWAY,BU 37,CST COUNTY FARM RD S,CRD 2182 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2016-08-28; years_of_sunset=INDEFINITE
PFC RALPH A BRANSON JR MEMORIAL HIGHWAY,MO 42,.693 mile(s) before CST PARKWAY RD S,CRD 336 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2018-08-28; years_of_sunset=INDEFINITE
PFC RALPH A BRANSON JR MEMORIAL HIGHWAY,MO 42,CRD 336 S,.693 mile(s) after CST PARKWAY RD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2018-08-28; years_of_sunset=INDEFINITE
LARRY STEWART SECRET SANTA MEMORIAL HIGHWAY,MO 7,.015 mile(s) before RP US50W TO MO7 W,.002 mile(s) after US 50 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-08-28; years_of_sunset=INDEFINITE
POLICE OFFICER CHRISTOPHER RYAN MORTON MEMORIAL HIGHWAY,MO 7,CRD NW 221 S,MO 52 W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2021-08-28; years_of_sunset=INDEFINITE
LARRY STEWART SECRET SANTA MEMORIAL HIGHWAY,MO 7,.015 mile(s) after RP MO7 TO US50W W,.061 mile(s) after CRD COLBERN RD W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-08-28; years_of_sunset=INDEFINITE
POLICE OFFICER GARY LEE MICHAEL JR MEMORIAL HIGHWAY,MO 13,MO 52 W,CST CALVIRD DR E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2020-08-28; years_of_sunset=INDEFINITE
MISSOURI FOX TROTTING HIGHWAY,MO 5,.027 mile(s) before CST CLARK ST E,.002 mile(s) after CST CLARK ST E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2012-08-28; years_of_sunset=INDEFINITE
MISSOURI FOX TROTTING HIGHWAY,MO 5,.027 mile(s) after CST CLARK ST E,.027 mile(s) after CRD 5-202 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2012-08-28; years_of_sunset=INDEFINITE
POLICE OFFICER CHRISTOPHER RYAN MORTON MEMORIAL HIGHWAY,MO 7,MO 52 W,CRD NW 221 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2021-08-28; years_of_sunset=INDEFINITE
PFC JONATHON HOSTETTER - ARMY,MO 5,CRD VOYAGE RD E,RT T S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=HEROES WAY HIGHWAY; year_established=2017-02-15; years_of_sunset=20 YEARS
PFC JONATHON HOSTETTER - ARMY,MO 5,RT T S,CRD VOYAGE RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=HEROES WAY HIGHWAY; year_established=2017-02-15; years_of_sunset=20 YEARS
ATOMIC VETERANS MEMORIAL HIGHWAY,MO 171,MO 43 S,RT Z E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2022-08-28; years_of_sunset=INDEFINITE
ATOMIC VETERANS MEMORIAL HIGHWAY,MO 171,RT Z E,MO 43 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2022-08-28; years_of_sunset=INDEFINITE
PATROLMAN LANE BURNS MEMORIAL HIGHWAY,MO 96,CST VINE ST E,CRD 110 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2024-09-11; years_of_sunset=20 YEARS
PATROLMAN LANE BURNS MEMORIAL HIGHWAY,MO 96,CRD 110 S,CST VINE ST E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2024-09-11; years_of_sunset=20 YEARS
CITY MARSHAL MELVIN STILES MEMORIAL HIGHWAY,MO 96,RT MM E,RT O S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2024-09-11; years_of_sunset=20 YEARS
CITY MARSHAL MELVIN STILES MEMORIAL HIGHWAY,MO 96,RT O S,RT MM E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2024-09-11; years_of_sunset=20 YEARS
DISCOVER MORE ON ROUTE 54 HIGHWAY,US 54,CRD 200 S,CO US54 W TO OSAGE BEACH PKWY E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2014-08-28; years_of_sunset=INDEFINITE
DISCOVER MORE ON ROUTE 54 HIGHWAY,US 54,CO PVT KEY LARGO RD TO US54 E,.804 mile(s) after CRD 200 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2014-08-28; years_of_sunset=INDEFINITE
VETERANS MEMORIAL EXPRESSWAY,US 54,CO US54 W TO OSAGE BEACH PKWY E,.067 mile(s) after CST WEST OSAGE BEACH PKWY N,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2015-08-28; years_of_sunset=INDEFINITE
LEE MACE MEMORIAL HIGHWAY,US 54,.009 mile(s) before RP MO42E TO US54E E,.264 mile(s) before MO 242 W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2008-06-11; years_of_sunset=20 YEARS
TROOPER ROSS S CREACH MEMORIAL HIGHWAY,US 54,.198 mile(s) before CRD BUMPER HILL RD E,.024 mile(s) after PVT HOLDEN DR S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2006-08-28; years_of_sunset=INDEFINITE
TROOPER ROSS S CREACH MEMORIAL HIGHWAY,US 54,.198 mile(s) after CRD BUMPER HILL RD E,.054 mile(s) before CO BUFFALO LINN CREEK RD TO US54 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2006-08-28; years_of_sunset=INDEFINITE
DEPUTY SHERIFF CASEY L SHOEMATE MEMORIAL HIGHWAY,US 54,.01 mile(s) after MO 52 E,MO 87 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2026-08-28; years_of_sunset=INDEFINITE
LEE MACE MEMORIAL HIGHWAY,US 54,.264 mile(s) before MO 242 W,.127 mile(s) before CRD OSAGE RIVER BRIDGE RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2008-06-11; years_of_sunset=20 YEARS
BILLY DEAN ROBINETT MEMORIAL HIGHWAY,US 54,.077 mile(s) before CRD SHEPHERD HILLS RD S,CRD CODY DR S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2014-08-28; years_of_sunset=INDEFINITE
US ARMY SPECIALIST MICHAEL CAMPBELL MEMORIAL HIGHWAY,US 54,.001 mile(s) after RT E E,CO RTD TO US54E E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2021-08-28; years_of_sunset=INDEFINITE
TROOPER DENNIS H. MARRIOTT MEMORIAL HIGHWAY,US 54,.084 mile(s) before PVT ROCKPORT HILLS RD S,.135 mile(s) after RP US54E TO MO179N N,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2004-08-28; years_of_sunset=INDEFINITE
"C.F. ""RED"" WHALEY FREEWAY",US 54,.135 mile(s) after RP US54E TO MO179N N,MO 179 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=1990-06-01; years_of_sunset=INDEFINITE
"C.F. ""RED"" WHALEY FREEWAY",US 54,.01 mile(s) after CST MOKANE RD E,.04 mile(s) before RP US54E TO SUMMIT DR S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=1990-06-01; years_of_sunset=INDEFINITE
WW II EXERCISE TIGER EXPRESSWAY,US 54,.062 mile(s) before RT FF E,.251 mile(s) before RT HH E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=1999-04-16; years_of_sunset=INDEFINITE
HSPD SGT BRYAN HOLOHAN MEMORIAL HIGHWAY,US 54,.723 mile(s) before RP US54E TO CENTER ST E,.27 mile(s) before RP US54E TO RTAAW E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2014-07-23; years_of_sunset=20 YEARS
CELIA MEMORIAL HIGHWAY,US 54,.401 mile(s) after RT BB S,.332 mile(s) after CRD 318 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2025-08-28; years_of_sunset=INDEFINITE
WW II EXERCISE TIGER EXPRESSWAY,US 54,.251 mile(s) before RT HH E,.035 mile(s) after RP MO15 TO US54E E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=1999-04-09; years_of_sunset=INDEFINITE
"C.F. ""RED"" WHALEY FREEWAY",US 54,.026 mile(s) after BK KATY TRAIL E,.007 mile(s) before CST MOKANE RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=1990-06-01; years_of_sunset=INDEFINITE
CELIA MEMORIAL HIGHWAY,US 54,.337 mile(s) before CRD 318 E,.394 mile(s) before RT BB S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2025-08-28; years_of_sunset=INDEFINITE
