highway_name,route_no,from_location,to_location,source_url,source_note
TROOPER RALPH TATOIAN MEMORIAL HIGHWAY,IS 44,US 50 E,.922 mile(s) before CRD ST MARYS RD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2006-08-28; years_of_sunset=INDEFINITE
SSGT JOSHUA M SCHOENHOFF MEMORIAL HIGHWAY,IS 44,RT N E,RT FF S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=1901-01-01; years_of_sunset=INDEFINITE
POLICE OFFICER ERNEST M BROCKMAN SR MEMORIAL HIGHWAY,IS 44,CST GEYER RD S,CST S ELM AVE S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2010-08-28; years_of_sunset=INDEFINITE
OFFICER DAVID HAYNES MEMORIAL HIGHWAY,IS 44,.013 mile(s) after CST VANDEVENTER AVE S,.014 mile(s) after CST MISSISSIPPI AVE S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2011-08-28; years_of_sunset=INDEFINITE
OFFICER MICHAEL BARWICK MEMORIAL HIGHWAY,IS 44,.059 mile(s) after RR METROLINK S,.024 mile(s) after CST KINGSHIGHWAY BLVD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-08-28; years_of_sunset=INDEFINITE
POLICE OFFICER ROBERT STANZE MEMORIAL HIGHWAY,IS 44,CST BERRY RD S,.202 mile(s) after CST EDGAR RD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2014-08-28; years_of_sunset=INDEFINITE
OFFICER DAVID HAYNES MEMORIAL HIGHWAY,IS 44,.03 mile(s) before CST BROADWAY S,.034 mile(s) before MO 30 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2011-08-28; years_of_sunset=INDEFINITE
PURPLE HEART TRAIL (I-44),IS 44,IS 70 E,.021 mile(s) before CST KINGSHIGHWAY BLVD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2012-08-28; years_of_sunset=INDEFINITE
POLICE OFFICER JULIUS KEITH MOORE MEMORIAL HIGHWAY,IS 55,.004 mile(s) after CST PESTALOZZI ST E,.004 mile(s) after CST GRATIOT ST E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2012-05-16; years_of_sunset=20 YEARS
PURPLE HEART TRAIL (I-55),IS 55,RT O E,IS 64 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2021-08-28; years_of_sunset=INDEFINITE
POLICE OFFICER JULIUS KEITH MOORE MEMORIAL HIGHWAY,IS 55,.015 mile(s) after CST GRATIOT ST E,.004 mile(s) before RP IS55S TO 13TH ST W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2012-05-16; years_of_sunset=20 YEARS
PURPLE HEART TRAIL (I-55),IS 55,IS 64 W,RT O E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2021-08-28; years_of_sunset=INDEFINITE
OFFICER MICHAEL BARWICK MEMORIAL HIGHWAY,IS 44,.004 mile(s) before CST VANDEVENTER AVE S,.021 mile(s) before CST KINGSHIGHWAY BLVD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-08-28; years_of_sunset=INDEFINITE
HENRY SHAW OZARK CORRIDOR,IS 44,1.451 mile(s) after RP LP44 TO IS44W W,.521 mile(s) before RT OO S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2002-08-28; years_of_sunset=INDEFINITE
POLICE OFFICER ROBERT STANZE MEMORIAL HIGHWAY,IS 44,.194 mile(s) before CST EDGAR RD S,.004 mile(s) after CST BERRY RD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2014-08-28; years_of_sunset=INDEFINITE
HENRY SHAW OZARK CORRIDOR,IS 44,.005 mile(s) after RP IS44W TO NO BERRY RD W,US 61 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2002-08-28; years_of_sunset=INDEFINITE
POLICE OFFICER ERNEST M BROCKMAN SR MEMORIAL HIGHWAY,IS 44,.002 mile(s) after CST S ELM AVE S,.008 mile(s) after CST GEYER RD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2010-08-28; years_of_sunset=INDEFINITE
TROOPER RALPH TATOIAN MEMORIAL HIGHWAY,IS 44,.931 mile(s) after CRD ST MARYS RD S,.087 mile(s) before US 50 W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2006-08-28; years_of_sunset=INDEFINITE
SERGEANT JAMES ALLEN COOK MEMORIAL HIGHWAY,IS 44,.003 mile(s) before RT W E,.001 mile(s) after RT FF S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2022-09-21; years_of_sunset=20 YEARS
SSGT JOSHUA M SCHOENHOFF MEMORIAL HIGHWAY,IS 44,.001 mile(s) after RT FF S,.008 mile(s) after RT N E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=1901-01-01; years_of_sunset=INDEFINITE
CW2 RUSTEN SMITH MEMORIAL HIGHWAY,IS 44,.001 mile(s) before RT U S,.012 mile(s) before MO 8 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2024-09-11; years_of_sunset=20 YEARS
GOVERNOR PHIL M DONNELLY MEMORIAL HIGHWAY,IS 44,2.016 mile(s) after RP RTF TO IS44W W,.05 mile(s) after RT MM E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-09-13; years_of_sunset=20 YEARS
GOVERNOR MEL CARNAHAN MEMORIAL HIGHWAY,IS 44,1.543 mile(s) after RT U S,.012 mile(s) before MO 8 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2005-08-28; years_of_sunset=INDEFINITE
CPL JAY SAMPIETRO MO STATE HWY PATROL MEMORIAL HIGHWAY,IS 44,.948 mile(s) before RP IS44W TO RTB N,1.663 mile(s) after RP RTB TO IS44W W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2006-08-28; years_of_sunset=INDEFINITE
NATHANAEL GREENE HIGHWAY,IS 44,.625 mile(s) before RP IS44W TO MO125 N,.002 mile(s) after MO 744 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2021-08-28; years_of_sunset=INDEFINITE
CAPTAIN AARON J EIDEM MEMORIAL HIGHWAY,IS 44,.002 mile(s) before MO 360 W,.002 mile(s) before RT PP S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2018-08-28; years_of_sunset=INDEFINITE
PAYNE STEWART HIGHWAY,IS 44,.465 mile(s) before RP IS44W TO MO744 E,.009 mile(s) before US 65 N,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2000-07-01; years_of_sunset=INDEFINITE
CONGRESSMAN GENE TAYLOR HIGHWAY,IS 44,.354 mile(s) after RT F E,.841 mile(s) after RP CRD 1010 TO IS44W W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=1996-07-12; years_of_sunset=INDEFINITE
PURPLE HEART MEMORIAL HIGHWAY,IS 44,.067 mile(s) after RP IS44W TO MO174 W,.096 mile(s) before RP IS44W TO MO39 W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-09-13; years_of_sunset=INDEFINITE
STUDENTS OF MISSOURI ASSISTING RURAL TRANSPORTATIONI (SMART) MEMORIAL HIGHWAY,US 61,.001 mile(s) after RT B S,.001 mile(s) after RT B S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2005-08-28; years_of_sunset=INDEFINITE
TOM BOLAND HIGHWAY,US 61,CRD 425 S,CST WARREN BARRETT DR E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2016-08-28; years_of_sunset=INDEFINITE
