highway_name,route_no,from_location,to_location,source_url,source_note
Purple Heart Trail,Route 70,LRS measure 0.000,LRS measure 30.530,https://wfs.ksdot.org/arcgis_web_adaptor/rest/services/Transportation/Memorial_Highway_Designations/MapServer/4,KDOT Memorial Highway Designations (Designated Routes) layer; designated 2003; route number derived from KDOT LRS RouteID
Blue Star Memorial Highway,Route 70,LRS measure 0.000,LRS measure 30.530,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0009_section/068_010_0009_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1009; designated 1951; route number derived from KDOT LRS RouteID
Ben E. Vidricksen Highway,Route 135,LRS measure 0.000,LRS measure 18.534,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0056_section/068_010_0056_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1056; designated 2002; route number derived from KDOT LRS RouteID
Purple Heart Trail,Route 135,LRS measure 0.000,LRS measure 18.993,https://wfs.ksdot.org/arcgis_web_adaptor/rest/services/Transportation/Memorial_Highway_Designations/MapServer/4,KDOT Memorial Highway Designations (Designated Routes) layer; designated 2003; route number derived from KDOT LRS RouteID
Frank Carlson Memorial Highway,Route 81,LRS measure 18.779,LRS measure 24.611,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0036_section/068_010_0036_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1036; designated 1988; route number derived from KDOT LRS RouteID
Veterans of Foreign Wars Memorial Highway,Route 83,LRS measure 0.000,LRS measure 30.917,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0054_section/068_010_0054_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1054; designated 2002; route number derived from KDOT LRS RouteID
Korean War Veterans Memorial Highway,Route 4,LRS measure 0.000,LRS measure 11.922,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0077_section/068_010_0077_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1077; designated 2008; route number derived from KDOT LRS RouteID
Persian Gulf War Veterans Memorial Highway,Route 96,LRS measure 11.977,LRS measure 23.925,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0078_section/068_010_0078_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1078; designated 2008; route number derived from KDOT LRS RouteID
35th Infantry Division Memorial Highway,Route 35,LRS measure 0.000,LRS measure 21.077,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0013_section/068_010_0013_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1013; designated 1963; route number derived from KDOT LRS RouteID
Eisenhower Memorial Highway,Route 135,LRS measure 3.877,LRS measure 22.737,http://www.kslegislature.org/li/b2021_22/statute/068_000_0000_chapter/068_010_0000_article/068_010_0024_section/068_010_0024_k/,KDOT Memorial Highway Designations (Designated Routes) layer; statute 68-1024; designated 1967; route number derived from KDOT LRS RouteID
