highway_name,route_no,from_location,to_location,source_url,source_note
Thomas A. Jr. Betts,,"Inter. of Hunterhill Rd, Winstead Ave. and Woodruff Rd. to int",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/7/2011
Carroll M. Edwards,,segement of US 74 beginning 1 mile in the city limits of Marsh,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 1/6/2011
Blue Star Memorial Highway,,"US 421, Wilkes County",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 9/14/2010
John E. Bishop,,section of US 64 from Secondary Rd. 1003 (exit 461) intercha,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 8/5/2010
Arnold N. Lakey,,section of US 421 from Goforth Rd to Pumpkin Run Rd.; Wilk,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/1/2010
Marcellus III Buchanan,,U.S. 23/74 from Exit 81; Jackson Co.,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 4/1/2010
Benjamin F. Cox,,NC 94 from Hyde Co. line to S.R. 1322 near the community of,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 3/4/2010
Dr. Calvin Jones,,NC 98 Bypass in the town limits of Wake Forest; Wake Co.,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 2/4/2010
John W. Brown,,N.C. 268 from S.R. 2303 (Clingman Rd) to the Surry Co. Line;,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 2/4/2010
M. Wayne Mangum,,portion of US 601 South from US 74 East to Mangum Dairy R,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 10/8/2009
Jerry R. Carlton,,US 220 Buisness near Burton St. to the Business US 220 and,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 10/8/2009
U.S. Marine Corp Highway=BSMH,,"US 70-Newbern to Havelock, Craven County",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 6/1/2009
U.S. Marine Corp Highway=BSMH,,"US 17 from Holly Ridge to Edenton, Onslow, Jones, Craven,",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 6/1/2009
Donna Fargo,,section of NC 103 from Mt. Airy city limits north for 5.8 miles;,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 5/7/2009
William D. Sr. Robbins,,portion of Penderlea Hwy w/in the city limits of Burgaw; Pende,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 10/2/2008
Senator Robert Holloman,,NC 561 from US 13 to NC 461 in the town of Ahoskie; Hertfor,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/10/2008
Richard Childress,,portion of I-85 from US 64 to Secondary Rd. 2085 (Lake Rd.);,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/10/2008
Rev. Charlie C. Lawrence,,section of NC 305 northwest of the Rich Square city limits to S,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/10/2008
Bob Timberlake,,I 85 from US 64 to NC 8; Davidson Co.,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/10/2008
Rep. Howard Jr. Hunter,,US 158 from US 13 to US 158 Business; Hertford Co.,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 5/1/2008
Oscar A. JR. Keller,,US 421 Bypass from US 1 to NC 42 around the City of Sanfor,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 12/6/2007
Jack E. Bryant,,section of U.S. 64 from the Henderson Co. line to the intersect,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/12/2007
George W. Younce,,SR 2560 from its intersection w/ NC 268 to its intersection w/,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,"NCDOT Road and Bridge Namings list; date 2/1/2007; Thursday, July 30, 2015 FILE # ROAD AND BRIDGE NAMINGS IN NORTH CAROLINA COMMENTS Page 6 of 27 Status Search A - Approved A I - Inactive DATE TYPE P - Pending FILE # ROAD AND BRIDGE NAMINGS IN NORTH CAROLINA NAME LOCATION"
Lacy H. Thornburg,,portion of US 23/74 from the Jackson Co. line at Balsam to Ex,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 2/1/2007
L. Berge Sr. Beam,,"N.C. 150 from the Caston Co. Line to west of Indian Creek, Li",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 12/7/2006
Benny Parsons,,section of US 421 from the Maple Staple Springs community t,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 9/7/2006
Wayne A. Corpening,,portion of I 40 within the Winston-Salem city limits from Stratf,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 9/7/2006
Lulu Belle Wiseman,,NC 194 from US 221 to US 19E; Avery Co.,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 8/3/2006
Dr. Mary Martin Sloop,,US 221 from State Rd. 1545 to the east city limits of Crossnor,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/13/2006
Grover Jr. Robbins,,NC 184 from Banner Elk to the city limits of Beech Mountain;,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/13/2006; COMMENTS
P-338,,Marshall Watson Bennett,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,"NCDOT Road and Bridge Namings list; date 6/1/2006; bridge on Old Milburnie Rd over I 540, Wake Co. resolution from county; committee 1/05; Sam J. III Ervin I 40 from Exit 103 to Exit 105 south of Morganton; Burke Co."
,,,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 4/6/2006
P-377,,Coretta Scott King,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 2/23/2006; US 17 Bypass from Lejeune Blvd to Marine Blvd; City of Jacks city resolution forthcoming; lack county r
06-01,,Tom McRimmon,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 2/2/2006; Bridge over Shoe Hell Creek on Gaddy Mill Rd; Robeson coun resolution from county; committee 1/06;
06-02,,Harold K Stallcup,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,"NCDOT Road and Bridge Namings list; date 1/2/2006; Oak St (SR 2179) from US 74 Bypass to South Broadway; To resolution from county; committee 1/06; Blue Star Memorial Highway I-77 through state; Mecklenburg, Iredell, Yadkin, Surry Cos."
,,,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 1/1/2006
05-23,,Deputy Sheriff Roy E. Ashe,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 8/1/2005; US 441from the bottom to the top of Cowee Mountian; Jackso resolution from county; 2.1 miles; no brid
05-10,,George W. Smith,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/7/2005; NC 58 from Salter Path to Atlantic Beach; ~9 miles; Carteret resolutions from county and other cities;
05-11,,President Ronald Reagan,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/7/2005; US 17 Jacksonville Bypass from Wilson Bay Bridge to NC 24 resolution from city 1/05; committee 1/05
