state,highway_name,officer_id,officer_name,old_odmp_url,new_odmp_url
Indiana,Officer Anthony Burton and Reserve Officer Lonnie Howard Memorial Highway,475,"Patrolman Anthony B. ""Bud"" Burton",,https://www.odmp.org/officer/475-patrolman-anthony-b-bud-burton
Indiana,"""Patrolman Neil Thompson Highway""",13259,Patrolman Neil G. Thompson,,https://www.odmp.org/officer/13259-patrolman-neil-g-thompson
Indiana,Anthony Wayne Parkway,13720,Patrolman Anthony Wagner,,https://www.odmp.org/officer/13720-patrolman-anthony-wagner
Indiana,"""Jerrold J. Wyss Memorial Highway""",15856,"Police Officer Jerrold Joseph ""Jerry"" Wyss",,https://www.odmp.org/officer/15856-police-officer-jerrold-joseph-jerry-wyss
Indiana,"""Trooper Scott A. Patrick Memorial Highway""",17068,Trooper Scott Alan Patrick,,https://www.odmp.org/officer/17068-trooper-scott-alan-patrick
Montana,Highway Patrol Officer James H. Anderson Memorial Highway,1207,Patrolman James H. Anderson,,https://www.odmp.org/officer/1207-patrolman-james-h-anderson
Montana,Highway Patrol Officer Richard E. Hedstrom Memorial Highway,6311,Patrolman Richard E. Hedstrom,,https://www.odmp.org/officer/6311-patrolman-richard-e-hedstrom
Montana,Highway Patrol Officer Michael M. Ren Memorial Highway,11172,Patrolman Michael M. Ren,,https://www.odmp.org/officer/11172-patrolman-michael-m-ren
Montana,Highway Patrol Officer Robert G. Steele Memorial Highway,12739,Patrolman Robert G. Steele,,https://www.odmp.org/officer/12739-patrolman-robert-g-steele
Montana,"Deborah Hobbs,LCSO 15-47 Memorial Highway",16514,Reserve Deputy Deborah Jean Hobbs,,https://www.odmp.org/officer/16514-reserve-deputy-deborah-jean-hobbs
Montana,Highway Patrol Officer David Graham Memorial Highway,19026,Trooper David A. Graham,,https://www.odmp.org/officer/19026-trooper-david-a-graham
Montana,Highway Patrol Officer David DeLaittre Memorial Highway,20576,Trooper David James DeLaittre,,https://www.odmp.org/officer/20576-trooper-david-james-delaittre
