highway_name,route_no,from_location,to_location,source_url,source_note
"Fred M. Fehsenfeld, Sr.",I-865,east-west connector between I-65 and I-465,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Purple Heart Memorial Highway""",IN-1,throughout Indiana,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Governor Harold W. Handley Highway,IN-2,from La Porte to US 20,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Senator David C. Ford""",IN-3,from Hartford City to SR 18,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Vietnam Veterans Highway""",IN-3,through Rush County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Eryk T. Heck Memorial Highway,IN-3,from I-69 to the Allen/DeKalb County Line,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Philip T. Warner Highway,IN-4,from SR 15 to SR 13,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Harold H. (Potch) Highway""",IN-5,from SR 114 to the Noble/Whitley County Line,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
“The John Martin Smith Memorial Highway”,IN-8,3.5 mi section of SR 8 between SR 327 and the Auburn city limits.,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""The Highway of Vice Presidents""",IN-9,from Shelbyville to Columbia City,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Mary Anderson Memorial Highway,IN-9,from the Bartholomew County Line to Shelbyville and from Columbia City to the Noble County Line,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Trooper Scott A. Patrick Memorial Highway""",IN-10,between Wheatfield and Demotte,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Trooper Jason E. Beal Memorial Highway""",IN-14,running through Kosciusko County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Col. Kevin A. Ford Highway,IN-18,from Grant County Line to Jay County Line,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Marion T. Anderson Highway""",IN-22,contained within Howard County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Trooper Peter 'Bo' Stephan Memorial Highway""",IN-25,from CR 450 N in Tippecanoe County to US 421,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Carroll County Veterans Memorial Highway,IN-25,from US 421/SR 39 to CR 900 N,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Jeffery A. Stout Memorial Highway""",IN-26,one 1/2 mile east and west of Union St.,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Jonathan Maxwell Memorial Highway""",IN-26,Running east and west through Howard County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Richard Regnier Memorial Highway""",IN-28,from US 31 East through Tipton,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Ruel W. Steele Highway""",IN-37,from 2.9 mi. S. of Marion/Johnson Co. Line to US 50 in Bedford,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Frank O'Bannon Memorial Highway,IN-37,SR 37 in Mitchell to SR 56 to SR 145 to Doolittle Mills,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Bataan Memorial Highway,IN-38,from Richmond to Lafayette,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Patrolman Neil Thompson Highway""",IN-39,from US 6 to US 30,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Korean War Veterans Highway""",IN-44,through Rush County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Representative Roland Stine Highway""",IN-44,between Shelbyville and I-65,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Frank McCloskey Highway""",IN-45,from US 231 to SR 135,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Van Ness Highway""",IN-49,(Valparaiso Bypass) from  US 30 to the Toll Road,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Adam Benjamin Highway,IN-51,from US 30 to US 20,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Carolyn Brown Mosby Memorial Highway""",IN-53,running through Lake County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Jerry Ross Parkway""",IN-55,from 93rd Ave. S. to Burrell Drive in Crown Point,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Murrell Belanger Memorial Highway""",IN-55,between US 231 and SR 2,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
