OBJECTID,Jurisdiction,Dedication Feature Type,Dedication Type,Displayed Sign Text,Dedication Year,Information,Streetview,GlobalID,Search URL
142,St Marys,BRID,Political_Service,Governor Thomas Johnson Bridge,1978,"Named in honor of Thomas Johnson, 1st Governor of Maryland and Calvert County native.","https://www.google.com/maps/@38.3182667,-76.4866748,3a,75y,73.67h,78.51t/data=!3m6!1e1!3m4!1sQqe7MtA5QwUTVs2zB5vPPA!2e0!7i13312!8i6656",7713aafc-b242-4102-8610-4d0612bb428b,https://bit.ly/2KSqsZu
143,Charles,BRID,Political_Service,Governor Harry W. Nice Memorial Bridge,1967,"Named in honor of Harry Whinna Nice, 50th Governor of Maryland from 1935-1939.","https://www.google.com/maps/@38.365363,-76.9699396,3a,75y,255.95h,97.22t/data=!3m6!1e1!3m4!1sjQP18VQZpb2hU3pnb4ZcLQ!2e0!7i13312!8i6656",53891458-a107-4c8e-a046-dca5ec7706bc,https://bit.ly/2PlDtLE
144,Worcester,SITE,Law_Enforc_Ser,Dedicated to Sheriff Deputy 1st Class Brian Keith Heller,2013,"Dedicated to Worcester County Sheriff's Office Deputy First Class Brian Keith Heller who was killed in the line of duty on June 14, 2000.","https://www.google.com/maps/@38.1136954,-75.4661319,3a,22.5y,272.83h,88.77t/data=!3m6!1e1!3m4!1ssLQr72WEqdEWIgrS2OyfSQ!2e0!7i13312!8i6656",92281969-f968-49f4-b907-710615fccdf7,https://bit.ly/2SqPYaT
145,Somerset,SITE,Law_Enforc_Ser,Dedicated to TFC Eric D. Monk TFC Edward A. Plank Jr.,2004,"Dedicated to Maryland State Police Trooper First Class Eric Dwight Monk and Trooper First Class Edward Plank both of whom were killed in the line of duty on April 9, 1988 and October 17, 1995, respectively.","https://www.google.com/maps/@38.1598853,-75.6904407,3a,48.6y,313.73h,82.18t/data=!3m6!1e1!3m4!1sSs3D7ov0KCeySA6eWg0T_Q!2e0!7i13312!8i6656",1b935c9b-9ae8-413d-9c5d-108b8bacd8e4,https://bit.ly/2KVPNBN
146,Worcester,BRID,Honorary,Verrazano Bridge,1976,"Named in honor of Giovanni da Verrazano, Italian navigator, who in 1524 searched the Atlantic coastline of North America in vain for a route to Asia. Some historians believe he came ashore nearby.","https://www.google.com/maps/@38.2442835,-75.1474942,3a,75y,342.62h,71.51t/data=!3m6!1e1!3m4!1sQ8j9VquYsL9s8CXwPjOIoA!2e0!7i13312!8i6656",36d4f02c-41cf-4f0c-88f0-13f5b3891952,https://bit.ly/2QENR6c
147,Anne Arundel,SITE,Public_Service,"Dedicated to Norman G. Myers, Sr.",2013,"Dedicated to Norman G. Myers, Sr., prominent business owner and longtime community leader and activist, often referred to as the ""Mayor of Odenton.”","https://www.google.com/maps/@39.0786409,-76.6850351,3a,45y,337.57h,83.68t/data=!3m6!1e1!3m4!1sYRF19fOTTAiLbj1y_AiU7w!2e0!7i13312!8i6656",0e8a7bd2-6670-477b-b9eb-5978c362638f,https://bit.ly/2BRp6LH
148,Somerset,ROAD,Honorary,Hall Highway,N/A,"Named in honor of Dr. Willard F. Hall of Edward W. McCready Hospital; the bridge crossing the Little Annemessex River was dedicated to him on December 17, 1922 and has been subsequently replaced in 1966.",https://goo.gl/maps/gkG9eds8nSB2,ea2f4379-de93-4643-9620-cda3a9917753,https://bit.ly/2EbZRpP
149,Anne Arundel,BRID,Honorary,The Nutwell Bridge | This Bridge is Dedicated In Honor of The Nutwell Family Whose Devotion to Civic Duty and Public Affairs Has Marked the History of Maryland For More Than 300 Years,1963,"Dedicated to the Nutwell family, who settled in the area in the 17th century.","https://www.google.com/maps/@38.793543,-76.556759,3a,45.1y,330h,67.02t/data=!3m6!1e1!3m4!1sBX-qJdHsdS0QG6HmF5BsnQ!2e0!7i13312!8i6656",23ef0fe1-d2fd-4705-8312-9daa837e3daf,https://bit.ly/2KRrPaN
150,Kent,BRID,Military_Service,The Chester River Bridge Dedicated to the Ex-Service Men of Kent County and Queen Anne's County,1930,The Chester River Bridge Dedicated to the Ex-Service Men of Kent County and Queen Anne's County,"https://www.google.com/maps/@39.208516,-76.0616124,3a,19.9y,352.29h,74.27t/data=!3m6!1e1!3m4!1saxVPVq-4K6IcokJqo5DDgA!2e0!7i13312!8i6656",4a7c3023-9d78-4531-9da6-b308f560ad1a,https://bit.ly/2FYYnRy
151,Queen Annes,BRID,Military_Service,The Chester River Bridge Dedicated to the Ex-Service Men of Kent County and Queen Anne's County,1930,The Chester River Bridge Dedicated to the Ex-Service Men of Kent County and Queen Anne's County,"https://www.google.com/maps/@39.208516,-76.0616124,3a,19.9y,352.29h,74.27t/data=!3m6!1e1!3m4!1saxVPVq-4K6IcokJqo5DDgA!2e0!7i13312!8i6656",dbd0c617-1671-489b-9958-0ccfacb8644f,https://bit.ly/2FYYnRy
152,Baltimore,BRID,Honorary,Dedicated as Cort Memorial Bridge,N/A,Dedicated as Cort Memorial Bridge,"https://www.google.com/maps/@39.2487229,-76.4933045,3a,75y,111.26h,79.2t/data=!3m6!1e1!3m4!1ss960el9uNi6PkD_j-dR7qw!2e0!7i13312!8i6656",6abf68a6-0cab-4d4b-afe4-d36592f78ec2,https://bit.ly/2zJ8tjR
153,Frederick,BRID,Public_Service,Barbara Fritchie Bridge,N/A,"Barbara Fritchie, a Unionist and central figure in Frederick’s history, was immortalized in the eponymous poem titled “Barbara Frietchie” by John Greenleaf Whittier (using the German spelling of her name.)","https://www.google.com/maps/@39.4140225,-77.4146537,3a,75y,198.88h,82.33t/data=!3m6!1e1!3m4!1sM_TV5DuLxrpyz9bMsD3D-Q!2e0!7i13312!8i6656",738bb94b-a0e3-4fe9-8149-11a5872148cf,https://bit.ly/2Sw6cj3
154,Howard,BRID,Political_Service,C. Philip Nichols Memorial Bridge,1960,"Dedicated to C. Philip Nichols, Sr. who served two terms in the MD House of Delegates from 1954-1962 and was instrumental in this bridge’s construction.",https://goo.gl/maps/inJPEG9fJTM2,1ded29e3-1642-4051-99e5-d2fe0fff29dc,https://bit.ly/2QyWz5I
155,Baltimore,ROAD,Political_Service,This Highway Dedicated to John S. Arnick,2006,"Dedicated to John S. Arnick, Baltimore native and US Marine Corps veteran, who served three separate spans in the MD House of Delegates ranging from 1969 through 2006.","https://www.google.com/maps/@39.2867364,-76.5061057,3a,75y,190.63h,76t/data=!3m6!1e1!3m4!1s_fxlNSMgaVDoP3B0J66eAw!2e0!7i13312!8i6656",00cdbf48-14b9-4063-8d02-2e1833a03708,https://bit.ly/2KXtID2
156,Baltimore,SITE,Honorary,Dedicated as Henrietta Lacks Way,2017,"Dedicated to Henrietta Lacks whose cervical cancer cells were the source of the HeLa cell line, the first immortalized cell line. The HeLa cell line continues to be a source of invaluable medical data to the present day.","https://www.google.com/maps/@39.2491075,-76.5200178,3a,75y,286.7h,94.2t/data=!3m6!1e1!3m4!1szMtDwJDUZqI-kE4C3jy-Bw!2e0!7i13312!8i6656",2fc31cab-0ead-4439-8d92-6c96ddc604e6,https://bit.ly/2APeYRY
157,Frederick,SITE,Honorary,In Memory of Nathan A. Blizzard,2004,"Dedicated to Nathan A. Blizzard who perished in an automobile accident at age 20 on his way to work on a dairy farm on December 5, 1997.","https://www.google.com/maps/@39.4538343,-77.3672631,3a,59.9y,166.72h,86.19t/data=!3m6!1e1!3m4!1s0pF1gZM2-Kei2FDmhJeb6w!2e0!7i13312!8i6656",8221f79c-4bc3-4c05-9160-9b87fbf9cdf2,https://bit.ly/2ATC4Hg
158,Howard,SITE,Political_Service,This Travel Information Center is named in honor of Governor Harry R. Hughes...,2007,"Named in honor of Harry Roe Hughes, 57th Governor of Maryland for two terms, 1979-1987 who served as the state's first Secretary of Transportation from 1971-1979.",https://goo.gl/maps/oU672UjY3dF2,31ad84c2-0cdb-43ac-a2b9-5656e7bbbec8,https://bit.ly/2KR4tC6
159,Howard,ROAD,Political_Service,"Dedicated to Senator James Clark, Jr.",2006,"Dedicated to James Clark, Jr., Ellicott City native and former president of the MD State Senate from 1979-1983.","https://www.google.com/maps/@39.2375014,-76.8628967,3a,75y,248.11h,73.28t/data=!3m6!1e1!3m4!1sBAKrdIv_QqWN6iMEH5RJUA!2e0!7i13312!8i6656",f32cefa2-920d-480f-bd54-14fbf7055ff2,https://bit.ly/2EdWdf5
160,Anne Arundel,SITE,Law_Enforc_Ser,In Memory of Ofc. Duke G. Aaron III Maryland Transportation Authority Police,N/A,"Dedicated to Maryland Transportation Authority Police Officer Duke G. Aaron III, who was killed in the line of duty when his patrol car was struck from behind on July 20, 2004.","https://www.google.com/maps/@39.0256761,-76.4357287,3a,75y,281.11h,71.25t/data=!3m6!1e1!3m4!1sIB6Gkuq4VB_oY4SLDeTcaw!2e0!7i13312!8i6656",a445e4ac-135d-4003-a298-e89ef9143917,https://bit.ly/2KU3EZx
161,Montgomery,BRID,Honorary,Father John Stanislaus Cuddy Memorial Bridge,N/A,"Named in honor of Father John Stanislaus Cuddy, a popular local priest at nearby St. Martins, who was killed in 1928 when a train struck his automobile. The incident spurred the bridge construction for safer crossing.","https://www.google.com/maps/@39.1404756,-77.1973279,3a,75y,312.17h,95.33t/data=!3m6!1e1!3m4!1s_iI-aVqHaXv5J9nwNc1qdw!2e0!7i13312!8i6656",175199eb-eb60-4163-8faa-bdd6fb205652,https://bit.ly/2DXOGjE
162,Montgomery,ROAD,Philanthropist,Clara Barton Parkway,1989,"Named in honor of Clara Barton, founder of the American Red Cross, who spent her final 15 years at her home in nearby Glen Echo which doubled as an early headquarters of the organization.","https://www.google.com/maps/@38.977047,-77.2033885,3a,48.1y,134.46h,85.74t/data=!3m6!1e1!3m4!1sXwxvTYtBBIcI84ZvEtGD6Q!2e0!7i13312!8i6656",258328fd-ca09-477d-b71f-a475c411d820,https://bit.ly/2UhrJ0i
163,Worcester,SITE,Political_Service,Dedicated to James G. Barrett,2005,"Dedicated to James G. Barrett, former Worcester County Commissioner, who advocated for the dualization of US-113.","https://www.google.com/maps/@38.3546679,-75.214404,3a,75y,30.38h,88.47t/data=!3m6!1e1!3m4!1sG5h1VEGIs9CfcOAEXMQj_g!2e0!7i13312!8i6656",f1bc12e3-cbce-4e30-b713-c676385c118a,https://bit.ly/2Rz5HVk
164,Somerset,ROAD,Honorary,This Parkway Dedicated In Memory of John P. Tawes,2002,"Dedicated to John P. Tawes, who advocated for the construction of a dual carriageway through the main section of Crisfield.","https://www.google.com/maps/@37.9918433,-75.8428893,3a,49.4y,221.78h,73.53t/data=!3m6!1e1!3m4!1s3k4QQV7t2XPpwutfxiidlg!2e0!7i13312!8i6656",f11669f7-26ff-46dd-8674-87b85719ee65,https://bit.ly/2ANljNK
165,Montgomery,ROAD,Political_Service,This Highway Dedicated to Senator Ida G. Ruben,2006,Dedicated to Ida G. Ruben who represented District 20 in both the MD House of Delegates and MD Senate from 1975 to 2007 and advocated for the expansion of the FDA campus in White Oak.,"https://www.google.com/maps/@39.0237838,-76.978655,3a,67.6y,323.71h,87.46t/data=!3m6!1e1!3m4!1sfOwQpawu5DV0fx0S76P_KA!2e0!7i13312!8i6656",31094556-9c5a-4758-ad80-0650be16d318,https://bit.ly/2zB6EFF
166,Prince Georges,BRID,Political_Service,This Bridge Dedicated to Senator Leo E. Green,2006,"Dedicated to Leo E. Green, who represented Prince George's County in the MD Senate from 1983 to 2007.","https://www.google.com/maps/@38.9532776,-76.7383448,3a,55.1y,253.63h,92.82t/data=!3m6!1e1!3m4!1sPFbjRz6JkwzIapgcKOyuag!2e0!7i13312!8i6656",44faa2ad-173f-4963-89e0-66cd9ad2c08e,https://bit.ly/2Sv3hXS
167,Montgomery,ROAD,Law_Enforc_Ser,Dedicated to Police Officer III Noah A Leotta | Don't Drink And Drive,2016,"Dedicated to Montgomery County Police Officer Noah A. Leotta who was killed in the line of duty while pulling over a suspected drunk driver on December 3, 2015. As a result, Senate Bill 945 was passed, colloquially referred to as “Noah’s Law.""",https://goo.gl/maps/hwUZygTSYYm,634813b8-c856-4e89-99fc-645fd917dfb8,https://bit.ly/2FWeY8x
168,Garrett,ROAD,Political_Service,George Washington Highway,N/A,"Named in honor of George Washington, the 1st President of the United States.","https://www.google.com/maps/@39.3182473,-79.4866488,3a,70.7y,123.48h,90.84t/data=!3m6!1e1!3m4!1s6w0fYl-kBKyHpjKS7w6sQQ!2e0!7i3328!8i1664",90fe74ec-ea5b-4158-bedd-5a72d24ee089,https://bit.ly/2KVtsUX
169,Prince Georges,BRID,Political_Service,C. Philip Nichols Memorial Bridge,1960,"Dedicated to C. Philip Nichols, Sr. who served two terms in the MD House of Delegates from 1954-1962 and was instrumental in this bridge’s construction.",https://goo.gl/maps/inJPEG9fJTM2,82d0fa3c-e09a-4522-9e34-5e451217c44f,https://bit.ly/2QyWz5I
170,Howard,ROAD,Law_Enforc_Ser,Dedicated to Cpl. Scott A. Wheeler Howard County Police Dept,2007,"Dedicated to Howard County Police Corporal Scott A. Wheeler who was killed in the line of duty while initiating a traffic stop on June 18, 2007.","https://www.google.com/maps/@39.1454542,-76.8207179,3a,49.5y,294.5h,81.51t/data=!3m6!1e1!3m4!1s5mqswL3Wf9QituYgc9r4fQ!2e0!7i13312!8i6656",ca4e6e0b-bc5f-421e-9470-c3ecc486b046,https://bit.ly/2StrNZk
171,Somerset,SITE,Political_Service,Judge Lloyd L ""Hot Dog"" Simpkins Rest Area,2007,"Named in honor of Judge Lloyd L. “Hot Dog” Simpkins, lifelong Somerset County resident, who retired in 1990 at the age of 70 but continued to preside over cases on a part-time basis until 2010, making him the oldest sitting judge in Maryland history.","https://www.google.com/maps/@38.1952449,-75.6972439,3a,15y,219.41h,87.29t/data=!3m6!1e1!3m4!1sLNQ8xQsSTmlqfE6C-t7u1g!2e0!7i13312!8i6656",ef75108c-1e79-438a-ac09-f06a4aa737e1,https://bit.ly/2FW4Mgh
172,Worcester,SITE,Political_Service,The U.S. Route 13 Travel Information Center is Dedicated to the Memory of Mark O. Pilchard,1989,Dedicated to Mark O. Pilchard who served the citizens of the Lower Eastern Shore as a member of the MD House of Delegates from 1959-1966 and 1979-1989 and was instrumental in the creation of the rest area.,"https://www.google.com/maps/@38.0045129,-75.5430779,3a,20y,270.39h,88.6t/data=!3m6!1e1!3m4!1sG95aEvadjrug5_is1pcz5w!2e0!7i13312!8i6656",bb661254-04fb-4a36-ac8b-5d488813bfe2,https://bit.ly/2RFgZXS
173,Anne Arundel,ROAD,Political_Service,Dedicated to Senator Philip C. Jimeno,2016,"Dedicated to Philip C. Jimeno who represented District 31 for 28 years, serving terms in both the MD House of Delegates and Senate from 1979 to 2007.","https://www.google.com/maps/@39.2285602,-76.6133407,3a,75y,179.87h,90.13t/data=!3m6!1e1!3m4!1smpDQDIoQY52_dLePzKIyIw!2e0!7i13312!8i6656",33a81325-286b-47e6-b986-52289eae05ae,https://bit.ly/2Ssv8YB
174,Calvert,ROAD,Public_Service,Harriet Elizabeth Brown Memorial Parkway,2016,"Named in honor of Harriett Elizabeth Brown, Calvert County school teacher who fought for equal pay regardless of race and became the catalyst for the Maryland Teachers Pay Equalization Law, the first equalization law in Maryland.",https://goo.gl/maps/FLwehoBZVg12,bc546be3-e526-4c23-9a44-69358a786ebd,https://bit.ly/2U8pf4B
175,Anne Arundel,ROAD,Political_Service,Dedicated to Delegate Tyras Bunk Athey,2016,"Dedicated to Tyras Snowden “Bunk” Athey, Burtonsville native, former MD Secretary of the State who served in the MD House of Delegates from 1967 to 1993.","https://www.google.com/maps/@39.1353287,-76.7471442,3a,75y,124.91h,78.27t/data=!3m6!1e1!3m4!1sb0fS5RL_cpaUUhZADymgdQ!2e0!7i13312!8i6656",a8a776a9-0e1f-497c-a13c-f149989435db,https://bit.ly/2SnfxJG
176,Howard,ROAD,Public_Service,Dedicated to Dr Charles I Ecker,2017,"Dedicated to Charles Isaac Ecker, Maryland native, a career public school administrator and County Executive of Howard County from 1990 to 1998.","https://www.google.com/maps/@39.2429114,-76.8151206,3a,75y,195.42h,89.6t/data=!3m6!1e1!3m4!1see9n8RQbnQXEutFrBNTrKA!2e0!7i13312!8i6656",12fe8d35-30f7-45e0-b715-d6919adade9f,https://bit.ly/2UenJ0z
177,Calvert,ROAD,Public_Service,Dedicated to Paul Kerman,N/A,Dedicated to Paul Kerman who developed Drum Point Beach and served on the Maryland state judicial selection commission.,"https://www.google.com/maps/@38.3701376,-76.4388975,3a,75y,146.21h,84.74t/data=!3m6!1e1!3m4!1syl-95-ENu3M0WHkqxclZ6g!2e0!7i3328!8i1664",b76c3ebb-ea4e-473b-9c40-f981df961b81,https://bit.ly/2FYjaon
178,Queen Annes,SITE,Law_Enforc_Ser,"In Memory of a Fallen Hero Sgt. Wallace J. Mowbray Maryland State Trooper in the line of duty August 10, 1975",2007,"Dedicated to Maryland State Police Trooper Sergeant Wallace Johnson Mowbray who was killed in the line of duty during a traffic stop on August 10, 1975.","https://www.google.com/maps/@39.033472,-76.0206728,3a,50.4y,68.25h,89.6t/data=!3m6!1e1!3m4!1smZCHOvNSSyKCHTjh2CkmrQ!2e0!7i13312!8i6656",ca997f98-a391-4d1d-b427-3c6a075c78ae,https://bit.ly/2Qb6zCF
179,Montgomery,BRID,Law_Enforc_Ser,Bridge Dedicated to Capt. J.E. Daly Jr. | Cpl J.M. Frontczak,2010,"Dedicated to Montgomery County Police Captain James Edward Daly, Jr. and Corporal John Michael Frontczak who were killed in the line of duty attempting to arrest a robbery suspect on March 28, 1976.","https://www.google.com/maps/@39.0260876,-77.141588,3a,45.7y,18.55h,93.03t/data=!3m6!1e1!3m4!1scO9CmtAiP76QBgkA1kuqpw!2e0!7i13312!8i6656",0c8d6a40-d065-4c0c-81c2-d626635f9fdc,https://bit.ly/2Q8LZTN
180,Frederick,ROAD,Political_Service,This Highway Dedicated to Senator Charles H. Smelser,2010,"Dedicated to Charles H. “Bus” Smelser, Uniontown native who represented Carroll and Frederick counties in the MD House of Delegates from 1955 to 1963 and the MD Senate from 1967 to 1994.","https://www.google.com/maps/@39.4849341,-77.2317759,3a,75y,65.65h,85.46t/data=!3m6!1e1!3m4!1spSKgQtOtawGUx5Dd8_KNXw!2e0!7i13312!8i6656",814c4c9f-5f64-456c-b6de-efe6b52606d5,https://bit.ly/2PijMEr
181,Carroll,ROAD,Political_Service,This Highway Dedicated to Senator Charles H. Smelser,2010,"Dedicated to Charles H. “Bus” Smelser, Uniontown native who represented Carroll and Frederick counties in the MD House of Delegates from 1955 to 1963 and the MD Senate from 1967 to 1994.","https://www.google.com/maps/@39.579389,-77.0104257,3a,75y,198.78h,82.4t/data=!3m6!1e1!3m4!1sX5tIpqNjViKj9ga53RYS5Q!2e0!7i13312!8i6656",e78e4126-a5f0-4131-bd33-fc632a66205d,https://bit.ly/2PijMEr
182,Montgomery,SITE,Political_Service,Dedicated to Charles W Elgin Sr,N/A,"Dedicated to Charles W. Elgin Sr., Poolesville native, who was a community leader and third generation Poolesville resident, served as the Town of Poolesville Commissioner from 1980 to 1994 and considered by many the “father” of Poolesville.","https://www.google.com/maps/@39.1240232,-77.3682053,3a,75y,274.23h,71.78t/data=!3m6!1e1!3m4!1s5EurzXQ07ndvFEjPnKbGAQ!2e0!7i3328!8i1664",ff8c94db-5338-4253-af6c-68c391142e44,https://bit.ly/2KPfZhz
183,Washington,SITE,Law_Enforc_Ser,Dedicated to Peace Officer Christopher Nicholson,2009,"Dedicated to Smithsburg Police Officer Christopher Shane Nicholson who was killed in the line of duty on December 19, 2007.","https://www.google.com/maps/@39.6793377,-77.573027,3a,75y,178.82h,91.39t/data=!3m6!1e1!3m4!1sFsOsnlweVgSh7r1GXJ_zAw!2e0!7i13312!8i6656",0501e299-5854-4974-9a4e-094ee2925920,https://bit.ly/2E0otRh
184,Montgomery,ROAD,Law_Enforc_Ser,Dedicated to OFC. William D. ""Bill"" Talbert  Montgomery County Police Department,2012,Dedicated to Montgomery County Police Officer William D. “Bill” Talbert who was severely injured in the line of duty when struck by a drunk driver and ultimately perished from related complications several years later.,"https://www.google.com/maps/@39.1219067,-77.1879275,3a,29.9y,132.11h,84.58t/data=!3m6!1e1!3m4!1syUpHcyfu5sKYu_eeh6C0BQ!2e0!7i13312!8i6656",1a42d5a5-3a1d-4f1b-9464-7620b6cbba04,https://bit.ly/2UbK1jO
185,Harford,SITE,Law_Enforc_Ser,In Memory of Trooper John E. Sawa Trooper Larry E. Small Maryland State Police,2014,"Dedicated to Maryland State Police Trooper First Class John Edward Sawa and Trooper Larry Eugene Small who were killed in the duty when a tractor trailer driven by a drunk driver struck their parked patrol car on March 10, 1987.","https://www.google.com/maps/@39.5582441,-76.1522881,3a,75y,232.86h,75.63t/data=!3m6!1e1!3m4!1sQmID2S9m9qaWMmIWA52daA!2e0!7i13312!8i6656",cd6d6d52-3813-434e-bc98-d569be71e103,https://bit.ly/2QbcEz1
186,Montgomery,SITE,Political_Service,Dedicated to Senator Leonard H. Teitelbaum Maryland State Senate,2013,Dedicated to Leonard H. Teitelbaum who represented District 19 in both the MD House of Delegates and MD Senate from 1987 to 2007.,"https://www.google.com/maps/@39.0760976,-77.0692587,3a,77.9y,136.84h,83t/data=!3m6!1e1!3m4!1spIdb97h0b-0EiZkmvUG_OA!2e0!7i13312!8i6656",a8bf4c84-d8d4-4b9f-8155-35e05cd1a9af,https://bit.ly/2RwKxHp
187,Montgomery,ROAD,Political_Service,"Dedicated to Governor Robert L. Ehrlich, Jr.",2017,"Dedicated to Robert L. Ehrlich, Jr., 60th Governor of Maryland, who prioritized construction of the Intercounty Connector (MD-200) during his administration. This all-electronic toll road opened in 2011 and planning efforts date back to the 1950’s.","https://www.google.com/maps/@39.1361432,-77.1520232,3a,75y,111.1h,92.26t/data=!3m6!1e1!3m4!1sJcffyvsdlGrOcO8Yz2UGjw!2e0!7i13312!8i6656",563fe12e-5bba-41c3-ae86-3bd4c0414b93,https://bit.ly/2Phgots
188,Prince Georges,ROAD,Political_Service,"Dedicated to Governor Robert L. Ehrlich, Jr.",2017,"Dedicated to Robert L. Ehrlich, Jr., 60th Governor of Maryland, who prioritized construction of the Intercounty Connector (MD-200) during his administration. This all-electronic toll road opened in 2011 and planning efforts date back to the 1950’s.","https://www.google.com/maps/@39.0744043,-76.9164303,3a,75y,254.7h,83.67t/data=!3m6!1e1!3m4!1sunpF1DER2aXMDcD22hRUdQ!2e0!7i13312!8i6656",d33a768d-efdd-4330-b489-3affe3bd8ccd,https://bit.ly/2Phgots
189,Montgomery,BRID,Law_Enforc_Ser,Dedicated to Capt. Joseph A. Mattingly Montgomery County Police Department,2016,"Dedicated to Montgomery County Police Captain Joseph Aloysius Mattingly who was killed in the line of duty when his patrol car struck a tree on September 13, 2003.","https://www.google.com/maps/@39.0096152,-77.1526699,3a,75y,121.12h,82.38t/data=!3m6!1e1!3m4!1suifknjnCfm_VPMhprEO3kw!2e0!7i13312!8i6656",c0c45eeb-6acf-4039-bc37-c0079a746872,https://bit.ly/2QwT2F7
190,Charles,BRID,Fire_Service,Dedicated to Firefighter Christopher A. Staley Cobb Island Volunteer Fire Dept,2014,"Dedicated to Cobb Island Volunteer Firefighter Christopher Allen Staley who died in the line of duty on August 6, 2011 attempting to save a distressed swimmer who also passed.","https://www.google.com/maps/@38.2641032,-76.8496176,3a,75y,39.65h,75.32t/data=!3m6!1e1!3m4!1s5JDOKlBwc7CKK_8VLrV-sg!2e0!7i3328!8i1664",735c7482-82e8-485d-aa6f-928f80dd6cc0,https://bit.ly/2UhEDM6
191,Washington,ROAD,Fire_Service,"Dedicated to Capt. Joseph Kroboth, Jr. Halfway Volunteer Fire Co",2013,"Dedicated to Volunteer Fire Company of Halfway Captain Joseph Kroboth, Jr. who was killed in the line of duty on May 3, 1998 while directing traffic at the scene of a motor vehicle collision.","https://www.google.com/maps/@39.607112,-77.8025047,3a,75y,199.2h,77.16t/data=!3m6!1e1!3m4!1sx6sbZX-iyWk577M--PiKCA!2e0!7i13312!8i6656",f44e9907-f649-446b-a6c1-ded7c4f32900,https://bit.ly/2KPX9GY
192,Anne Arundel,SITE,Political_Service,Dedicated to Delegate David G. Boschert,2012,"Dedicated to David G. Boschert, who served the citizens of Anne Arundel County both as a County Councilman and in the MD House of Delegates and advocated for the expansion of MD-32.","https://www.google.com/maps/@39.0931777,-76.7160584,3a,40.4y,239.46h,88.45t/data=!3m6!1e1!3m4!1sUD8DYXe0qEANSxSxRQZz_w!2e0!7i13312!8i6656",7a275285-f5c9-4b92-915f-7f0eb36d9f34,https://bit.ly/2DWAOpU
193,Montgomery,ROAD,Political_Service,Dedicated to Senator Laurence Levitan Maryland State Senate,2013,Dedicated to Laurence Levitan who represented District 15 in both the MD House of and MD Senate for over two decades. Senator Levitan was also the Chair of the Budget and Taxation Committee from 1979 to 1994.,"https://www.google.com/maps/@39.0292108,-77.2267373,3a,75y,291.85h,60.62t/data=!3m6!1e1!3m4!1s9asqFQS_visF0IbGg9aAog!2e0!7i13312!8i6656",d2c1de46-ad51-4be1-8ee5-acafcbcdf184,https://bit.ly/2FX7X7u
194,Wicomico,ROAD,Political_Service,Dedicated to Del. K. Bennett Bozman Maryland House of Delegates,2014,Dedicated to K. Bennett Bozman who advocated for the dualization of US-113 and represented Wicomico and Worcester Counties in the MD House of Delegates from 1991 until his death in 2006.,"https://www.google.com/maps/@38.1501638,-75.3921545,3a,75.8y,51.9h,83.91t/data=!3m6!1e1!3m4!1sDyULoen323LtjFMHKvxOtA!2e0!7i13312!8i6656",831fc455-746c-4869-a4ba-f9ec4f38e1ba,https://bit.ly/2RBY9RO
195,Prince Georges,SITE,Law_Enforc_Ser,Dedicated to TFC Anthony Jones Maryland State Police,2007,"Dedicated to Maryland State Police Trooper First Class Anthony Jones who was killed in the line of duty when he was struck by a vehicle operated by an intoxicated driver on May 9, 2004.","https://www.google.com/maps/@38.944842,-76.7740212,3a,90y,74.64h,83t/data=!3m6!1e1!3m4!1s8fFAhj7BSBdkCG5FTcFTdw!2e0!7i13312!8i6656",ec0a0845-2c1d-4ca1-9071-11892f1fb2a0,https://bit.ly/2EakpPv
196,Prince Georges,ROAD,Law_Enforc_Ser,Dedicated to Sgt. Anthony M. Walker Prince George's County Police Dept,2012,"Dedicated to Prince George’s County Police Sergeant Anthony “Tony” Michael Walker, President of Prince George’s County Fraternal Order of Police, who succumbed to injuries sustained while on patrol in an automobile accident on November 15, 2003.","https://www.google.com/maps/@38.7249213,-76.8385469,3a,75y,49.37h,90.49t/data=!3m6!1e1!3m4!1sCNO38UqvQQeglpNiDzHyWw!2e0!7i13312!8i6656",d4bea5d0-1843-41e9-ae6d-9f4076e2c26b,https://bit.ly/2FUmxfS
197,Prince Georges,BRID,Law_Enforc_Ser,Dedicated to Corporal Thomas P. Jensen Prince George's County Police Dept.,2010,"Dedicated to Prince George’s County Police Corporal Thomas “Tommy” Paul Jensen, who succumbed to injuries sustained in an automobile accident while responding to a burglary in progress on March 9, 2010.","https://www.google.com/maps/@39.0010272,-76.9310895,3a,73.7y,5.17h,77.86t/data=!3m6!1e1!3m4!1sjiIuoj5azsnSA497IworEA!2e0!7i13312!8i6656",67124baf-635c-4563-862f-1fa66a8591ba,https://bit.ly/2QzU8jl
198,Prince Georges,ROAD,Law_Enforc_Ser,Dedicated to Sergeant Richard S. Findley Prince George's County Police Dept.,2010,"Dedicated to Prince George’s County Police Sergeant Richard Scott Findley, who was killed in the line of duty when he was intentionally struck by the driver of a stolen automobile on June 27, 2008.","https://www.google.com/maps/@39.0923032,-76.8443125,3a,79.6y,222.11h,84.88t/data=!3m6!1e1!3m4!1sQ7runlWSIy0iLeYhwSFu9w!2e0!7i13312!8i6656",2d999fcc-e3ea-4c63-8c32-f6d7cbf1eb33,https://bit.ly/2rkN5wK
