OBJECTID,Jurisdiction,Dedication Feature Type,Dedication Type,Displayed Sign Text,Dedication Year,Information,Streetview,GlobalID,Search URL
106,Allegany,ROAD,Honorary,Uhl Highway,1934,"Named in honor of G. Clinton Uhl, Mt. Savage native and chairman of Maryland State Roads Commission from 1929 until his death in 1934.","https://www.google.com/maps/@39.6188672,-78.7313614,3a,73.7y,58.69h,88.05t/data=!3m6!1e1!3m4!1sPHHjl2hoisSiU7Mhl9KQxQ!2e0!7i3328!8i1664",16ca1421-c90a-4522-a463-186a722f1570,https://bit.ly/2GfoaFl
107,Washington,BRID,Military_Service,"I-81 Bridge Dedicated to US Navy Fireman Patrick Howard Roy US Navy Seaman Craig Brian Wibberley Killed Aboard USS Cole October 12, 2000",2006,"Dedicated to United States Navy Fireman Apprentice Patrick Howard Roy and United States Navy Seaman Apprentice Craig Brian Wibberley, Washington County natives who were among the 17 Sailors killed in action on October 12, 2000 during the terrorist attack on the U.S.S. Cole in Yemen.",https://goo.gl/maps/1G5mDeEx5UA2,b785def1-89ff-4523-9fb2-019e1afa3391,https://bit.ly/2BTCz5L
108,Caroline,BRID,Political_Service,The Governor Harry R. Hughes Bridge,2009,"Named in honor of Harry Roe Hughes, 57th Governor of Maryland for two terms, 1979-1987 who served as the state's first Secretary of Transportation from 1971-1979.","https://www.google.com/maps/@38.8966575,-75.829366,3a,75y,264.11h,84.22t/data=!3m6!1e1!3m4!1sV7SV0d1ukbc54efXhOVBVg!2e0!7i13312!8i6656",19427f20-e219-444a-be57-680f6f383de5,https://bit.ly/2KR4tC6
109,Charles,ROAD,Law_Enforc_Ser,Dedicated to Deputy Lawrence H. McParlin Charles County Sheriff's Office,2014,"Dedicated to Charles County Sheriff's Office Deputy Lawrence H. McParlin who was killed in the line of duty serving a court summons on May 21, 1918; believed to be the first officer from the Charles County Sheriff's Office to perish in the line of duty.","https://www.google.com/maps/@38.5872843,-77.1188501,3a,75y,17.43h,70.29t/data=!3m6!1e1!3m4!1s92HTPHJspS46DZGq2BpyUQ!2e0!7i13312!8i6656",9baed304-647a-4e0e-91fc-764fbfa978a3,https://bit.ly/2SoinOO
110,Montgomery,ROAD,Law_Enforc_Ser,Dedicated to Ofc. Luke T. Hoffman Montgomery County Police Dept,2002,"Dedicated to Montgomery County Police Officer Luke T. Hoffman who was killed in the line of duty in pursuit of a suspected drunk driver on April 25, 2007.",https://goo.gl/maps/ctzKB7YkFs72,46703c60-2884-4e3c-8c1e-ef91e32738d2,https://bit.ly/2rjiwrd
111,Anne Arundel,BRID,Military_Service,Dedicated to S01 (SEAL) Patrick D. Feeks United States Navy,2014,"Dedicated to Untied States Navy Special Warfare Operator First Class Seal Patrick D. Feeks, Edgewater native who was killed in the line of duty on August 16, 2012 northeast of Kandahar, Afghanistan while supporting Operation Enduring Freedom.","https://www.google.com/maps/@38.9903062,-76.5080236,3a,75y,317.19h,81.39t/data=!3m6!1e1!3m4!1s12ZPpPLHf1wBkrFGr9DyOA!2e0!7i13312!8i6656",896744ea-dcaf-47e8-bafa-c5dcdcbdb2a2,https://bit.ly/2QaDZBw
112,Harford,SITE,Military_Service,SGT Michael Heede Jr USMC Afghanistan Campaign Killed In Action 7-13-09,2016,"Dedicated to United States Marine Corps Sergeant Michael W. Heede, Jr who was killed in action in the Helmand province of Afghanistan on July 13, 2009 while supporting Operation Enduring Freedom.",https://goo.gl/maps/JzopWTum6hFZn6zP6,d30b7ec6-e80c-4be1-98d3-d4704c6b6c8c,https://bit.ly/2AQ6b27
113,Kent,ROAD,Activist,Dedicated to Henry Highland Garnet,2016,"Dedicated to Henry Highland Garnet, Kent County native, who was an abolitionist, minister, educator and orator and escaped slavery as a child. His ""Call to Rebellion"" speech in 1843 encouraged slaves to free themselves by rising up against owners.","https://www.google.com/maps/@39.2578846,-75.9375698,3a,60y,98.75h,77.86t/data=!3m6!1e1!3m4!1sSaxkGQ85AcpXsVJjqbMTsw!2e0!7i3328!8i1664",d29b0734-422e-4a49-b00e-679bdd42c39f,https://bit.ly/2UeAZT9
114,Allegany,ROAD,Political_Service,This Parkway Dedicated to J. Glenn Beall Jr. United States Senator,2006,"Dedicated to John Glenn Beall, Jr. Cumberland native and longtime Maryland politician, who was instrumental in securing funding for Interstate 68 and Canal Place tourism development.","https://www.google.com/maps/@39.6266232,-78.7721908,3a,75y,13.09h,90.48t/data=!3m6!1e1!3m4!1sRW3fq1nXe4ws5C361Acrdg!2e0!7i3328!8i1664",90996902-cba3-4819-933a-6b08fa5b6840,https://bit.ly/2Ue8mp3
115,Allegany,ROAD,Military_Service,Dedicated to USMC Master Sergeant William ""Bull"" Evans,2013,"Dedicated to United States Marine Corps Master Sergeant William ""Bull"" Evans, Cresaptown native and decorated World War II and Korean War veteran, whose heroic acts made him a legend among Marines.","https://www.google.com/maps/@39.5927828,-78.8343789,3a,25.6y,62.85h,85.43t/data=!3m6!1e1!3m4!1s5ZlNpsjt50Cqkt8QH_hEYA!2e0!7i13312!8i6656",07875a74-30d8-4538-867f-adefb377f6af,https://bit.ly/2FWM9ZD
116,Allegany,ROAD,Honorary,Ali Ghan Road,N/A,"Named in honor of the Ali Ghan Temple, a Shrine that opened in 1938, serving a collateral body of Freemasonry.","https://www.google.com/maps/@39.6728812,-78.7277099,3a,75y,116.83h,71.72t/data=!3m6!1e1!3m4!1stiNCOiqeuYwATXPriR_CPw!2e0!7i3328!8i1664",6df5757b-20a6-4d3c-be98-9c7761bcc8c9,https://bit.ly/2SuecAS
117,Allegany,BRID,Political_Service,Thomas B. Finan Memorial Bridge,1968,"Named in honor of Thomas B. Finan, Cumberland native and Maryland Attorney General from 1961-1966.","https://www.google.com/maps/@39.6491951,-78.7676326,3a,60y,75.3h,91.45t/data=!3m6!1e1!3m4!1sR-bWvXOeRkkTCqgQA5Etmg!2e0!7i13312!8i6656",ae92d3cb-c467-4071-8dd3-e3a6a1188503,https://bit.ly/2KSPSpS
118,Anne Arundel,BRID,Military_Service,Anne Arundel County Veterans Memorial Bridge,1982,Dedicated as Anne Arundel County Veterans Memorial Bridge.,"https://www.google.com/maps/@38.9480046,-76.5573148,3a,75y,43.3h,87.72t/data=!3m6!1e1!3m4!1sPaJGNJK6dBZMaXCR7zAkiw!2e0!7i13312!8i6656",0f869ae8-0746-4d5a-a81f-e63783d90472,https://bit.ly/2TCDulm
119,Anne Arundel,SITE,Military_Service,Maryland World War II Memorial,1998,"Memorial to the 6,454 Marylanders who died in World War II - their names are inscribed in granite slabs surrounded by columns in this amphitheater overlooking the Severn River. Stone panels and mosaic circles further depict Maryland's role in the War.","https://www.google.com/maps/@38.997512,-76.4817728,3a,75y,351.04h,80.74t/data=!3m6!1e1!3m4!1sq-AS7qWPTODWBXsdEtkfJA!2e0!7i13312!8i6656",15935ea7-1e82-4856-a4f3-2e531bde3607,https://bit.ly/2FWKbs0
120,Charles,ROAD,Law_Enforc_Ser,Dedicated to CPL Jamel Leon Clagett Charles County Sheriff's Office,2018,"Dedicated to Charles County Sheriff’s Office Corporal Jamel Leon Clagett who was killed while driving home after work in a single vehicle crash on December 21, 2014.","https://www.google.com/maps/@38.6158016,-76.8835912,3a,75y,302.54h,78.63t/data=!3m6!1e1!3m4!1seyqmkUmoHbilssuO5yFTAQ!2e0!7i13312!8i6656",c2f1f350-c529-4f65-8715-39b44a146000,https://bit.ly/2PkxkQ3
121,Baltimore,BRID,Military_Service,Bridge Dedicated to SGT Kendell K. Frederick United States Army,2017,"Dedicated to Untied States Army Sergeant Kendell K. Frederick, Randallstown native, who was killed in action in Tikrit, Iraq on October 19, 2005 while supporting Operation Iraqi Freedom.","https://www.google.com/maps/@39.4114142,-76.7900358,3a,75y,304.29h,72.9t/data=!3m6!1e1!3m4!1sJqrBH4GguLikDGFo7EIacQ!2e0!7i13312!8i6656",1d530820-aefa-4831-81a5-385635de3b97,https://bit.ly/2SrdUuA
