highway_name,route_no,from_location,to_location,source_url,source_note
The American Legion Memorial Highway,I 81,"Pennsylvania-New York State line, Binghamton, Syracuse, Watertown, Thousand Islands Bridge, Canada-U.S. border",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
AMVETS Memorial Highway,I 90,"Pennsylvania-New York State line, Dunkirk, Big Tree, Cheektowaga, Williamsville, Batavia, Syracuse, Oneida, Utica, Little Falls, Amsterdam, Schenectady, Albany, Lower Patroon Island, Massachusetts-New York State line",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Army Captain Clayton Carpenter Memorial Highway,NY 118,Yorktown,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Arthur Benson Memorial Highway,US 219,"Concord, Boston, Hamburg",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Assemblyman Glenn H. Harris Memorial Highway,NY 10,"Pine Lake, Arietta, Averys Place, Piseco Lake",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Assemblyman James D. Conte Memorial Highway,NY 110,Town of Huntington,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Assemblyman Philip B. Healey Memorial Parkway,Bethpage State Parkway,Oyster Bay (Long Island),,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Assemblyman Richard H. Miller Memorial Highway,NY 201,Johnson City,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Assemblyman Roger J. Robach Memorial Lakeway,NY 390,Greece,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Brigadier General James Kenney Memorial Highway,NY 7,the causeway over the Tomhannock Reservoir in the Town of Pittstown,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Brighton Veterans Memorial Highway,NY 15A,Brighton,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
The Bronx Veterans' Memorial Highway,Bronx River Parkway,"Bruckner Expressway, West Farms, Van Nest, Williams Bridge, Wakefield, Woodlawn, Westchester-Bronx County line",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
C. V. Whitney Memorial Highway,NY 50,Saratoga Springs,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Canadice Veterans Memorial Highway,NY 15A,Canadice,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Captain John J. Levulis Memorial Highway,NY 75,Eden,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Captain Timothy J. Moshier Memorial Highway,NY 140,Bethlehem,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Charles Varese Memorial Highway,NY 25A (Fort Salonga Road),Village of Northport,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Cattaraugus County Veterans Memorial Highway,I 86 (Southern Tier Expressway),"Chautauqua-Cattaraugus County line, Randolph, Cold Spring, Salamanca, Carrollton, Allegany, Olean, Hinsdale, Cattaraugus-Allegany County line",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Chautauqua County Veterans Memorial Highway,I 86,"Pennsylvania-New York State line, Sherman, Bemus Point, Falconer, Poland Center, Chautauqua-Cattaraugus County line",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Christopher J. Scott Memorial Highway,NY 14A,"Reading, Starkey and Village of Dundee",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
"Clayton ""Peg Leg"" Bates Memorial Highway",US 209,"Ellenville, Napanoch, Wawarsing, Kerhonkson, Accord, Marbletown, Hurley",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Col. David Ireland Memorial Highway,NY 435,Binghamton,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Col. George F. Chandler Drive,I 587,"(New York State Thruway Exit 19) Ulster, Kingston (Albany Avenue)",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
