highway_name,route_no,from_location,to_location,source_url,source_note
The Grand Army of the Republic Highway,U.S. Route 6,"The road known as United States route number six, extending across the northern portion of the state through the counties of Williams, Henry, Wood, Sandusky, Erie, Lorain, Cuyahoga, Lake, Geauga, and Ashtabula and through the municipal corporations of Bryan, Napoleon, Bowling Green, Fremont, Sandusky, Lorain, Cleveland, and Chardon shall be known as ""the Grand Army of the Republic highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.03,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
General McPherson Highway,U.S. Route 20,"The road known as United States route number twenty, extending across the northern portion of the state through the counties of Williams, Fulton, Lucas, Wood, Sandusky, Huron, Lorain, Cuyahoga, Lake, and Ashtabula and through and municipal corporations of Fremont, Norwalk, Elyria, Cleveland, Painesville, and Ashtabula shall be known as the ""General McPherson highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.04,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Lake to River Highway,Ohio Route 11,"The road known as Ohio route number eleven beginning at Ashtabula, Ohio, and running in a northerly and southerly direction through the counties of Ashtabula, Trumbull, Mahoning, and Columbiana to East Liverpool, shall be known as the ""Lake to River Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.28,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Marine Private Henry Kalinowski Memorial Highway,Ohio Route 11,"In addition to the designation contained in section 5533.28 of the Revised Code, that portion of the road known as state route eleven, located only within Ashtabula county and running in a northerly and southerly direction, shall be known as the ""Marine Private Henry Kalinowski Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.281,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
World War I Veterans Highway,U.S. Route 20,"The road known as United States route number twenty, commencing at the eastern-most boundary of the municipal corporation of Ashtabula and extending in a northeasterly direction to the western-most boundary of the municipal corporation of North Kingsville, shall be known as the ""World War I Veterans Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.783,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
"Sgt. Kurt D. Schamberg, Orwell Veterans Highway",U.S. Route 322,"That portion of the road known as United States route number three hundred twenty-two, located within the municipal corporation of Orwell in Ashtabula county only, shall be known as the ""Sgt. Kurt D. Schamberg, Orwell Veterans Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.97,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
World War II Veterans Memorial Highway,State Route 84,"The eastbound and westbound lanes of SR 84, between State Road and Blake Road, in Ashtabula County",,https://codes.ohio.gov/ohio-revised-code/section/5534.513,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
George Washington Highway,U.S. Route 50,"The highway known as United States route number fifty and alternate fifty, extending across the entire southern portion of the state through the counties of Washington, Athens, Vinton, Ross, Highland, Brown, Clermont, and Hamilton, and through the municipal corporations of Marietta, Belpre, Athens, Chillicothe, Hillsboro, and Cincinnati shall be known as the ""George Washington Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.1,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Marine Corps League memorial highway,U.S. Route 33,"That portion of the road known as United States route thirty-three beginning in Willshire, Ohio, and running in a southeasterly and northwesterly direction through the counties of Van Wert, Mercer, Auglaize, Logan, Union, Franklin, Fairfield, Hocking, Athens, and Meigs to the West Virginia border shall be known as the ""Marine Corps League Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.63,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
78th Ohio Veteran Volunteer Infantry Highway,State Route 78,"The road known as state route seventy-eight, in Monroe, Noble, Morgan, and Athens counties only, shall be known as the ""78th Ohio Veteran Volunteer Infantry Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.861,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
