route,memorial_status
US-287  AND COROUTE FOR 096C,
EMPIRE RD,
E US HIGHWAY 24,
9TH ST,
LA GARITA AVE,
DEE ST,
CO-140,
W HAPPY CANYON RD,
BASELINE RD,
N TOWNSEND AVE,
HIGH ST,
CO-90,
E RAINBOW BLVD,
EDWARDS ACCESS RD,
BUCKWHEAT RD,
052A,
E 8TH AVE,
HIGHWAY SIX,
S COMMERCIAL ST,
E US-34,
E 4TH ST,
N 107TH ST,
E 160TH AVE,
COUNTY ROAD 101,
CEDAR AVE,
US-36 HOV LN,
LANE 11 N,
PLATTE ST,
MANITOU AVE,
COLORADO RIVER HEADWATERS,
S 9TH ST,
WADSWORTH BYP,
CO-394,
ROAD 401,
W US-40,
ARAPAHOE AVE,
S DETROIT ST,
BRIGHTON BLVD,
N PARK AVE,
W MORRISON RD,
COUNTY ROAD 54,
DTD^_^AGATE AVE,
CMC RD,
I-25-SPUR,
GODDARD AVE,
10TH ST,
CO-30,
US-40/US-287,
FRONT ST,
W VICTORY WAY,
AVALANCHE CREEK RD,
CO-300,
CARSON AVE,
W US-36,
GATEWAY DR,
E COUNTY ROAD 14,
CO-55,
096C,
N 7TH ST,
S PINE DR,
5TH AVE,
S 1ST ST,
ROCKY MEADOWS TRAILER PARK,
N ASPEN RD,
W PUEBLO BLVD,
COLLOGIATE PEEKS SCENIC BYWAY,
CR-15,
N FOOTHILLS HWY,
W JEFFERSON AVE,
266A,
UTE HWY,
3100 RD,
COUNTY ROAD 110,
W 1ST AVE,
CEDAR ST,
E PARK AVE,
SILVER ST,
S CEDAR AVE,
E MARKET ST,
ARAPAHOE RD,
TENNIS CLUB RD,
RD 5S,
N INTEROCEAN AVE,
COUNTY ROAD 103D,
S 6TH ST AND COLORADO RIVER HEADWATERS BYWY,
13 RD,
US-24  AND COROUTE FOR 009A,
N 7TH ST AND MAIN ST,
CO-371,
CR-6,
CO-224,
085F,
W BASELINE RD,
W SOUTH 1ST ST,
CO-266,
160TH AVE,
S BROADWAY,
W ALAMEDA AVE,
S LINCOLN ST,
CO-176,
E TENNESSEE RD,
HIGHWAY 6 AND 50,
I-270,
8TH AVE,
S PLATTE CANYON RD,
N PERRY PARK RD,
N 8TH AVE,
N 95TH ST,
N GARFIELD AVE,
CO-2,
VASQUEZ BLVD,
W 120TH AVE AND FEDERAL BLVD,
I-25-BL,
E BRONTOSAURUS BLVD,
W 3RD ST,
LONGS PEAK DR,
S TIMBERLINE RD,
MCCASLIN BLVD,
US-350 ATCR-Y,
W RIVERVIEW AVE,
W PARK AVE,
ROBINSON AVE,
N LINCOLN AVE,
STATE AVE,
WARNER AVE,
UNIVERSITY STREET,
LEETSDALE DR,
CO-136,
ZEREX ST,
COLD SPRING DR,
S BRIDGE ST,
GOLD HILL RD,
7TH ST,
F RD,
COUNTY ROAD Y11,
MESA RIDGE PKY,
4TH AVE,
CO-58,
NORTHFIELD QUEBEC ST,
E JEFFERSON AVE,
N 2ND ST,
085C,
HWY 6 & 24,
I-70 FRONTAGE RD,
COUNTY ROAD 407E,
BEAR CREEK RD,
KIT CARSON TRL,
S GUN CLUB RD,
MAIN ST AND COROUTE FOR 285A,
W CIMARRON ST,
QUINTINE AVE,
WOLFENSBERGER RD,
E DENVER ST,
BLUE RIVER PKY AND 6TH STREET,
COUNTY ROAD 8 N,
COLORADO AVE,
E 8TH ST,
42ND ST SE,
COUNTY ROAD 1 N,
VASQUEZ BLVD AND CENTRAL AVE,
COUNTY ROAD 6N,
G RD,
S 12TH ST,
CO-7-BR,
STEELE ST,
W 1ST ST,
KEN PRATT BLVD,
KIOWA AVE,
S POWERS BLVD,
BACKACRES RD,
QUEBEC ST,
ATHEY AVE,
116A,
1575 RD,
BLUE RIVER PKY,
112A,
MORAINE AVE,
US-287 AND BERTHOUD BYPASS,
W 7TH ST,
N BENT AVE,
BLACK MOUNTAIN RD,
CR-10,Possible Memorial Designation
RIVER DR,
STEGOSAURUS FWY,
S SANTA FE AVE,
SHERIDAN BLVD TO W 80TH AVE,
CO-231,
ELDORADO SPRINGS DR,
LOBDELL RD,
W BELLEVIEW AVE,
CO-402,
HIGHWAY 97,
W GOFF AVE,
755 RD,
140A,
E BYERS AVE,
E EDISON ST,
YAMPA AVE,
LINCOLN ST,
COUNTY ROAD 116,
N COLLEGE AVE,
PALMER AVE,
CO-74,
N GRAND MESA DR,
E SOUTH 1ST ST,
S 2ND ST,
CO-116,
S KIPLING ST,
COUNTY ROAD 12,
E SANTA FE ST,
DENVER/BOULDER TURNPIKE AND COROUTE FOR 036B,
E 15TH ST,
W 8TH AVE,
