highway_name,route_no,from_location,to_location,source_url,source_note
Tri-County Purple Heart Memorial Highway,31,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Theodore J. Narozanick Highway,33,MP 24.32-31.49,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Chosin Few Memorial Highway,35,Monmouth County MP 14.50-45.37,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Little League World Champions Boulevard,37,MP 2.49-12.79,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Harding Highway,40,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Route 42 Purple Heart Memorial Highway,42,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
United Spanish War Veterans Memorial Highway,46,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Spec. 4 Clifford Jones Jr. Highway,46,MP 15.79-20.63,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Delsea Drive,47,MP 40.0-74.98,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Nello Melini Memorial Highway,47,,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
South Jersey Vietnam Veterans’ Highway,47,Glassboro MP 60.95-62.46,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Delsea Drive,49,MP 36.42-53.78,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Howard S. Stanton Memorial Causeway,52,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Veteran’s Memorial Highway,55,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Morris and Essex Turnpike,57,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Admiral John D. Bulkeley Memorial Highway,57,MP 12.67-20.53,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
