Name,Occupation,Race,Sex,Age
"RADM LeRoy Collins, Jr.",,,,
Gulf Coast,,,,
C.W. 'Bill' Young,,,,
C. Bette Wimbish,lawyer,,female,85.0
Senator Gerald S. ‘Jerry’ Rehm,,,,
Purple Heart,,,,
Albert W. Gilchrist,politician,,male,68.0
Babcock,,,,
Tom Adams,illustrator,,male,93.0
Frank,,,,
Goodlette,,,,
Judge S. S. Jolley,,,,
"Ted Smallwood, Sr.",,,,
S. Chesterfield Smith,politician,,male,
Mamie Langdale,,,,
Purple Heart,,,,
Harry Stringfellow,,,,
Matanzas Pass,,,,
McGregor,,,,
Michael G. Rippe,,,,
Anna Maria Island,,,,
H. E. Boyd,politician,,male,64.0
Longboat Key,,,,
Palma Sola,,,,
Southeastern Guide Dog,,,,
Trooper Jeffery Dale Young,,,,
American Legion,,,,
Bob Bentley,basketball player,,male,
Cecil M. Webb,,,,
Charlie Miner,,,,
Citrus,,,,
Claude Pepper,politician,,male,89.0
Coast to Coast,,,,
DeSoto,,,,
E. C. Rowell,politician,,male,78.0
Florida Cracker,,,,
Lawton Chiles,politician,,male,68.0
Martin,,,,
Paradise,,,,
Purple Heart,,,,
Ronald Reagan,television actor,white people,male,93.0
Swearingen,,,,
Thomas W. Bryant,,,,
Warfield,,,,
Billy Bowlegs III,,,male,103.0
General James A. Van Fleet,,,,
"George W. Harris, Jr.",,,,
Heather Hurd,,,,
James Henry Mills,military personnel,,male,50.0
John L. Robinson,politician,,male,47.0
L. H. Recker,,,,
Lisle W. Smith,,,,
Milton D. Wilson,,,,
W.S. Badcock,,,,
William P. Langdon,,,,
William R. Van Fleet,,,,
Circus,,,,
Colonel George Kumpe,,,,
Gil Waters,,,,
Trooper Claude Baker,,,,
Veteran's,,,,
The Honorable Dale G. Bennett,,,,
Historic Pine Castle Station,,,,
Reverend Kenneth C. Crossman,,,,
Harold Haynes,educator,,male,89.0
Deputy Jack A. Romeis,,,,
"Martin Luther King, Jr.",pastor,African Americans,male,39.0
Sid Martin,,,,
Veterans,,,,
Ben Rowe,racing automobile driver,,male,
Buddy Norman,,,,
Elgin Bayless,,,,
Tom Chastain,,,,
James C. Penney,,,,
S. D. 'Sam' Saunders,,,,
James A. Brewer,,,,
Lindler,,,,
"Captain Chad Allen Reed, Sr.",,,,
"Joe H. Anderson, Sr.",,,,
SP4 Thomas Berry Corbin,,,,
Stephen Foster,songwriter,,male,38.0
"U.S. Navy BMC Samuel Calhoun Chavous, Jr.",,,,
Angela Webb Hammonds,,,,
Arnolta J. Williams,,,,
Arthur N. Sollee,,,,
Barbara Van Blake,,,,
Benolken,,,,
Bernard Wilkes,,,,
Buckman,,,,
Busch,,,,
C. D. Kinsey,,,,
C. Ray Greene,,,,
Charles B. Dailey,,,,
Charles E. Bennett,classical philologist,,male,63.0
Dan Jones,basketball player,,male,
Don Davis,composer,,male,
Duval County Law Enforcement,,,,
Earl S. 'Coach' Kitchings,,,,
Ed Holt,,,,
Eddie Mae Steward,,,female,62.0
Flossie Brunson,,,,
Gainesville Short Route,,,,
George Matthews,,,male,96.0
"Hans G. Tanzler, Jr.",,,,
Isaiah D. Hart,,,,
"James E. 'Jim' King, Jr.",,,,
"James H. Argrett, Sr.",,,,
James Weldon Johnson,writer,African Americans,male,67.0
Jim Deaton,head coach,,male,
"John T. Alsop, Jr.",,,,
Johnnie Mae Chappell,,,female,35.0
Lawrence Callahan,military personnel,,male,83.0
Mandarin,,,,
Mary L. Austin Jones,,,,
Moses Baker,missionary,,male,67.0
Napoleon Bonaparte Broward,politician,,male,53.0
Robert 'Bullet Bob' Hayes,,,,
"Robert L. Brown, Sr.",,,,
Ronald W. Reagan,television actor,white people,male,93.0
Roy Willis,American football player,,male,
Sarah Hayes Rice,,,,
St. Elmo W. Acosta,,,male,72.0
Taye Brown,,,,
Tom Marshall,researcher,,male,
USS Stark,,,,
Wallace P. Covington,,,,
Whatley,,,,
Willie F. Faust,,,,
Sergeant Ricky Lord,,,,
Veterans,,,,
W. O. Cannon and D. W. McCollister,,,,
Brett Fulton,rugby league player,,male,
Josh Burch,,,,
R. Stanley Adams,,,,
Veterans,,,,
Woodpecker Route,,,,
Frank R. Norris,,,,
Fred P. Parker,,,,
Hal W. Adams,,,,
Sheriff Stanley H. Cannon,,,,
Forest Ranger Edward O. Peters,,,,
Marine Lance Corporal Brian R. Buesing,,,,
U.S. Army SPC James A. Page,,,,
United States Army Sergeant Karl A. Campbell,,,,
United States Army Specialist Brandon Tyler Thorsen,,,,
William R. Coulter,,,,
Raeburn C. Horne,politician,,male,66.0
Ray Charles,pianist,African Americans,male,74.0
Bill Pearce,politician,,male,74.0
Blue Springs,,,,
Browning Pearce,,,,
Charley E. Johns,,,,
Coach Jermaine D. Hall,,,,
Constitution,,,,
Correctional Officers,,,,
Dwight David Eisenhower,politician,,male,79.0
Ed Fraser,,,,
Florida Arts,,,,
Florida Sheriffs,,,,
Fred P. Parker,,,,
Hinely Parker,,,,
Lem Turner,,,,
Old Spanish,,,,
Pearl Harbor,,,,
POW‐MIA Blue Star,,,,
Purple Heart,,,,
Stephen Foster,songwriter,,male,38.0
Alexander G. 'Sandy' MacArthur,,,,
Herbert William 'Heimey' Fishler,,,,
MaVynne 'The Beach Lady' Betsch,,,,
"Thomas J. Shave, Jr.,",,,,
Trooper Charles W. Parks,,,,
Verna Bell,,,,
Frank Thomas McMeekin,,,,
Jerome A. Williams,,,,
John W. Campbell,editor,,male,61.0
Veterans,,,,
Alvin C. Shands,,,,
Claude Varn,,,,
F. Charles Usina,,,,
Francis and Mary Usina,,,,
Mickler‐O'Connell,,,,
Ron Parker,American football player,,male,
Rosco,,,,
Verle Allyn Pope,politician,,male,70.0
Byron Butler,,,,
"Deputy Victor J. 'Skip' MacDonald, Jr.",,,,
L. P. 'Pete' Gibson,,,,
Trooper Charles Eugene Campbell,,,,
Correction Officers,,,,
Deputy Hal P. Croft,,,,
Deputy Ronald Jackson,,,,
Deputy Renee Danell Azure,,,,
G. Fred Andrews,,,,
B. V. Buchanan,,,,
Charles M. Parker,,,,
DuPont,,,,
Hathaway,,,,
Hutchison,,,,
K. Earl Durden,,,,
"Lieutenant Colonel Carl John Luksic, USAF,",,,,
Lynn Haven,,,,
Panama City Beach,,,,
C. D. Clark,earth scientist,,male,
Fuller Warren,politician,,male,68.0
Fuller Warren,politician,,male,68.0
Trammell,,,,
Bayou Chico,,,,
Blue Angel,,,,
Creola Rutledge,,,,
Don Sutton,baseball player,,male,76.0
Dr. Phillip A. Payne,,,,
"F. M. (Son) Turner, Jr.",,,,
Gandyville,,,,
Gulf Gateway,,,,
J. McHenry Jones,,,,
Joyce Webb Nobles,,,,
Perdido Key,,,,
Reubin O'Donovan Askew,politician,,male,86.0
Robert L. F. Sikes,politician,,male,88.0
The David Bogan,,,,
Bryant Grady Patton,,,,
Camp Gordon Johnston Mem,,,,
E. N. Walker,,,,
Patton,,,,
R. L. Moore,mathematician,,male,92.0
Tillie Miller,midwife,,female,67.0
"Alfred Lawson, Jr.,",,,,
C. Fred and Marvin Arrington,,,,
