Name,Occupation,Race,Sex,Age
Ivey Edward Cannon,,,,
James L. Redman,politician,,male,
Jim Holmes,association football player,,male,
Lee Roy Selmon,American football player,,male,57.0
Licata,,,,
Officer Jeffery A. Kocab,,,,
David L. Curtis,politician,,male,
Pepin,,,,
Stevie LaDue Giving Hope,,,,
Sun City Center,,,,
Trooper Kenneth E. Flynt,,,,
Veterans,,,,
W. Howard Frankland,businessperson,,male,79.0
W. T. Williams,statistician,,male,82.0
Deputy John C. Mecklenburg,,,,
Nature Coast,,,,
Paul S. Buchman,,,,
Agent John Van Waters,,,,
Captain Charles 'Bo' Harrison,,,,
Constable Arthur Fleece Crenshaw,,,,
Darce Taylor Crist,,,,
Darce Taylor Crist,,,,
Father Felix Ullrich,,,,
John Van Waters,economist,,male,80.0
Purple Heart,,,,
Schrader,,,,
State Trooper James Crooks,,,,
Bob Graham/Sunshine Skyway,,,,
Command Sergeant Major Gary Lee Littrell,,,,
Corey,,,,
Dr. Edward Cole,,,,
Eisenhower,,,,
Madeira Beach Causeway and Madeira Beach,,,,
"Officer Charles 'Charlie K' Kondek, Jr.,",,,,
P.E. 'Gene' Carpenter,,,,
Sgt. Thomas J. Baitinger,,,,
Officer Jeffrey A. Yaslowitz,,,,
Officer David S. Crawford,,,,
St. Petersburg/William C. Cramer,,,,
Tom Stuart,actor,,male,
"William Ennels Dean, Jr.,",,,,
Barkett,,,,
Nick Capitano,,,,
Officer Jesse Madsen,,,,
Sergeant Brian LaVigne,,,,
Deputy Michael J. Magli,,,,
"Dr. Martin Luther King, Jr.",pastor,African Americans,male,39.0
"Sgt. George Lee Taylor, Sr.",,,,
Pio Ieraci,,,,
Veterans Honor,,,,
Warren Alvarez,,,,
Pensacola Police Fallen Heroes,,,,
Staff Sergeant Keon Clyde Sands,,,,
Maximino Capdevila,,,,
Virginia Creighton,,,,
Sergeant First Class Michael C. Aten,,,,
Coach Guy Thomas,,,,
98 Points of Light,,,,
Anthony Reznik,,,,
Arturo Diaz Artiles Plaza,,,,
Bellas Artes,,,,
Oswaldo Payá,politician,,male,60.0
Soul of Miami,,,,
Cheryl H. Cates,,,,
Purple Heart,,,,
Austin D. Gayne,,,,
Deputy Sheriff Donta Manuel,,,,
Deputy Sheriff Jonathan Wallace,,,,
Ira Mae Wells-Bruce,,,,
"Reverend Murray Hamilton, Sr.",,,,
Private Tillman R. Clark,,,,
"Deputy William Gentry, Jr.",,,,
Michael Moskowitz,,,male,
United Spanish War Veterans,,,,
General Bill Lundy,,,,
P. J. Langford,,,,
Nott Circle Roundabout,,,,
First Coast,,,,
Georgia‐Florida Military,,,,
Hays Lewis,,,,
Backwood,,,,
Buccaneer,,,,
Pierce Snowden,,,,
Marjorie Merriweather Post,socialite,,female,86.0
Old Cutler Road State,,,,
Atlantic Beach,,,,
Kenneth C. Mock,,,,
Peninsular Key,,,,
George Crady,politician,,male,
Chase Coyner,,,,
Matthew Powers,researcher,,,
Deputy Sheriff Morris Fish,,,,
Christa McAuliffe,astronaut,,female,38.0
Deputy Sheriff Barbara Ann Pill,,,,
Kyle Lee Patterson,,,,
Archbishop Edward A. McCarthy High School,,,,
Coach Gwendolyn Maxwell Bridge to Ribault,,,,
Officer Christopher Michael Kane,,,,
Officer Scott Eric Bell,,,,
"Lewis Bear, Jr.,",,,,
Senior Inspector Rita Jane Hall,,,,
Mama Elsa,,,,
Deputy Sheriff Eugene 'Stetson' Gregory,,,,
SSgt. Carl Philippe Enis,,,,
Corporal James McWhorter,,,,
Officer Kevin Valencia,,,,
Lois D. Martin,,,female,
Deputy Sheriff Michael Hartwick,,,,
SPC Zachary L. Shannon,,,,
Sgt. Maj. Thomas Richard ‘Ric’ Landreth,,,,
Michael Scott Williams,,,,
Rush Limbaugh,radio personality,,male,70.0
