GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,StateFIPS,CountyFIPS
12081,"Manatee County, Florida",49.4,75792,359800,7.4,3.2,5.4,1.9,82.1,68.4,7.8,1.2,34.3,91.0,5.1,10.4,12,081
12083,"Marion County, Florida",48.2,58535,220800,2.5,7.3,4.2,1.9,84.1,66.8,12.2,1.4,22.4,89.6,5.2,14.6,12,083
12085,"Martin County, Florida",53.2,80701,386500,3.8,2.3,7.5,1.8,84.6,75.5,4.9,1.3,36.6,92.7,4.5,11.4,12,085
12086,"Miami-Dade County, Florida",40.8,68694,425400,2.2,3.2,28.3,35.0,31.2,12.9,14.6,0.6,33.2,83.1,4.4,14.9,12,086
12087,"Monroe County, Florida",48.9,82430,723800,1.9,1.5,7.2,13.4,76.0,64.8,6.7,1.0,37.8,93.3,3.2,10.4,12,087
12089,"Nassau County, Florida",46.3,88900,351100,1.9,0.9,2.0,0.6,94.7,84.3,5.5,1.0,34.5,92.3,4.0,9.2,12,089
12091,"Okaloosa County, Florida",37.3,79097,324800,3.7,1.8,4.9,0.4,89.2,70.1,9.2,1.9,34.2,93.4,3.1,9.3,12,091
12093,"Okeechobee County, Florida",40.7,52288,179000,18.5,1.4,3.7,2.0,74.5,62.7,7.7,1.6,16.1,80.0,6.0,19.0,12,093
12095,"Orange County, Florida",36.4,77011,358300,3.0,13.9,13.6,2.7,66.8,36.8,19.3,1.3,38.4,90.0,5.5,13.0,12,095
12097,"Osceola County, Florida",37.0,68711,317600,2.2,27.8,22.0,3.0,45.0,28.5,9.6,1.3,28.3,88.6,5.2,12.5,12,097
12099,"Palm Beach County, Florida",45.4,81115,407300,3.6,3.5,12.4,4.3,76.2,50.8,18.0,1.0,39.6,89.1,5.4,11.1,12,099
12101,"Pasco County, Florida",43.7,67384,265800,2.8,6.2,6.2,2.5,82.3,69.3,5.8,1.3,28.0,91.2,4.9,11.1,12,101
12103,"Pinellas County, Florida",48.9,70293,319000,2.5,2.8,3.8,1.8,89.1,71.6,9.5,1.1,35.8,92.6,4.6,11.4,12,103
12105,"Polk County, Florida",39.6,63644,240000,7.3,11.7,6.5,2.1,72.3,52.6,14.2,1.3,22.6,87.5,4.4,14.7,12,105
12107,"Putnam County, Florida",45.0,47256,147300,5.9,2.8,1.2,1.0,89.1,70.0,15.1,1.3,14.1,82.2,7.1,23.9,12,107
12113,"Santa Rosa County, Florida",40.0,88968,302100,2.6,1.4,1.9,0.6,93.4,79.1,5.5,2.1,31.0,92.6,4.5,8.4,12,113
12115,"Sarasota County, Florida",57.3,80633,373100,2.9,1.8,3.7,1.9,89.8,80.6,4.0,0.9,39.7,94.4,3.7,8.2,12,115
12117,"Seminole County, Florida",39.8,83030,357300,2.1,9.5,9.2,2.4,76.8,56.1,11.1,1.2,42.4,93.9,4.1,9.2,12,117
12109,"St. Johns County, Florida",44.0,106169,457600,1.2,2.2,4.1,1.2,91.3,78.6,4.9,0.8,48.6,95.1,3.9,6.7,12,109
12111,"St. Lucie County, Florida",45.3,69027,305800,4.4,5.6,8.3,2.8,78.9,52.6,20.1,1.1,25.4,88.6,5.8,11.6,12,111
12119,"Sumter County, Florida",68.4,73297,356000,2.1,1.2,2.1,0.7,93.9,84.1,6.7,0.7,35.1,93.2,5.7,9.1,12,119
12121,"Suwannee County, Florida",42.5,55479,160900,3.1,1.3,5.0,1.9,88.7,73.3,9.8,2.1,16.4,84.5,5.7,14.2,12,121
12123,"Taylor County, Florida",43.8,44985,100200,1.0,1.0,1.2,0.9,95.9,72.0,19.7,1.4,15.1,86.2,5.1,17.3,12,123
12125,"Union County, Florida",40.1,64922,160400,0.8,2.1,1.0,1.3,94.9,71.3,16.0,5.3,10.0,78.3,3.3,18.7,12,125
12127,"Volusia County, Florida",46.6,66581,278000,3.0,7.2,4.2,1.2,84.3,68.6,10.3,1.0,27.2,91.9,4.0,12.2,12,127
12129,"Wakulla County, Florida",42.5,74183,216300,1.0,1.2,2.2,0.2,95.3,76.9,13.9,1.6,21.3,87.5,3.1,5.6,12,129
12131,"Walton County, Florida",43.8,79281,376400,3.9,1.0,2.3,1.0,91.8,81.5,3.8,3.2,34.2,91.4,5.2,11.4,12,131
12133,"Washington County, Florida",41.6,52723,156000,1.2,0.6,1.0,1.1,96.1,76.9,13.5,2.1,12.5,83.1,4.0,18.9,12,133
