highway_name,route_no,district,how_named,from_location,to_location,commemorative_keyword,person_named,keep,name_norm
Firefighter Steven Rucker Memorial Highway,79,11,"SCR 53, CH 114, 2004",Engineers Road in Cuyamaca,Route 78 in Santa Ysabel,True,True,True,firefighter steven rucker memorial highway
Deputy Sheriff Robert Rumfelt Memorial Highway,29,1,"SCR 92, CH 116 2018",Junction of State Route 175 (Postmile R40.144),11th Street UC 14-38 (Postmile R42.677),True,True,True,deputy sheriff robert rumfelt memorial highway
William Byron Rumford Freeway,24,4,"ACR 137, CH 92, 1980",I-580 in Oakland,Caldecott Tunnel,False,True,True,william byron rumford freeway
Senator Sharon Runner Memorial Highway,14,7,"ACR 138, CH 160, 2016",“K” Avenue UC #53-2381RT (PM R66.730) ,“H” Avenue OC #53-1862 (PM R69.991),True,True,True,senator sharon runner memorial highway
CHP Officer Douglas “Scott” Russell Memorial Freeway,50,3,"SCR 100, CH 70, 2010",eastbound Post-mile 08.533,"westbound Post-mile
08.598",True,True,True,chp officer douglas scott russell memorial freeway
Sergeant Daniel Sakai Memorial Highway,580,4,"ACR 79, CH 111, 2009",Strobridge Avenue,East Castro Valley Boulevard,True,True,True,sergeant daniel sakai memorial highway
Ruben Salazar Memorial Freeway,710,7,"SCR 46, CH 78, 2005",Route 60,East Cesar Chavez Avenue,True,True,True,ruben salazar memorial freeway
Roberto “Bobby” Salcedo Memorial Highway,60,7,"ACR 174, CH 144, 2010",Atlantic Boulevard in the City of Monterey Park,"city limit of the City of
Rosemead",True,True,True,roberto bobby salcedo memorial highway
Officer Samuel Sanchez Memorial Highway,166,5,"SCR 12, CH 106, 2015",SIMAS ROAD - PM 0.892,BONITA SCHOOL ROAD - PM 3.745,True,True,True,officer samuel sanchez memorial highway
United States Army Sgt. Javier Sanchez Memorial Highway,101,5,"SCR 57, CH 21 2018",Approx. Espinosa Road (PM 52.210),Hudson Road (PM 55.940),True,False,True,united states army sgt javier sanchez memorial highway
Correctional Officer Jesus “Jesse” Sanchez Memorial Highway,83,7,"SCR 83, CH 122, 2010",State Highway Route 60,Kimball Avenue,True,True,True,correctional officer jesus jesse sanchez memorial highway
Sig Sanchez Highway,101,4,"SCR 46, CH 71, 1994",Morgan Hill Bypass,,False,True,True,sig sanchez highway
CHP Officer Joseph P. Sanders Memorial Highway,60,7,"ACR 94, CH 116, 2009",Hacienda Boulevard (Post Mile 15.96),Nogales Street (Post Mile 20.44),True,True,True,chp officer joseph p sanders memorial highway
"Detective Gerald ""Blackie"" Sawyer Memorial Highway",39,12,"ACR 16, CH 68, 2013",12-ORA-039 STAGE ROAD PM 16.130,12-LA-039 HILLSBOROUGH DRIVE PM approx. D18.3,True,True,True,detective gerald blackie sawyer memorial highway
CDF Firefighter Eva Marie Schicke Memorial Highway,120,10,"ACR 156, CH 166, 2008",Rim of the World Vista,Mariposa/Tuolumne County Line,True,True,True,cdf firefighter eva marie schicke memorial highway
James D. Schultz Memorial Freeway,8,11,"SCR 21, CH 87, 2007",Brock Research Center Road,Gordons Well,True,True,True,james d schultz memorial freeway
"CHP Officer James J. Schumacher, Jr., Memorial Highway",99,10,"ACR 111, CH 32, 2002",Athlone Road,Worden Avenue,True,True,True,chp officer james j schumacher jr memorial highway
Humboldt County Sheriff’s Office Corporal Rich Schlesiger Memorial Highway,101,1,"ACR 43, CH 131, 2017",Posmile Marker 64.500 near Ferndale Exit,Posmile Marker 68.000 near Hookton Road),True,False,True,humboldt county sheriffs office corporal rich schlesiger memorial highway
CHP Officer Earl Scott Memorial Highway,99,10,"SCR 120, CH 130, 2010",Pelandale Avenue,Route 219,True,True,True,chp officer earl scott memorial highway
Officer Tommy Scott Memorial Highway,405,7,"SCR 39, CH 54, 2022",Imperial Highway UC# 53-1241 (PM R21.222),West Century Boulevard UC# 53-1243 (PM 22.216),True,True,True,officer tommy scott memorial highway
California Highway Patrol Officer Earl Scott Memorial Highway,219,10,"ACR 31, CH 47, 2011",JCT 99 - PM 0.116,JCT 108. END OF ROUTE - PM 4.858,True,False,True,california highway patrol officer earl scott memorial highway
Screaming Eagles Highway,101,7,"ACR 54, CH 85, 2003",Los Angeles/Ventura County Line,Ventura/Santa Barbara County Line,False,True,True,screaming eagles highway
Officer Loren D. Scruggs Memorial Highway,101,5,"SCR 57, CH 38, 2008",Santa Maria Way,South edge of the Santa Maria River Bridge,True,True,True,officer loren d scruggs memorial highway
Ranger Patricia M. Scully Memorial Highway,1,4,"SCR 102, CH 120, 2012",JCT 84 E. SAN GREGORIO - PM 18.189,VERDE-LOBITOS CR RDS RT - PM 22.662,True,True,True,ranger patricia m scully memorial highway
Eric Seastrand Memorial Highway,46,5,"ACR 22, CH 75, 1993",Route 1 near Cambria,Route 101 near Paso Robles,True,True,True,eric seastrand memorial highway
Tom Seaver Memorial Highway,41,6,"ACR 52, CH 136, 2021",E. Jensen Avenue OC# 42-268 (PM R21.113),South Fresno Viaduct# 42-226 (PM R22.107),True,True,True,tom seaver memorial highway
Junipero Serra Freeway,280,4,"ACR 140, CH 208, 1967",Route 17 in Santa Clara County,Route 1 in San Francisco,False,True,True,junipero serra freeway
Nathan Shapell Memorial Highway,405,7,"ACR 73, CH 148, 2007",Howard Hughes Parkway,Mulholland Drive,True,True,True,nathan shapell memorial highway
"Kings County Deputy Sheriff Allen
Thomas Sharra Memorial Highway",41,6,"ACR 38, CH 106, 2019",Lincoln Avenue (PM 32.420),Lansing Avenue (PM 33.590),True,False,True,kings county deputy sheriff allen thomas sharra memorial highway
Shawn Baker Memorial Highway,5,2,"SCR 53, CH 4, 2014",PM R35.700,PM R39.500,True,True,True,shawn baker memorial highway
"CHP Officer Ambers O. ""Sonny"" Shewmaker Memorial Highway",10,8,"ACR 100, CH 109, 2012",Main Street - PM R19.398,Verbenia Avenue OC# 56-530- PM R24.554,True,True,True,chp officer ambers o sonny shewmaker memorial highway
Army Specialist Eduardo Silva Memorial Highway,101,5,"ACR 201, CH 165, 2022",Kenny Road (PM 50.285),Underwood Road (PM 51.060),True,True,True,army specialist eduardo silva memorial highway
Corporal Ronil Singh Memorial Highway,33,10,"ACR 128, CH 42, 2020",Sanches Road (Postmile 29.730) ,Stuhr Road (Postmile 2.060),True,True,True,corporal ronil singh memorial highway
Skyway Freeway (Unconstructed),170,7,"ACR 109, CH 26, 1974",LA International Airport,Route 90,False,True,True,skyway freeway unconstructed
Matthew “SLOStringer” Frank Memorial Highway,101,5,"ACR 103, CH 169, 2018",Spyglass / Shell Beach Drive UC# 49-189 (PM R19.812),Avila Beach Drive UC# 49-191 (PM R21.105),True,True,True,matthew slostringer frank memorial highway
"Detective Sergeant Thomas A. Smith, Jr. Memorial Highway",680,4,"ACR 22, CH 127, 2017",Bollinger Canyon Road OC# 28-224 (PM R2.885) ,Crow Canyon Road OC# 28-206 (PM R4.182),True,True,True,detective sergeant thomas a smith jr memorial highway
CHP Officer Charles T. Smith Memorial Highway,5,3,"ACR 75, CH 113, 2011",County Road 25 - PM R21.824,State Highway 32 - PM R25.529,True,True,True,chp officer charles t smith memorial highway
Caltrans Leadworker Gary Wayne Smith Memorial Highway,99,3,"SCR 52, CH 94, 2011",Postmile Marker 03-BUT-099-38.790,Postmile Marker 11-BUT-099-44.320,True,False,True,caltrans leadworker gary wayne smith memorial highway
CHP Officer William P. Sniffen Memorial Highway,880,4,"ACR 100, CH 109, 2012",23rd Avenue OC# 33.139 - PM 28.934,16th Avenue OC# 33-137 - PM 29.692,True,True,True,chp officer william p sniffen memorial highway
Mayor Jack Snyder Memorial Highway,120,10,"ACR 138, CH 128, 2022","Wyche OH 
End of Bridge# 29-272RT (PM R1.845)",Moffat Blvd. OH End of Bridge# 29-278RT (PM R6.431),True,True,True,mayor jack snyder memorial highway
Sonoma County Veterans Memorial Highway,101,4,"SCR 70, CH 102, 1998",Marin/Sonoma County Line,Healdsburg at the Bill Lucius Highway,True,False,True,sonoma county veterans memorial highway
Deputy Sheriff Stephen Sorensen Memorial Highway,138,7,"ACR 135, CH 42, 2004",136th Street,195th Street,True,True,True,deputy sheriff stephen sorensen memorial highway
CHP Officer Charles “Chuck” Sorenson Memorial Highway,12,3,"SCR 100, CH 109, 2012",5 MILES WEST FROM BRANNAN ISLAND ROAD PM 0.845,BRANNAN ISLAND RD LT PM 5.845,True,True,True,chp officer charles chuck sorenson memorial highway
Southern California Native American Freeway,210,"7, 8","AB 776, CH 543, 2023",JCT 5. 210/5 BR# 53-1985 (R0.000),JCT10. RT LNS END RTE 210 (PM R33.180),False,True,True,southern california native american freeway
Stan Statham Memorial Highway,44,2,"SCR 97, CH 178, 2022",Postmile R7.700,Postmile R9.000,True,True,True,stan statham memorial highway
Officer Richard T. Steed Memorial Highway,5,12,"ACR 35, CH 73, 2011",Avenida San Luis Rey OC #55-151 - PM 0.647,Camino De Estrella OC #55-224 - PM 5.801,True,True,True,officer richard t steed memorial highway
CHP Officer Thomas J. Steiner Memorial Highway,60,7,"SCR 20, CH 2, 2006",Phillips Ranch Road,Reservoir Street,True,True,True,chp officer thomas j steiner memorial highway
"Stephen Palmer, Sr., Memorial Highway",94,11,"SCR 38, CH 3, 2014",OLD CAMPO ROAD - PM R16.480,MELODY ROAD - PM 20.662,True,True,True,stephen palmer sr memorial highway
"CHP Officer Andrew ""Andy"" Stevens Memorial Highway",16,3,"ACR 141, CH 137, 2008",I-505,County Road 98,True,True,True,chp officer andrew andy stevens memorial highway
Jeffey Stevenson Memorial Bike Path,101,4,"SCR 27, CH 63, 2021",Miller Creek Road OC#27-82 (PM 15.570),Pacheco Creek OC# 27-84 (PM 16.641),True,False,True,jeffey stevenson memorial bike path
"CHP Officer Larry L. Wetterling and San Bernardino County Sheriff’s Lieutenant Alfred E.
Stewart Memorial Highway",15,8,"ACR 127, CH 110, 2010",Route 138,Oak Hill Road,True,False,True,chp officer larry l wetterling and san bernardino county sheriffs lieutenant alfred e stewart memorial highway
Stone Turnpike Memorial Freeway,5,2,"ACR 94, CH 98, 1994",Pit River Bridge,Shasta/Siskiyou County Line,True,False,True,stone turnpike memorial freeway
California Highway Patrol Officer Franke A. Story Memorial Highway,86,11,"ACR 57, CH 73, 1996",City of Imperial,City of Brawley,True,False,True,california highway patrol officer franke a story memorial highway
Officer Ryan Stringer Memorial Highway,10,7,"ACR 100, CH 109, 2012",South Marguerita Ave. - PM 23.117,South Almansor Street - PM 24.315,True,True,True,officer ryan stringer memorial highway
Vernon L. Sturgeon Memorial Highway,101,5,"SCR 72, CH 96, 2006",Spring Street in Paso Robles,Santa Barbara Road in Atascadero,True,True,True,vernon l sturgeon memorial highway
Jack Tanaka Memorial Highway,60,7,"SCR 11, CH 118, 2019",Lemon Avenue UC# 53-1787 (Postmile R22.377),Golden Spring Drive UC# 53-2079 (Postmile R26.526),True,True,True,jack tanaka memorial highway
Stephen P. Teale Highway,26,10,"SCR 43, CH 106, 1997",Mokelumne Hill,West Point,False,True,True,stephen p teale highway
Deputy Sheriff Erik Jon Telen Memorial Highway,168,6,"SCR 43, CH 70, 2002",Herndon Avenue,Temperance Avenue,True,True,True,deputy sheriff erik jon telen memorial highway
Frederick E. Terman Memorial Highway,101,4,"SCR 30, CH 110, 2015",SHORELINE BOULEVARD OC#37-153 - PM 48.596,COUNTY LINE OF SANTA CLARA AND SAN MATEO - PM 52.550,True,True,True,frederick e terman memorial highway
Riverside County Deputy Sheriff Eric Andrew Thach Memorial Freeway,215,8,"SCR 92, CH 134, 2000",Murrieta Hot Springs Road,McCall Boulevard,True,False,True,riverside county deputy sheriff eric andrew thach memorial freeway
Mayor James Thalman and Mayor Michael Wickman Memorial Highway,71,8,"SCR 52, CH 26, 2006",Soquel Canyon/Central Avenue,Pine Avenue,True,True,True,mayor james thalman and mayor michael wickman memorial highway
Lt. Colonel Nguyen Thi Hanh Nhon's Disabled Veterans Memorial Highway,405,12,"SCR 60, CH 178, 2017",Brookhurst Street OC# 55-402 (PM 13.780),"Magnolia Street OC# 55-264 (PM 15.210),",True,False,True,lt colonel nguyen thi hanh nhons disabled veterans memorial highway
Everett and Louella Thomas Memorial Highway,101,1,"SCR 69, CH 120, 2004",Patrick's Point undercrossing,Four miles north of that undercrossing near Big Lagoon,True,True,True,everett and louella thomas memorial highway
Robert “Bob” Thompson Memorial Highway,299,2,"ACR 202, CH 151 2018",(Postmile 83.030),(Postmile 84.000),True,True,True,robert bob thompson memorial highway
Deputy James Throne Memorial Highway,184,6,"ACR 48, CH 80, 2009",Route 223,Route 178,True,True,True,deputy james throne memorial highway
United States Navy Lientenant Commander Otis Vincent Tolbert Memorial Highway,198,6,"SCR 35, CH 51, 2004",25th Avenue near Lemoore Naval Air Station,18th Avenue near Lemoore High School,True,False,True,united states navy lientenant commander otis vincent tolbert memorial highway
Tuolumne County Vietnam Veterans Memorial Highway,108,10,"ACR 17, CH 89, 2003",Stanislaus/Tuolumne County Line,Tuolumne/Mono County Line,True,False,True,tuolumne county vietnam veterans memorial highway
CHP Officer Alfred R. Turner Memorial Highway,5,10,"SCR 80, CH 97, 1998",Route 165,Route 152,True,True,True,chp officer alfred r turner memorial highway
Tuskegee Airmen Memorial Highway,80,4,"SCR 45, CH 92, 2013",E. JCT RTE 12 SEP# 23-0199F - PM 15.815,MIDWAY ROAD OC# 23-148 - PM 32.622,True,False,True,tuskegee airmen memorial highway
Tuskegee Airmen Highway,15,11,"SCR 90, CH 104, 2012",Miramar Road - PM M14.285,Mercy Road - PM M17.311,True,False,True,tuskegee airmen highway
