_id,highway_name,route_no,district,how_named,from_location,to_location,commemorative_keyword,person_named,keep,flag_reason
179,Great Sierra Wagon Road,120,9,"AB 302, CH 306, 1915",East Boundary of Yosemite National Park,Route 395,False,False,False,no commemorative keyword or person-name heuristic match
183,Grove-Shafter Freeway,980,4,"By Location, mentioned in ACR 116, CH 233, 1961",I-880,I-580,False,False,False,no commemorative keyword or person-name heuristic match
189,Happy Trails Highway,18,7,"ACR 82, CH 80, 1992",Apple Valley Eastern City Limit,Apple Valley Western City Limit,False,False,False,no commemorative keyword or person-name heuristic match
190,Harbor Freeway,110,7,By Location,San Pedro,Route 101,False,False,False,no commemorative keyword or person-name heuristic match
195,Hawthorne Freeway,107,7,By Location,Route 1,I-405,False,False,False,no commemorative keyword or person-name heuristic match
203,Historic Highway Route 67 ,67,11,"SCR 56, CH 177, 2017",Junction Route 8 (PM R0.000),Junction Route 78 (PM R24.377),False,False,False,no commemorative keyword or person-name heuristic match
204,Historic Highway Route 79,79,"8, 11","SCR 147, CH 181, 2016",Junction Of Interstate 8 11-SD-79-(PM L0.044),08-RIV-79-(PM 15.740),False,False,False,no commemorative keyword or person-name heuristic match
205,Historic Alternate U.S. Highway Route 40,40,"3, 2","SCR 66, CH 51, 2006",City of Davis on Route 113,Hallelujah Junction on Route 395,False,False,False,no commemorative keyword or person-name heuristic match
206,Historic Highway Route 66,66,"7, 8","ACR 6, CH 52, 1991",Santa Monica,Arizona State Line,False,False,False,no commemorative keyword or person-name heuristic match
207,Historic U.S. Highway 395,395,"11, 8","ACR 98, CH 79, 2008",San Diego,Hesperia,False,False,False,no commemorative keyword or person-name heuristic match
208,Historic U.S. Highway 99,99,"11, 8, 7, 6, 10, 3, 2","ACR 19, CH 73, 1993",Mexico International Border,Oregon State Line,False,False,False,no commemorative keyword or person-name heuristic match
209,Historic U.S. Highway Route 6,6,"7, 6, 9","ACR 26, CH 67, 2007",Long Beach,Nevada State Line,False,False,False,no commemorative keyword or person-name heuristic match
210,Historic U.S. Highway Route 40,40,"4, 3","ACR 180, CH 161, 1998",San Francisco,Nevada State Line,False,False,False,no commemorative keyword or person-name heuristic match
211,Historic U.S. Highway Route 80,80,11,"ACR 123, CH 104, 2006",San Diego Bay,Colorado River ,False,False,False,no commemorative keyword or person-name heuristic match
212,Historic U.S. Highway Route 101,101,"11, 12, 7, 5, 4, 1","ACR 92, CH 150, 1998",Mexican Border,Oregon State Line,False,False,False,no commemorative keyword or person-name heuristic match
