_id,highway_name,route_no,district,how_named,from_location,to_location,commemorative_keyword,person_named,keep
19,North-South Blue Star Memorial Highway ,"111, 86, 10, 5, 99, 65, 5","2, 3, 6, 7, 8, 10, 11","SCR 33, CH 82, 1947",Mexico International Border at Calexico,Oregon State Line at Hilt,True,True,True
2,10th Mountain Division Memorial Highway,89,3,"SCR 43, CH 106, 1997",Tahoe City,City of Truckee,True,False,True
3,100th Infantry Battalion Memorial Highway,99,6,"ACR 62, CH 115, 1994",City of Fresno,City of Madera,True,False,True
4,442nd Regimental Combat Team Memorial Highway,99,10,"ACR 62, CH 115, 1994","Salida, northwest of Modesto",City of Manteca,True,False,True
5,Katcho Achadjian Memorial Highway,101,5,"SCR 31, CH 137, 2023","JCT RTE 227, N. SEP# 49-176 (PM 13.173)",JCT RTE 1 EB# 49-184 (PM 17.767),True,True,True
6,CHP Officer Thomas R. Adams Memorial Highway,101,1,"ACR 76, CH 114, 2011",State Highway 271 - PM R101.895,S Fork Eel River #10-218 - PM R106.574,True,True,True
8,"Ventura County Deputy Sheriff Peter Aguirre, Jr. Memorial Highway",33,7,"ACR 142, CH 83, 2016",East junction of Route 33/150 at (PM 11.210) ,La Luna Avenue / Fairview Road (PM 12.800),True,False,True
11,America’s Heroes-Veterans Memorial Highway,49,10,"ACR 165, CH 125, 2016",Valley View Way (PM R7.298),Amador Creek BB #26-0043 (PM R10.576),True,False,True
12,Glenn Anderson Freeway,105,7,"SCR 34, CH 83, 1987",Route 1,I-605,False,True,True
14,Signal Hill Police Officer Anthony “Tony” Giniewicz Memorial Highway,405,7,"SCR 84, CH 89, 2014",Cherry Avenue South OC# 53-1200 - PM 4.879,Atlantic Avenue OC# 53-1204 - PM 6.076,True,False,True
15,Jimmy A. Arevalo Memorial Highway,8,11,"ACR 51, CH 65, 2013",11-SD-8 PM R27.30,11-SD-8 PM R28.46,True,True,True
16,"CHP Officer John ""Jack"" Armatoski Memorial Highway",40,8,"ACR 100, CH 109, 2012",West Park Road OC# 54-702 - PM R139.117,Needles Overhead OH# 54-813 R/L - PM R141.972,True,True,True
17,Armed Forces Freeway,215,8,"ACR 22, CH 106, 2007",Ramona Expressway,Route 60,True,True,True
22,Jeffrey Lynn Azuar Memorial Highway,80,4,"SCR 85, CH 155, 2000",The Carquinez Bridge,Columbus Parkway,True,True,True
23,William T. Bagley Freeway,101,4,"SCR 46, CH 111, 1987",Waldo Tunnel in Sausalito,I-580 in San Rafael,False,True,True
24,Esteban Bahena Memorial Highway,63,11,"SCR 122, CH 132, 2010",Washington Street,Route 8,True,True,True
25,CHP Officer John Bailey Memorial Freeway,15,8,"SCR 119, CH 113, 2008",I-10,I-210,True,True,True
26,California Corrections Youth Authority Counselor Ineasie M. Baker Memorial Freeway,60,8,"ACR 63, CH 115, 2005",South Milliken Avenue,South Euclid Avenue,True,False,True
28,"Bakersfield, Maricopa and Ventura Highway","33, 119","5, 6, 7","CH 610, 1913",Ventura,Bakersfield,False,True,True
29,Deputy Sheriff Scott Ballantyne and Sheriff Pilot James Chavez Memorial Highway,190,6,"ACR 169, CH 146, 2018",Just South of HQ Drive (Postmile 22.530),Pleasant Oak Drive (Postmile 26.540),True,True,True
30,United States Army Chief Warrant Officer 2 Edward Balli Memorial Highway,183,5,"SCR 57, CH 21 2018",Davis Road OC (PM R1.914),Espinosa Road (PM R7.651),True,False,True
31,Staff Sergeant Ricardo “Ricky” Barraza Memorial Highway ,43,6,"ACR 70, CH 134, 2017",East Los Angeles Street (PM 15.830),Fresno Avenue (PM 17.966),True,True,True
32,Abiel Barron Memorial Highway,138,7,"ACR 5, CH 64, 2005",Lone Pine Canyon ,Kruse Road,True,True,True
34,Gunnery Sergeant John Basilone Memorial Freeway,5,11,"SCR 25, CH 72, 1999",Camp Pendleton main gate,Basilone Road exit,True,True,True
36,"Officer Bill C. Bean, Jr. Memorial Highway",174,3,"ACR 68, CH 110, 1999",I-80 in Colfax,Route 20 in Grass Valley,True,True,True
37,Dean E. Beattie Memorial Highway,163,11,"ACR 162, CH 123, 2004 ",I-8,I-805,True,True,True
38,Joan Bechtel Memorial Highway,99,3,"ACR 150, CH 162, 2008",Central Avenue,Route 113,True,True,True
39,John C. Begovich Memorial Highway,49,10,"ACR 139, CH 120, 2000",Southern city limits of Jackson,Route 88 ,True,True,True
40,Frank P. Belotti Freeway ,101,1,"HR 461, 1961","Sylvandale, 6 miles north of Garberville","Englewood, 1 mile south of Redcrest",False,True,True
41,Frank P. Belotti Memorial Freeway,101,1,"ACR 54, CH 114, 1994",Bridge No. 04-0241 at Smith Point,Myers Flat,True,True,True
42,CHP Officer Dan N. Benavides Memorial Highway,15,11,"SCR 30, CH 92, 2011",Gopher Canyon Rd UC# 57-890 - PM R40.848,Old Hwy 395 OC# 57-869 - PM R43.279,True,True,True
43,Oceanside Police Officer Daniel S. Bessant Memorial Highway,5,11,"ACR 100, CH 101, 2012",JCT RTE 78 - PM R51.201,Harbor Drive - PM R54.392,True,True,True
44,"High Desert State Prison Correctional Officer Richard Bianchi, Jr., Memorial Highway ",36,2,"ACR 32, CH 110, 2021",JCT 36/139 (PM 25.356),JCT 36/395 (PM R29.390),True,False,True
46,Senator Daniel E. Boatwright Highway,680,4,"SCR 4, CH 69, 2009",JCT Route 24 - PM 14.383,Benicia-Martinez Bridge# 28-153L - PM R24.948L,True,True,True
47,Randy Bolt Memorial Highway,37,4,"ACR 95, CH 128, 2001",Skaggs Road,Route 29,True,True,True
48,Sonny Bono Memorial Freeway,10,8,"ACR 25, CH 58, 2001",Just west of the Route 111 cutoff near Palm Springs,A point at the bottom of the grade east of the City of Coachella,True,True,True
50,Officer Keith Boyer Memorial Highway,605,7,"ACR 76, CH 137, 2017",Junction of Interstate 5/605 (PM R9.612),Obregon Street OC# 53-1529 (PM R13.982),True,True,True
51,Bracero Memorial Highway,101,5,"ACR 113, CH 86, 2010",exit 312,exit 317,True,False,True
52,CHP Officer Michael Allen Brandt Memorial Highway,74,8,"ACR 100, CH 109, 2012",POSTMILE MARKER - PM 83.000,POSTMILE MARKER - PM 88.000,True,True,True
53,"Arthur H. Breed, Jr. Freeway",580,4,"SCR 5, CH 73, 1983",Castro Valley ,Livermore,False,True,True
54,CHP Officers Brian Law and Juan Gonzalez Memorial Highway,99,6,"ACR 158, CH 176, 2014",TULARE/FRESNO COUNTY LINE - PM R0.000,MOUNTAIN VIEW AVENUE OC# 42-219 - PM R3.742,True,True,True
55,Daniel Broeske Memorial Highway,101,1,"SCR 90, CH 65, 2008",Post Mile 32.1,Post Mile 33.1,True,True,True
56,Charles Brown Highway ,178,9,"SCR 13, CH 25, 1961",Route 127 in Shoshone,Nevada State Line,False,True,True
57,"Congressman George E. Brown, Jr. Memorial Highway",210,8,"ACR 152, CH 175, 2004",I-15,I-215,True,True,True
58,"William Elton ""Brownie"" Brown Freeway",580,10,"ACR 74, CH 127, 1985",I-205,I-5,False,True,True
59,Buffalo Soldiers Memorial Highway,41,6,"ACR 174, CH 134, 2016",Madera/Mariposa county line (PM 1.841),Yosemite National Park (PM 4.918),True,False,True
60,Alice Peña Bulos Memorial Highway,35,4,"ACR 165, CH 45, 2020","Glencourt Way (Postmile
27.090)",Olympic Way (Postmile 31.061),True,True,True
61,Luther Burbank Memorial Highway,12,4,"SCR 4, CH 11, 1940",Sebastopol,Santa Rosa,True,True,True
62,Kevin Michael Burrell and James Wayne MacDonald Memorial Highway,710,7,"ACR 178, CH 161, 2016",Junction of Routes 91/710 Sep# 53-2240 (PM 12.970) ,Alondra Blvd OC# 53-822 (PM 13.945),True,False,True
63,Michael J. Burns Memorial Freeway,101,1,"HR 230, 1949",Eureka,Arcata,True,True,True
64,CHP Officer Don J. Burt Memorial Highway,57,12,"ACR 7, CH 80, 2003",Orangethorpe Avenue,Yorba Linda Boulevard,True,True,True
65,John Burton Highway,35,4,"SCR 93, CH 117, 2012",SLOAT BLVD LT - PM 1.990,JCT RTE 1 - PM 3.164,False,True,True
68,Deputy Darnell Andrew Calhoun Memorial Highway,15,8,"SCR 25, CH 150, 2023",Main Street UC# 56-382 (PM 20.948),Jct of Rte 74/Central Avenue (PM 22.277),True,True,True
70,California Wildland Firefighters Memorial Highway,74,"12, 8","SCR 71, CH 22, 2002",San Juan Capistrano,Lake Elsinore,True,False,True
71,Adolfo Camarillo Memorial Highway,101,7,"ACR 116, CH 74, 2008",Top of the Conejo Grade,Lewis Road,True,True,True
72,Los Angeles Police Officer Ian J. Campbell Memorial Highway,101,7,"ACR 100, CH 109, 2012",Hollywood Blvd - PM 6.520,Cahuenga Blvd - PM 7.459,True,False,True
74,Vallejo Police Officer James Capoot Memorial Highway,37,4,"SCR 6, CH 85, 2013",JCT RTE 29/37 - PM R 9.665,JCT RTE 80/37 - PM R 11.728 R,True,True,True
76,Pomona Police Officer Greggory Casillas Memorial Highway,10,"7, 8","ACR 236, CH 157 2018",North San Antonio Undercrossing UC # 53-859 (Postmile 46.718),Mountain Avenue Undercrossing UC # 54-1187 (Postmile 2.370),True,True,True
77,CHP Officer William “Ivan” Casselman Memorial Highway,80,3,"ACR 100, CH 109, 2012",5 MILES WEST FROM COUNTY ROAD 32A PM 0.781,Webster UC # 22-43 PM 5.781,True,True,True
80,"United States Army Specialist Ricardo Cerros, Jr. Memorial Highway",101,5,"SCR 57, CH 21 2018",Esperanza Road (PM 78.840),Gould Road (PM 82.570),True,False,True
81,Cesar Chavez Memorial Highway,215,8,"SCR 112, CH 118 2018",(Approx. Postmile 12.753) ,Junction of 15/215 Separator # 54-783 (Postmile 17.753),True,True,True
82,"Eugene ""Gene"" Chappie Memorial Highway",193,3,"SCR 2, CH 105, 2015",JCT ROUTE 49 - PM 0.000,CRAMER ROAD - APPROX PM R2.150,True,True,True
83,CHP Officer Lucas F. Chellew Memorial Highway,80,3,"SCR 117, CH 180, 2022",Antelope Road OC# 24-0129 (PM 16.685) ,Douglas Boulevard OC# 19-0079 (PM 1.975),True,True,True
84,Officer Dave Chetcuti Memorial Highway,101,4,"SCR 97, CH 158, 1998",San Francisco International Airport,Broadway-Burlingame exit,True,True,True
85,Larry Chimbole Memorial Highway,138,7,"ACR 138, CH 160, 2016",Junction of Routes 14/138 (PM 43.418),40th Street East (PM 47.761),True,True,True
88,Civilian Women Volunteers All Wars Memorial Freeway,101,4,"ACR 83, CH 36, 2000",Ralston Avenue exit in Belmont,Route 92,True,False,True
89,Linus F. Claeys Freeway,80,4,"SCR 85, CH 80, 1990",Route 4,Carquinez Bridge,False,True,True
90,Don Clausen Highway,101,1,"ACR 92, CH 62, 1996",Along the Redwood National Park Bypass,,False,True,True
91,CAL-FIRE Chief William R. Clayton Memorial Highway,5,11,"SCR 12, CH 81, 2021",La Costa Avenue (PM R44.071),Cannon Rod (PM R47.975),True,True,True
92,California Highway Patrol Officer Brent William Clearman Memorial Freeway,880,4,"SCR 132, CH 141, 2008",Post Mile 26.61,Post Mile 27.63,True,False,True
93,"Senator David E. Cogdill, Sr., Memorial Highway",395,9,"SCR 133, CH 243 2018",Junction Route 182 (Postmile 76.300),South Buckeye Creek Bridge #47-33 (Postmile 79.168),True,True,True
94,CHP Officer Thomas P. Coleman Memorial Highway,10,8,"SCR 25, CH 89, 2011",Texas Street UC# 54-583 - PM 30.377,Wabash Ave OC# 54-590 - PM 34.288,True,True,True
96,Detective Monty L. Conley and Detective Joe R. Landin Memorial Highway,198,6,"ACR 15, CH 51, 2011",JCT 245 AVE 296&RD 204 - PM R19.762,Mehrten Drive - PM 23.760,True,False,True
97,California Highway Patrol Officer David W. Copleman Memorial Highway,126,7,"ACR 46, CH 66, 2005",Hallock Drive ,Fillmore City Limit,True,False,True
98,Deputy Isaiah A. Cordero Memorial Highway,60,8,"SCR 16, CH 134, 2023",Pyrite Street UC# 56-528 R/L (PM R5.575),Valley Way UC# 56-424 (PM 7.533),True,True,True
99,Officer Natalie Corona Memorial Highway,5,3,"ACR 66, CH 113, 2019",Greenbay Road OC# 15-60 (PM R3.149),Salt Creek Bridge# 15-05 (PM R7.991),True,True,True
101,Thomas J. Cosgrove Memorial Highway,65,3,"SCR 46, CH 108, 2017",Lincoln Boulevard UC# 19-187L (PM R12.823),Nelson Lane (PM R15.546) ,True,True,True
102,Senator Jim Costa Highway,180,6,"ACR 102, CH 130, 2002",Route 99,Clovis Avenue,True,True,True
104,Ohlone Costanoan Esselen Highway,68,5,"ACR 55, CH 135, 2013",ANZA DRIVE (APPROX) - PM 15.860,BLANCO ROAD - PM 19.971,False,True,True
105,Army Specialist Juan Miguel Mendez Covarrubias Memorial Highway,198,6,"ACR 157, CH 134, 2022","18th Avenue OC#
45-76 (PM R10.561)",14th Avenue UC# 45-79 (PM R14.767),True,True,True
106,Dana Cowell Memorial Highway,12,10,"SCR 85, CH 103, 2012",Potato Slough EB# 29-101 - PM M5.002,JCT RTE 5 - PM 10.167,True,True,True
107,Joe Cox Memorial Highway,152,10,"ACR 224, CH 155 2018",Los Banos Campus of Merced (Approx. Postmile 18.006),San Luis Street intersection (Approx. Postmile 22.876),True,True,True
108,James Craig Schmidt Memorial Highway,94,11,"ACR 57, CH 136, 2013",BANCROFT DR UC #57-538 L/R - PM R11.081,AVOCADO BLVD OC #57-575 - PM R13.333,True,True,True
109,Ricardo A. Crocker Memorial Highway,10,7,"SCR 20, CH 94, 2007",Within city limits of Santa Monica - PM R2.155,PM R4.267,True,True,True
110,Officer Rick Charles Cromwell Memorial Freeway,12,10,"SCR 38, CH 128, 1999",Lower Sacramento Road ,Route 99,True,True,True
111,Rudolph B. Davila Memorial Freeway,91,7,"SCR 107, CH 125, 2010",Central Avenue,Figueroa Street,True,True,True
112,Jacob Dekema Freeway,805,11,"SCR 12, CH 48, 1981",I-5,I-5,False,True,True
113,Donald E. DeMers Highway,41,6,"SCR 37, CH 138, 2006",Elkhorn Avenue,Jensen Avenue,False,True,True
114,Mayor Dick DeWees Memorial Highway,246,5,"ACR 165, CH 153, 2010",Post Mile 9.56,Post Mile R13.65,True,True,True
115,Pomona Police Officer Shaun Diamond Memorial Highway,10,7,"ACR 104, CH 53, 2016",Junction of State Route 57 Interchange (PM 42.443) ,North Towne Avenue Exit – Eastbound Off to Towne Avenue (PM 46.273),True,True,True
116,"Richard ""Dick"" Dickerson Memorial Highway",44,2,"ACR 53, CH 134, 2015",EAST STREET - PM L0.241L & L0.312R,VICTOR AVENUE - PM R1.239,True,True,True
117,CHP Officer Robert Franklin Dickey Memorial Highway,8,11,"ACR 80, CH 70, 2008",Ogilby Road,Sidewinder Road,True,True,True
118,Border Patrol Agent Jarod Charles Dittman Memorial Highway,94,11,"ACR 154, CH 145, 2018",(PM 24.500),(PM 29.500),True,False,True
119,Donald D. Doyle Highway,680,4,"SCR 69, CH 93, 1998",I-580,Route 24,False,True,True
120,Amber Dubois Memorial Highway,78,11,"ACR 165, CH 134, 2012",West Zoo Road - PM 23.636,Old Milky Way - PM 24.990,True,True,True
122,CHP Officer Richard D. Duvall Memorial Highway,15,8,"SCR 69, CH 65, 2010",D Street,State Highway Route 395 interchange,True,True,True
123,Jeffrey “Jef” Dye Memorial Highway,5,7,"ACR 147, CH 44, 2020", Postmile R68.818,Forest SVC Road UC# 53-1837 (Postmile R73.553),True,True,True
124,Amelia Earhart Memorial Highway,101,7,"ACR 79, CH 121, 2022","JCT 134 E, 170 N (Postmile 11.747R)",SB OFF LAUREL CANYON BL (Postmile 13.053),True,True,True
125,Amelia Earhart Memorial Highway,134,7,"ACR 79, CH 121, 2022",JCT ST 170 N (Postmile 000.000),EB OFF PASS AVE (Postmile 1.669),True,True,True
127,Kevin R. Ebbert SO1 Navy SEAL Memorial Highway,101,1,"ACR 54, CH 97, 2015",PM 85.350,PM 86.280,True,False,True
128,Dwight D. Eisenhower Highway,80,"4, 3","Federal Highway Act, 1973",San Francisco,Nevada State Line,False,True,True
129,Dwight David Eisenhower Memorial Freeway,41,6,"SCR 42, CH 141, 1971                  Adjusted SCR 45, CH1, 2016",Golden State Blvd (PM Approx. R22.196),Bullard Avenue OC# 42-303 (PM R29.463),True,True,True
130,El Camino Real,"280, 82, 101, 5, 72","11, 12, 7, 5, 4","AB 1769, CH 1569, 1959, Streets & Highways Code Section 635",Mexico International Border,San Francisco,False,True,True
132,El Segundo Freeway,105,7,"ACR 46, CH 362, 1969",Route 1 near the City of El Segundo and LAX,I-405,False,True,True
133,"Los Angeles County Sheriff Deputy Juan Abel Escalante
Memorial Highway",101,7,"ACR 103, CH 117, 2010",North Mission Road,North Alameda Street,True,False,True
136,Esperanza Firefighters Memorial Highway,243,8,"ACR 4, CH 99, 2007",Route 74,I-10,True,False,True
137,"Lt. Leonard B. ""Larry"" Estes and Deputy William R. ""Bill"" Hunter Memorial Highway",149,3,"ACR 63, CH 14, 2008",Route 70,Route 99,True,False,True
138,Steve Faris Memorial Highway,330,8,"SCR 12, CH 72, 2009",Route 210,Route 18,True,True,True
140,Vic Fazio Highway,113,"4, 3","ACR 100, CH 124, 1998",I-80,I-5,False,True,True
141,Caltrans Highway Maintenance Lead Worker Michael (Flea) Feliciano Memorial Highway,101,5,"SCR 120, CH 141, 2006",Payson Street,Esperanza Road,True,False,True
142,CHP Officer Ernest R. Felio Memorial Highway,101,1,"ACR 31, CH 70, 2007","Dr. Ernest Fine Memorial Bridge, Bridge No. 01-0020",Oregon State Line,True,True,True
143,Ralph Fertig Memorial Bicycle-Pedestrian Path,101,7,"ACR 58, CH 153, 2015",MOBIL PIER RD UC 52-328 - PM R39.782,END OF COUNTY OF VENTURA - R43.622,True,False,True
144,Fire Captain Ramon Figueroa and Firefighter Patrick Jones Memorial Highway,65,6,"SCR 14, CH 82, 2021",Avenue 128/Teapot Dome Avenue (PM 16.130),Avenue 166/Pioneer Avenue (PM 20.880),True,True,True
147,John F. Foran Freeway,280,4,"SCR 73, CH 49, 1986",San Mateo/San Francisco County Line,6th Street in San Francisco,False,True,True
148,Carleton E. Forbes Freeway,5,"10, 3","ACR 62, CH 26, 1982",Stockton,Sacramento,False,True,True
149,Police Officer Daniel T. Fraembs Memorial Highway,71,7,"SCR 12, CH 92, 2001",,,True,True,True
150,CHP Officers Walter Frago and Roger Gore Memorial Freeway,99,10,"ACR 180, CH 147, 2000",Mission Avenue,"Campus Parkway, UC Merced",True,True,True
151,Stephanie Marie Frazier Memorial Highway,50,3,"SCR 22, CH 88, 2007","Post Mile 38.5, west of Ice House Road","Post Mile 40.5, east of Ice House Road",True,True,True
152,Deputy Sheriff Robert “Bobby” French Memorial Highway,50,3,"ACR 212, CH 153 2018",(Postmile 0.1),Latrobe Road UC#25-71 (Postmile 0.857),True,True,True
153,Los Angeles Police Officer Steven Gajda Memorial Highway,60,7,"SCR 38, CH 90, 2007","I-10, Post Mile .118","Indiana Street overpass, Post Mile 1.94",True,False,True
154,United States Army Specialist Vilmar Galarza Hernandez Memorial Highway,183,5,"SCR 57, CH 21 2018",Junction of State Highway 101 (PM 0.000 - RTE183) ,Davis Road OC (PM R1.914),True,False,True
155,Downey Police Officer Ricardo Galvez Memorial Highway,5,7,"SCR 111, CH 95, 2016",San Gabriel River Bridge #53-213 (PM 7.063),Rio Hondo River Bridge #53-639 (PM 9.466),True,True,True
156,Detective Raul Vasquez Gama Memorial Highway,710,7,"SCR 26, CH 86, 2021",Florence Avenue OC# 53-834 (PM 19.730),Third Street OC# 53-1152 (PM 24.466),True,True,True
157,Martin L. Ganz Memorial Highway,405,7,"ACR 145, CH 145, 2004",Hawthorne Boulevard in the City of Lawndale,Rosecrans Avenue in the City of Manhattan Beach,True,True,True
158,Arnold C. Garcia Memorial Highway,5,7,"ACR 130, CH 111, 2010",East Olympic Boulevard,South Atlantic Boulevard,True,True,True
159,Garden Grove Freeway,22,12,"By Commission, 10/22/1957",I-405,Route 55,False,True,True
160,Garden Grove Police Officers Memorial Highway,22,12,"ACR 127, CH 95, 2008",Western city limits of Garden Grove,Eastern city limits of Garden Grove,True,True,True
162,Deputy Greg A. Gariepy Memorial Highway,247,8,"ACR 20, CH 65, 2007",Route 62,Town limit of Yucca Valley,True,True,True
163,Hawthorne Police Officer Andrew Garton Memorial Highway,405,7,"ACR 100, CH 109, 2012",Rosecrans Ave. UC# 53-1236 - PM 19.205,El Segundo Blvd. UC# 53-1239 - PM 20.216,True,True,True
164,Dave Ghilarducci Memorial Highway,101,1,"SCR 12, CH 92, 2001",Bridge 04-0221,Bridge 04-0016,True,True,True
165,Luther E. Gibson Freeway ,680,4,"SCR 21, CH 160, 1967","Benicia, near the Benicia-Martinez Bridge",I-80 near Cordelia,False,True,True
166,Sergeant Gilbert Cortez and K-9 Mattie Memorial Highway,15,8,"SCR 64, CH 7, 2014",2ND STREET UC# 56-667 - PM 43.637,LIMONITE AVENUE OC# 56-663 - PM 48.261,True,False,True
172,"Correctional Officer Manuel A. Gonzalez, Jr. Memorial Highway",71,"7, 8","SCR 11, CH 85, 2007",Route 60,Central Avenue/Soquel Canyon,True,True,True
173,Officer James M. Goodman Memorial Highway,10,8,"ACR 41, CH 72, 2007",Post Mile 25.26,Post Mile 29.82,True,True,True
174,California Highway Patrol Officer Charles D. Goss Memorial Highway,152,6,"ACR 89, CH 122, 2022",Postmile 2.350,Postmile 7.350,True,False,True
175,Grand Army of the Republic Highway ,"110, 5, 14, 395, 6","7, 6, 9","ACR 33, CH 73, 1943",San Pedro,"Nevada State Line, via Mojave",True,False,True
176,Deputy David P. Grant Memorial Highway,49,10,"ACR 132, CH 105, 2006",One mile before Parrott's Ferry Road,One mile after Parrott's Ferry Road,True,True,True
177,Deputy David G. Graves Memorial Freeway,41,6,"ACR 61, CH 90, 2009",Herndon Ave,Avenue 10,True,True,True
178,Officer Stephan Gene Gray Memorial Highway,99,10,"SCR 7, CH 56, 2006",Childs Avenue,16th Steet,True,True,True
180,Greatest Generation Memorial Highway,63,6,"ACR 36, CH 78, 2009",West Visalia Parkway,Avenue 264,True,False,True
181,CHP Officer Scott M. Greenly Memorial Freeway,85,4,"ACR 172, CH 140, 1998",Quito Road,Prospect Road,True,True,True
182,CHP Officer Kirk Griess Memorial Highway,505,4,"ACR 4, CH 105, 2019",Junction of Interstate 80 (PM R0.000),Vaca Valley Parkway (PM R1.450),True,True,True
184,Tony Gwynn Memorial Freeway,15,11,"ACR 63, CH 168, 2015",SCRIPPS POWAY PKWY/MERCY ROAD - PM M17.311,CAMINO DEL NORTE UC# 57-930 - PM M21.952,True,True,True
185,Harvey L. Hall Memorial Highway,58,6,"ACR 64, CH 138, 2021",EB OFF to Allen Road (PM R45.181),EB OFF to Coffe Road (PM R48.268),True,True,True
186,"Firefighter Michael ""Mikey"" Hallenbeck Memorial Highway",50,3,"SCR 149, CH 182, 2016",Mount Ralston Road (PM R61.845),Echo Summit (PM 66.483),True,True,True
187,Special Deputy Frank Hamilton Memorial Highway,371,8,"SCR 51, CH 2, 2016",Tribal Road (PM 67.178),Howard Road (PM 68.709),True,True,True
188,Hansen Way,"20, 49",3,"SCR 10, CH 104, 2005",South Auburn Street,Bennett Street,False,True,True
191,CHP Officers Harold E. Horine and Bill Leiphardt Memorial Highway,10,7,"SCR 57, CH 5, 2014",BALDWIN PARK BLVD OC# 53-664 PM 32.218,SUNSET AVENUE UC# 53-668 PM 34.851,True,False,True
192,Alan S. Hart Freeway,80,3,"SCR 102, CH 164, 1986",Sacramento/Placer County Line,Nevada State Line,False,True,True
193,Fullerton Police Officer Jerry Hatch Memorial Highway,91,12,"SCR 27, CH 109, 2015",MAGNOLIA AVENUE UC#55-296R - PM R3.851R,STATE COLLEGE BOULEVARD UC#55-852 - PM 5.258,True,True,True
194,Detective Kent Haws Memorial Highway,65,6,"ACR 147, CH 161, 2008",Route 137,Route 198,True,True,True
196,National Purple Heart Trail,223,6,"SCR 105, CH 95, 2010",Route 99,Route 58,True,False,True
197,William Z. Hegy Memorial Highway,101,1,"SCR 53, CH 39, 1988",Little River near Trinidad,Patrick's Point undercrossing,True,True,True
198,Gary Helming Memorial Highway,41,6,"ACR 74, CH 120, 2022",Avenal Cr 45-36 (Postmile 3.753),JCT ST 33 (Postmile 8.098),True,True,True
199,Sergeant Ronald “Ron” Lee Helus Memorial Highway,101,7,"ACR 17, CH 120, 2019",Hampshire Road UC# 52-273 (PM 1.622),Lynn Road OC# 52-325 (PM 5.046),True,True,True
200,Sam Helwer Memorial Freeway,101,1,"ACR 54, CH 114, 1994",Myers Flat,Stafford,True,True,True
201,Senator Henry J. Mello Highway,1,5,"ACR 67, CH 141, 2014",STRUVE ROAD N - PM 98.350,PAJARO RIVER BRIDGE# 44-69 - AVG BEG PM R101.980,True,True,True
202,Deputy Kent Hintergardt Memorial Highway,15,8,"ACR 33, CH 89, 2009",Route 215 Interchange,"South 79 Exit, Route 79",True,True,True
214,Crynthia and Erling Hjertager Memorial Highway,3,2,"ACR 108, CH 84, 2006",Callahan,City of Etna,True,True,True
216,CHP Officer A. Donald Hoover Memorial Highway,1,5,"ACR 100, CH 109, 2012",Park Avenue UC#36-29 - PM 12.088,Branciforte Avenue OC#36-104 - PM16.241,True,True,True
