State,Island,Source_URL,Raw,Route,Road_or_Description,Parenthetical
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Kahuapaani Street from Salt Lake Boulevard to Halawa Heights Road (Route 7241),7241,Kahuapaani Street from Salt Lake Boulevard to Halawa Heights Road,Route 7241
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Kailua Road from Waimanalo Junction to Kailua side of Kawainui Bridge (Route 61),61,Kailua Road from Waimanalo Junction to Kailua side of Kawainui Bridge,Route 61
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Kalanianaole Highway from Castle Junction to Waimanalo Junction (Route 61),61,Kalanianaole Highway from Castle Junction to Waimanalo Junction,Route 61
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Kalanianaole Highway from Waimanalo Junction to Ainakoa Avenue (Route 72),72,Kalanianaole Highway from Waimanalo Junction to Ainakoa Avenue,Route 72
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Kalihi Street from Nimitz Highway to School Street (Route 63),63,Kalihi Street from Nimitz Highway to School Street,Route 63
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Kamehameha Highway from Wilikina Drive to Kamananui Road (Route 80),80,Kamehameha Highway from Wilikina Drive to Kamananui Road,Route 80
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Kamananui Road from Kamehameha Highway to Wilikina Drive (Route 99),99,Kamananui Road from Kamehameha Highway to Wilikina Drive,Route 99
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Kamehameha Highway from Joseph P. Leong Highway to Kahekili Highway (Route 83),83,Kamehameha Highway from Joseph P. Leong Highway to Kahekili Highway,Route 83
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,"Kamehameha Highway, Pali Highway to Likelike Highway (Route 83)",83,"Kamehameha Highway, Pali Highway to Likelike Highway",Route 83
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Kamehameha Highway from Kalihi Bridge to Valkenburgh Street (Route 92),92,Kamehameha Highway from Kalihi Bridge to Valkenburgh Street,Route 92
Hawaii,Oahu,https://hidot.hawaii.gov/highways/home/oahu/oahu-state-roads-and-highways/,Kamehameha Highway from the vicinity of Valkenburgh Street to the Haleiwa end of the Waialua twin bridges and Kamananui Road to Joseph P. Leong Highway (Route 99),99,Kamehameha Highway from the vicinity of Valkenburgh Street to the Haleiwa end of the Waialua twin bridges and Kamananui Road to Joseph P. Leong Highway,Route 99
