route,name,ref,fclass,code,osm_id,memorial_status,oneway,maxspeed,layer,bridge,tunnel
Veterans Park Drive,Veterans Park Drive,,service,5141,7783462,Possible Memorial Designation,B,0,0,F,F
Kilgore Memorial Drive,Kilgore Memorial Drive,,secondary,5114,7783539,Possible Memorial Designation,F,0,0,F,F
Martin Luther King Boulevard,Martin Luther King Boulevard,,secondary,5114,7786554,Possible Memorial Designation,B,0,0,F,F
AL 14,Martin Luther King Drive,AL 14,primary,5113,7787497,Possible Memorial Designation,B,88,0,F,F
East Veterans Boulevard,East Veterans Boulevard,,tertiary,5115,7787577,Possible Memorial Designation,B,48,0,F,F
Veterans Parkway,Veterans Parkway,,tertiary,5115,7787732,Possible Memorial Designation,B,72,0,F,F
Fallen Oaks Court,Fallen Oaks Court,,residential,5122,7788446,Possible Memorial Designation,B,0,0,F,F
West Veterans Boulevard,West Veterans Boulevard,,tertiary,5115,7788712,Possible Memorial Designation,F,48,0,F,F
Memorial Park Drive,Memorial Park Drive,,service,5141,7788913,Possible Memorial Designation,B,0,0,F,F
US 29;US 80,East Martin Luther King Highway,US 29;US 80,primary,5113,7797803,Possible Memorial Designation,B,40,0,F,F
US 80,West Martin Luther King Highway,US 80,primary,5113,7798176,Possible Memorial Designation,F,88,0,F,F
Memorial Parkway Southwest,Memorial Parkway Southwest,,secondary,5114,7804238,Possible Memorial Designation,F,0,0,F,F
Memorial Parkway Northwest,Memorial Parkway Northwest,,primary,5113,7805773,Possible Memorial Designation,F,0,0,F,F
US 231;US 431,Memorial Parkway Northwest,US 231;US 431,motorway,5111,7820152,Possible Memorial Designation,F,80,0,F,F
US 72;US 231;US 431,Memorial Parkway Northwest,US 72;US 231;US 431,motorway,5111,7820154,Possible Memorial Designation,F,80,0,F,F
Veterans Drive Southeast,Veterans Drive Southeast,,residential,5122,7822136,Possible Memorial Designation,B,0,0,F,F
US 231;US 431,Memorial Parkway Southwest,US 231;US 431,motorway,5111,7823585,Possible Memorial Designation,F,80,0,F,F
US 231,Memorial Parkway Southwest,US 231,trunk,5112,7823586,Possible Memorial Designation,F,96,0,F,F
Memorial Pkwy Access Road Northwest,Memorial Pkwy Access Road Northwest,,residential,5122,7825428,Possible Memorial Designation,B,0,0,F,F
AL 255,"Dr Martin Luther King, Jr. Expressway",AL 255,trunk,5112,7825749,Possible Memorial Designation,F,0,0,F,F
Veterans Way,Veterans Way,,residential,5122,7833021,Possible Memorial Designation,B,0,0,F,F
Doctor Martin Luther King Junior Avenue,Doctor Martin Luther King Junior Avenue,,secondary,5114,7856035,Possible Memorial Designation,B,0,0,F,F
Springhill Memorial Place,Springhill Memorial Place,,residential,5122,7902371,Possible Memorial Designation,B,0,0,F,F
Springhill Memorial Drive,Springhill Memorial Drive,,residential,5122,7904075,Possible Memorial Designation,B,0,0,F,F
Veterans Avenue,Veterans Avenue,,residential,5122,7926237,Possible Memorial Designation,B,0,0,F,F
Medal of Honor Memorial Drive,Medal of Honor Memorial Drive,,residential,5122,7926927,Possible Memorial Designation,F,0,0,F,F
Memorial Drive Northwest,Memorial Drive Northwest,,tertiary,5115,7935164,Possible Memorial Designation,B,0,0,F,F
CR 41,Memorial Drive Southwest,CR 41,secondary,5114,7937410,Possible Memorial Designation,B,0,0,F,F
Charlie Holifield Memorial Drive,Charlie Holifield Memorial Drive,,residential,5122,7938239,Possible Memorial Designation,B,0,0,F,F
Alberta Fuller Memorial Drive,Alberta Fuller Memorial Drive,,residential,5122,7941171,Possible Memorial Designation,B,0,0,F,F
AL 14,Martin Luther King Parkway,AL 14,primary,5113,7941884,Possible Memorial Designation,B,56,0,F,F
Stephens Memorial Church Road,Stephens Memorial Church Road,,unclassified,5121,7942230,Possible Memorial Designation,B,0,0,F,F
Martin Luther King,Martin Luther King,,service,5141,7942769,Possible Memorial Designation,B,0,0,F,F
AL 14;AL 17,Memorial Pkwy Road,AL 14;AL 17,primary,5113,7947820,Possible Memorial Designation,B,48,0,F,F
