Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
Civilian Women Volunteers All Wars,,,,,,
Clarence Ward Boulevard,,,,,,
Colonel Charles Young,,,,,,
Colonel Nguyen Thi Hanh Nhons Disabled,,,,,,
Colonel Seth Jethro Nehring,,,,,,
Colonel William R Bill Lucius,,,,,,
Colonel Young Oak Kim United States Army,,,,,,
Congressman George E Brown Jr,,,,,,
Corporal Luis Carlos Ruan,,,,,,
Corporal Ronil Singh,,,,,,
Correctional Jesus Jesse Sanchez,,,,,,
Correctional Jose Rivera,,,,,,
Correctional Manuel A Gonzalez Jr,,,,,,
Costa Mesa,,,,,,"https://en.wikipedia.org/wiki/Costa_Mesa,_California"
Costa Mesa Fire Michael Kreza,,,,,,
Crynthia And Erling Hjertager,,,,,,
Dana Cowell,,,,,,
Daniel Broeske,,,,,,
Daniel Sakai,researcher,male,,,,
Darnell Andrew Calhoun,,,,,,
Darrell Keith Lee Gary Wayne Wolfley And Sergio Carrera Jr,,,,,,
Dave Chetcuti,,,,,,
Dave Ghilarducci,,,,,,
David E Pierson And Bill Freeman,,,,,,
David F Mobilio,,,,,,
David G Graves,,,,,,
David Lamoree,,,,,,
David P Grant,,,,,,
Dean E Beattie,,,,,,
Deran Koligian,,,,,,
Detective Gerald Blackie Sawyer,,,,,,
Detective Jeremiah Mackay,,,,,,
Detective Kent Haws,,,,,,
Detective Monty L Conley And Detective Joe R Landin,,,,,,
Detective Raul Vasquez Gama,,,,,,
Detective Thomas A Smith Jr,,,,,,
Detectives Mike Lane And John Pierce,,,,,,
Doctor June Mccarroll,,,,,,
Don Clausen,,,,,,
Donald D Doyle,,,,,,
Donald E Demers,,,,,,
Donald Mark Lichliter,,,,,,
Donna P Mauzy,,,,,,
Downey Police Ricardo Galvez,,,,,,
Dr Sally Ride,,,,,,
Dutch Flat And Donner Lake Wagon Road,,,,,,
Dwight D Eisenhower,,,,,,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower_National_Fish_Hatchery
Dwight David Eisenhower,politician,male,,1890-10-14,1969-03-28,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower
Earle W Wrieden,,,,,,
Eastwest Blue Star,,,,,,
Eg Lewis,,,,,,
El Camino Real,,,,,,
El Camino Real Additional Routes,,,,,,
El Monte Police Donald Ralph Johnston,,,,,,
El Segundo,,,,,,"https://en.wikipedia.org/wiki/El_Segundo,_California"
Eric Seastrand,politician,male,,1938-02-07,1990-06-20,https://en.wikipedia.org/wiki/Eric_Seastrand
Eric W Rood Expressway,,,,,,
Esperanza Firefighters,,,,,,
Esteban Bahena,,,,,,
Esther Padilla,politician,female,,1975-06-02,,
Eugene Gene Chappie,,,,,,
Everett And Louella Thomas,,,,,,
Federal Correctional Scott Williams,,,,,,
Fire F S Pete Pedroza,,,,,,
Fire Ramon Figueroa And Firefighter Patrick Jones,,,,,,
Firefighter Michael Mikey Hallenbeck,,,,,,
Firefighter Steven Rucker,,,,,,
First Lady Pat Nixon,,,,,,
Fortuna Police Raymond Quincy Mills,,,,,,
Frank F Momyer Bypass,,,,,,
Frank Lanterman,,,,,,
Frank M Pribble,,,,,,
Frank P Belotti,,,,,,
Frederick E Terman,engineer,male,,1900-06-07,1982-12-19,https://en.wikipedia.org/wiki/Frederick_Terman
Fullerton Police Jerry Hatch,,,,,,
Garden Grove,,,,,,"https://en.wikipedia.org/wiki/Garden_Grove,_California"
Garden Grove Police Officers,,,,,,
Gary Helming,,,,,,
Gateway To The Pinnacles,,,,,,
George Alan Ingalls,military personnel,male,,1946-03-09,1967-04-16,https://en.wikipedia.org/wiki/George_Alan_Ingalls
Gilbert Cortez And K9 Mattie,,,,,,
Glendale Police Charles A Lazzaretto,,,,,,
Glenn Anderson,researcher,,,,,
Golden Center,,,,,,
Golden Chain,,,,,,
Golden Gate Bridge,,,,,,https://en.wikipedia.org/wiki/Golden_Gate_Bridge
Golden State,,,,,,https://en.wikipedia.org/wiki/California
Grand Army Of The Republic,,,,,,https://en.wikipedia.org/wiki/Grand_Army_of_the_Republic
Great Sierra Wagon Road,,,,,,https://en.wikipedia.org/wiki/Great_Sierra_Wagon_Road
Greatest Generation,,,,,,https://en.wikipedia.org/wiki/Greatest_Generation
Greg A Gariepy,,,,,,
Gunnery John Basilone,,,,,,
Hansen Way,,,,,,
Happy Trails,,,,,,https://en.wikipedia.org/wiki/Happy_Trails_(video_game)
Harold Del Ponte,,,,,,
Harold T Bizz Johnson Expressway,,,,,,
Harvey L Hall,,,,,,
Hawthorne Police Andrew Garton,,,,,,
High Desert State Prison Correctional Richard Bianchi Jr,,,,,,
Historic 66,,,,,,
Historic 67,,,,,,
Historic 79,,,,,,
Historic Alternate Us 40,,,,,,
Historic Us 101,,,,,,
Historic Us 395,,,,,,
Historic Us 40,,,,,,
Historic Us 6,,,,,,https://en.wikipedia.org/wiki/U.S._Route_66_in_Kansas
Historic Us 80,,,,,,
Historic Us 99,,,,,,
Historic Yosemite,,,,,,
Humboldt County Sheriffs Office Corporal Rich Schlesiger,,,,,,
Imperial Valley Pioneers Expressway,,,,,,
Isaiah A Cordero,,,,,,
J Arthur Younger,,,,,,
Jack Oconnell,association football player,male,,1994-03-29,,https://en.wikipedia.org/wiki/Jack_O%27Connell_(English_footballer)
Jack Polen,,,,,,
Jack Tanaka,,,,,,
Jackie Robinson,basketball player,male,,1927-04-26,2022-02-08,"https://en.wikipedia.org/wiki/Jackie_Robinson_(basketball,_born_1927)"
Jacob Dekema,,,,,,https://en.wikipedia.org/wiki/Interstate_805
James Craig Schmidt,,,,,,
James D Schultz,,,,,,
James Lick,patron of the arts,male,,1796-08-25,1876-10-01,https://en.wikipedia.org/wiki/James_Lick
James M Goodman,researcher,male,,,,
James Mitchell Mitch Waller,,,,,,
James Rapozo,,,,,,
James Throne,,,,,,
Jared M Landaker,,,,,,
Jeffey Stevenson Bike Path,,,,,,
Jeffrey Jef Dye,,,,,,
Jeffrey Lynn Azuar,,,,,,
Jere Melo,,,,,,
Jerry Medina,,,,,,
Jimmy A Arevalo,,,,,,
Jimmy Arty Inn,,,,,,
Joan Bechtel,,,,,,
Joash E Paul,,,,,,
Joe Cox,basketball player,male,,,,
Joe Gatto,baseball player,male,,1995-06-14,,https://en.wikipedia.org/wiki/Joe_Gatto_(baseball)
Joe Levy,,male,,,,
Joel Mendenhall,,,,,,
John B Williams,,male,,,,
John Burton,politician,male,,1932-12-15,2025-09-07,https://en.wikipedia.org/wiki/John_Burton_(American_politician)
John C Begovich,,,,,,
John F Foran,,,,,,
John G Veneman,,,,,,
John J Montgomery,,,,,,
John Mcveigh Jr,,,,,,
John Palacios,,,,,,
John Paul Monego,,,,,,
John Steinbeck,writer,male,Americans,1902-02-27,1968-12-20,https://en.wikipedia.org/wiki/John_Steinbeck
John T Knox,,,,,,
Junipero Serra,missionary,male,,1713-11-24,1784-08-28,https://en.wikipedia.org/wiki/Jun%C3%ADpero_Serra
Justin Kepler,,,,,,
