ROUTE,ROUTESIGN,ALIAS,DESCRIPTIO,COUNTY,CITY,route_clean
021B,SH,N POWERS BLVD,RD E AND W (STETSON HILLS BLVD),El Paso Co,Colorado Springs,SH-21
021B,SH,N POWERS BLVD,,El Paso Co,Colorado Springs,SH-21
021B,SH,N POWERS BLVD,,El Paso Co,,SH-21
021B,SH,N POWERS BLVD,RD E AND W (PALMER PARK RD),El Paso Co,,SH-21
021B,SH,N POWERS BLVD,MILEPOST 148,El Paso Co,,SH-21
021B,SH,N POWERS BLVD,RD E AND W (DUBLIN BLVD),El Paso Co,Colorado Springs,SH-21
021B,SH,N POWERS BLVD,SIGN BRIDGE STR (SIGN-I-17-JP) POSTED SIGNAGE,El Paso Co,,SH-21
021B,SH,N POWERS BLVD,MINORSTR (021B147470BR) UNNAMED DRAINAGE,El Paso Co,Colorado Springs,SH-21
021B,SH,N POWERS BLVD,MAJOR STR (I-17-NF) SAND CREEK --  FORMERLY CSG-M.00-10.65 (TRANSFERRED FROM LOCALS IN CO SPGS),El Paso Co,,SH-21
021B,SH,N POWERS BLVD,MILEPOST 147,El Paso Co,Colorado Springs,SH-21
021B,SH,N POWERS BLVD,RAMP ON RAMP OFF (TO/FROM PALMER PARK RD) - MILEPOST 143,El Paso Co,,SH-21
021B,SH,N POWERS BLVD,RD E AND W (BARNES RD),El Paso Co,Colorado Springs,SH-21
021B,SH,N POWERS BLVD,MILEPOST 146,El Paso Co,Colorado Springs,SH-21
021B,SH,N POWERS BLVD,RD E AND W (GALLEY RD),El Paso Co,Colorado Springs,SH-21
021B,SH,N POWERS BLVD,SIGN BRIDGE STR (SIGN-I-18-A) - 0021B NBND ML-148.488,El Paso Co,Colorado Springs,SH-21
021B,SH,N POWERS BLVD,RD E (OMAHA BLVD),El Paso Co,,SH-21
021B,SH,N POWERS BLVD,SIGN BRIDGE STR (SIGN-I-18-L) POSTED SIGNAGE,El Paso Co,Colorado Springs,SH-21
021B,SH,N POWERS BLVD,SIGN BRIDGE STR (SIGN-I-18-D) - 0021B MEDIAN-VMS-142.48,El Paso Co,Colorado Springs,SH-21
021B,SH,N POWERS BLVD,MINORSTR (021B146610BL) UNNAMED DRAINAGE,El Paso Co,Colorado Springs,SH-21
