State,Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
Michigan,Ontonagon County Veterans Memorial Bridge,,,,,,
Michigan,Kenneth J. Moraska Memorial Highway,,,,,,
Michigan,Roberts-Linton Highway and Veterans of World War I Memorial Highway,,,,,,
Michigan,Tpr. Steven B. Devries Memorial Highway,,,,,,
Michigan,Leif Erikson Memorial Highway,,,,,,
Michigan,Deputy Grant Whitaker Memorial Highway,,,,,,
Michigan,Candice Dunn Memorial Highway,,,,,,
Indiana,Veterans Highway,,,,,,https://en.wikipedia.org/wiki/Veterans_Highway
Michigan,Louis Chevrolet Freeway,,,,,,
Michigan,Walter P. Reuther Highway,,,,,,
Michigan,Olds Freeway,,,,,,
Michigan,Veterans Memorial Freeway,,,,,,
Indiana,Veterans Memorial Highway,,,,,,https://en.wikipedia.org/wiki/Interstate_15_in_Utah
Michigan,Chevrolet-Buick Freeway,,,,,,
Michigan,DeWayne T. Williams Memorial Highway,,,,,,
Michigan,Fort Custer Memorial Highway,,,,,,
Michigan,Haskell L. Nichols Memorial Highway,,,,,,
Michigan,117th Quartermaster Battalion,,,,,,
Indiana,St. Joseph Valley Parkway,,,,,,https://en.wikipedia.org/wiki/St._Joseph_Valley_Parkway
Michigan,Disabled American Veterans Memorial Highway,,,,,,
Indiana,Paul B. Henry Freeway,,,,,,https://en.wikipedia.org/wiki/M-6_(Michigan_highway)
Michigan,Keith Deacon Memorial Highway,,,,,,
Michigan,Veterans' Memorial Drive,,,,,,
Indiana,Pearl Harbor Memorial Highway,,,,,,https://en.wikipedia.org/wiki/Pearl_Harbor_Memorial_Highway
Michigan,James G. O'Hara Freeway,,,,,,
Michigan,James M. Pelton Firefighters Memorial Highway,,,,,,
Michigan,Gary Priess Memorial Highway,,,,,,
Michigan,Eric Zapata Memorial Highway,,,,,,
Michigan,Oscar G. Johnson Memorial Highway,,,,,,
Indiana,Purple Heart Trail,,,,,,https://en.wikipedia.org/wiki/Interstate_5_in_Washington
Indiana,Veterans Memorial Highway,,,,,,https://en.wikipedia.org/wiki/Interstate_15_in_Utah
Michigan,Elgie G. Hanna Memorial Highway,,,,,,
Michigan,Trooper Paul K. Butterfield II Memorial Highway,,,,,,
Michigan,Kevin Sherwood Memorial Highway,,,,,,
Indiana,Korean War Veterans Memorial Highway,,,,,,https://en.wikipedia.org/wiki/Korean_War_Veterans_Memorial_Highway
Michigan,102nd United States Colored Troops (U.S.C.T.) Memorial Highway,,,,,,
Michigan,Clare County Veterans Memorial Highway,,,,,,
Michigan,10th Mountain Division Highway,,,,,,
Michigan,Joseph Prentler Memorial Highway,,,,,,
Michigan,AMVETS Memorial Scenic Drive,,,,,,
Michigan,Rosa Parks Memorial Highway,,,,,,
Michigan,Officer Trevor Slot Memorial Highway,,,,,,
Michigan,Trooper Rick L. Johnson Memorial Freeway,,,,,,
Michigan,Mark V. Ingram II Freeway,,,,,,
Michigan,Medal of Honor Recipients Highway,,,,,,
Michigan,William Davidson Memorial Highway,,,,,,
Michigan,George Edward (Ted) Seman Memorial Highway,,,,,,
Michigan,"""Hazen Shirley 'Kiki"""" Cuyler Memorial Highway""",,,,,,
Michigan,Violet T. Lewis Memorial Highway,,,,,,
Michigan,PFC Nicholas H. Blodgett Memorial Highway,,,,,,
Michigan,CPL Ross A. Smith Memorial Highway,,,,,,
Michigan,Deputy Eric Overall Memorial Highway,,,,,,
Michigan,Gunnery Sgt. Daniel Price Memorial Highway,,,,,,
Michigan,Trooper Craig A. Scott Memorial Highway,,,,,,
Michigan,Det. Sgt. Christopher M. Wouters Memorial Highway,,,,,,
Michigan,Chief Petty Officer Jason Freiwald Memorial Highway,,,,,,
Michigan,Staff Sergeant Duane J. Dreasky Memorial Highway,,,,,,
Michigan,Trooper Craig A. Scott Memorial Highway,,,,,,
Michigan,Michigan State Trooper Timothy O'Neill Memorial Highway,,,,,,
Michigan,PFC Alan Robert Blohm Memorial Hwy,,,,,,
Michigan,Corrections Officers Jack Budd and Josephine McCallum Memorial Highway,,,,,,
Michigan,Sergeant Collin Rose Memorial Highway,,,,,,
Indiana,Purple Heart Trail,,,,,,https://en.wikipedia.org/wiki/Interstate_5_in_Washington
Michigan,Marine Sergeant Michael P. Hodshire Memorial Highway,,,,,,
Michigan,"""""""Sgt. Craig S. Frank Memorial Highway.""""""",,,,,,
Michigan,Trooper Byron J Erickson Memorial Highway,,,,,,
